自動車メーカー,車種,型式,年式,駆動方式,適合詳細,減衰力,販売価格,C_販売価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,スプリング K(F/R),車高調整可能範囲ノーマル比mm(F/R),その他仕様,備考,注意事項,定価,SET価格,C_SET価格
スズキ,アルト,HA36S/HA36V,14/12～,FF,,15段調整式,86250,77625,242172,SR-S412MC-qq-e-438,SR-S412MC-qq-e-d-438,SR-S412MC,STREET RIDE,ダンパー タイプK2 コンフォートモデル,3.3～4/3.2,-65～-40/-85～-40,推奨車高 ノーマル比 mm(F/R):-60/-60,F:純正アッパーラバーシート・ベアリング必要<br>確認方法:純正ショックがKYB(カヤバ)ではない,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,115000,95500,87500
スズキ,アルト,HA36S/HA36V,14/12～,FF,,固定式,78000,70200,242238,SR-S512MC-qq-e-360,SR-S512MC-qq-e-d-360,SR-S512MC,STREET RIDE,ダンパー タイプK2 コンフォートモデル,3.3～4/3.2,-65～-40/-85～-40,推奨車高 ノーマル比 mm(F/R):-60/-60,F:純正アッパーラバーシート・ベアリング必要<br>確認方法:純正ショックがKYB(カヤバ)ではない,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,104000,87800,80600
スズキ,アルトラパン/ラパンSS,HE21S,02/01～03/08,FF/4WD,1型,15段調整式,86250,77625,242118,SR-S402MC-qq-e-439,SR-S402MC-qq-e-d-439,SR-S402MC,STREET RIDE,ダンパー タイプK2 コンフォートモデル,3.9～5/2.5,-50～-5/-60～-30,推奨車高 ノーマル比 mm(F/R):-35/-45,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,115000,95500,87500
スズキ,アルトラパン/ラパンSS,HE21S,02/01～03/08,FF/4WD,1型,固定式,78000,70200,242185,SR-S502MC-qq-e-361,SR-S502MC-qq-e-d-361,SR-S502MC,STREET RIDE,ダンパー タイプK2 コンフォートモデル,3.9～5/2.5,-50～-5/-60～-30,推奨車高 ノーマル比 mm(F/R):-35/-45,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,104000,87800,80600
スズキ,アルトラパン/ラパンSS,HE21S,03/09～04/09,FF/4WD,2型,15段調整式,86250,77625,242119,SR-S402MC-qq-e-440,SR-S402MC-qq-e-d-440,SR-S402MC,STREET RIDE,ダンパー タイプK2 コンフォートモデル,3.9～5/2.5,-50～-5/-60～-30,推奨車高 ノーマル比 mm(F/R):-35/-45,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,115000,95500,87500
スズキ,アルトラパン/ラパンSS,HE21S,03/09～04/09,FF/4WD,2型,固定式,78000,70200,242378,SR-S502MC-qq-e-362,SR-S502MC-qq-e-d-362,SR-S502MC,STREET RIDE,ダンパー タイプK2 コンフォートモデル,3.9～5/2.5,-50～-5/-60～-30,推奨車高 ノーマル比 mm(F/R):-35/-45,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,104000,87800,80600
スズキ,アルトラパン/ラパンSS,HE21S,04/10～08/10,FF/4WD,3～6型,15段調整式,86250,77625,242332,SR-S402MC-qq-e-441,SR-S402MC-qq-e-d-441,SR-S402MC,STREET RIDE,ダンパー タイプK2 コンフォートモデル,3.9～5/2.5,-50～-5/-60～-30,推奨車高 ノーマル比 mm(F/R):-35/-45,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,115000,95500,87500
スズキ,アルトラパン/ラパンSS,HE21S,04/10～08/10,FF/4WD,3～6型,固定式,78000,70200,242186,SR-S502MC-qq-e-363,SR-S502MC-qq-e-d-363,SR-S502MC,STREET RIDE,ダンパー タイプK2 コンフォートモデル,3.9～5/2.5,-50～-5/-60～-30,推奨車高 ノーマル比 mm(F/R):-35/-45,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,104000,87800,80600
スズキ,アルトラパン/ラパンSS,HE22S,08/11～,FF/4WD,1～2型,15段調整式,86250,77625,242138,SR-S404MC-qq-e-442,SR-S404MC-qq-e-d-442,SR-S404MC,STREET RIDE,ダンパー タイプK2 コンフォートモデル,3.9～5/3.0,-65～-15/-60～-25,推奨車高 ノーマル比 mm(F/R):-45/-45,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,115000,95500,87500
スズキ,アルトラパン/ラパンSS,HE22S,08/11～,FF/4WD,1～2型,固定式,78000,70200,242200,SR-S504MC-qq-e-364,SR-S504MC-qq-e-d-364,SR-S504MC,STREET RIDE,ダンパー タイプK2 コンフォートモデル,3.9～5/3.0,-65～-15/-60～-25,推奨車高 ノーマル比 mm(F/R):-45/-45,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,104000,87800,80600
スズキ,アルトワークス,CL11V/CM11V,88/09～90/02,FF/4WD,2型<br>ABS装着車未確認,15段調整式,86250,77625,242157,SR-S408MC-qq-e-443,SR-S408MC-qq-e-d-443,SR-S408MC,STREET RIDE,ダンパー タイプK2 コンフォートモデル,3.3～4/2.2,-70～-10/-69～-34,推奨車高 ノーマル比 mm(F/R):-20/-34,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,115000,95500,87500
スズキ,アルトワークス,CL11V/CM11V,88/09～90/02,FF/4WD,2型<br>ABS装着車未確認,固定式,78000,70200,242404,SR-S508MC-qq-e-365,SR-S508MC-qq-e-d-365,SR-S508MC,STREET RIDE,ダンパー タイプK2 コンフォートモデル,3.3～4/2.2,-70～-10/-69～-34,推奨車高 ノーマル比 mm(F/R):-20/-34,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,104000,87800,80600
スズキ,アルトワークス,CM22V,91/09～94/10,4WD,3～5型<br>ABS装着車未確認,15段調整式,86250,77625,242158,SR-S408MC-qq-e-446,SR-S408MC-qq-e-d-446,SR-S408MC,STREET RIDE,ダンパー タイプK2 コンフォートモデル,3.3～4/2.2,-70～-10/-69～-34,推奨車高 ノーマル比 mm(F/R):-20/-34,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,115000,95500,87500
スズキ,アルトワークス,CM22V,91/09～94/10,4WD,3～5型<br>ABS装着車未確認,固定式,78000,70200,242222,SR-S508MC-qq-e-368,SR-S508MC-qq-e-d-368,SR-S508MC,STREET RIDE,ダンパー タイプK2 コンフォートモデル,3.3～4/2.2,-70～-10/-69～-34,推奨車高 ノーマル比 mm(F/R):-20/-34,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,104000,87800,80600
スズキ,アルトワークス,CN21S/CP21S,90/03～91/08,FF/4WD,1～2型<br>ABS装着車未確認,15段調整式,86250,77625,242354,SR-S408MC-qq-e-444,SR-S408MC-qq-e-d-444,SR-S408MC,STREET RIDE,ダンパー タイプK2 コンフォートモデル,3.3～4/2.2,-70～-10/-69～-34,推奨車高 ノーマル比 mm(F/R):-20/-34,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,115000,95500,87500
スズキ,アルトワークス,CN21S/CP21S,90/03～91/08,FF/4WD,1～2型<br>ABS装着車未確認,固定式,78000,70200,242220,SR-S508MC-qq-e-366,SR-S508MC-qq-e-d-366,SR-S508MC,STREET RIDE,ダンパー タイプK2 コンフォートモデル,3.3～4/2.2,-70～-10/-69～-34,推奨車高 ノーマル比 mm(F/R):-20/-34,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,104000,87800,80600
スズキ,アルトワークス,CR22S/CS22S,91/09～94/04,FF/4WD,3～5型<br>ABS装着車未確認,15段調整式,86250,77625,242355,SR-S408MC-qq-e-445,SR-S408MC-qq-e-d-445,SR-S408MC,STREET RIDE,ダンパー タイプK2 コンフォートモデル,3.3～4/2.2,-70～-10/-69～-34,推奨車高 ノーマル比 mm(F/R):-20/-34,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,115000,95500,87500
スズキ,アルトワークス,CR22S/CS22S,91/09～94/04,FF/4WD,3～5型<br>ABS装着車未確認,固定式,78000,70200,242221,SR-S508MC-qq-e-367,SR-S508MC-qq-e-d-367,SR-S508MC,STREET RIDE,ダンパー タイプK2 コンフォートモデル,3.3～4/2.2,-70～-10/-69～-34,推奨車高 ノーマル比 mm(F/R):-20/-34,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,104000,87800,80600
スズキ,アルトワークス,HA11S/HA21S,94/11～98/10,FF,1～2型<br>ABS装着車未確認,15段調整式,86250,77625,242159,SR-S408MC-qq-e-447,SR-S408MC-qq-e-d-447,SR-S408MC,STREET RIDE,ダンパー タイプK2 コンフォートモデル,3.3～4/2.2,-70～-10/-69～-34,推奨車高 ノーマル比 mm(F/R):-20/-34,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,115000,95500,87500
スズキ,アルトワークス,HA11S/HA21S,94/11～98/10,FF,1～2型<br>ABS装着車未確認,固定式,78000,70200,242405,SR-S508MC-qq-e-369,SR-S508MC-qq-e-d-369,SR-S508MC,STREET RIDE,ダンパー タイプK2 コンフォートモデル,3.3～4/2.2,-70～-10/-69～-34,推奨車高 ノーマル比 mm(F/R):-20/-34,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,104000,87800,80600
スズキ,アルトワークス,HA12S/HA22S,98/10～01/05,FF/4WD,1～2型,15段調整式,86250,77625,242107,SR-S401MC-qq-e-449,SR-S401MC-qq-e-d-449,SR-S401MC,STREET RIDE,ダンパー タイプK2 コンフォートモデル,3.9～5/2.2,-50～-5/-75～-25,推奨車高 ノーマル比 mm(F/R):-35/-40,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,115000,95500,87500
スズキ,アルトワークス,HA12S/HA22S,98/10～01/05,FF/4WD,1～2型,固定式,78000,70200,242372,SR-S501MC-qq-e-371,SR-S501MC-qq-e-d-371,SR-S501MC,STREET RIDE,ダンパー タイプK2 コンフォートモデル,3.9～5/2.2,-50～-5/-75～-25,推奨車高 ノーマル比 mm(F/R):-35/-40,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,104000,87800,80600
スズキ,アルトワークス,HA36S,14/12～,4WD,RS含む,15段調整式,86250,77625,242365,SR-S414MC-qq-e-451,SR-S414MC-qq-e-d-451,SR-S414MC,STREET RIDE,ダンパー タイプK2 コンフォートモデル,3.3～4/4,-35～0/-60～-15,推奨車高 ノーマル比 mm(F/R):-30/-40,F:純正アッパーラバーシート・ベアリング必要<br>確認方法:純正ショックがKYB(カヤバ),車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,115000,95500,87500
スズキ,アルトワークス,HA36S,14/12～,4WD,RS含む,固定式,78000,70200,242242,SR-S514MC-qq-e-373,SR-S514MC-qq-e-d-373,SR-S514MC,STREET RIDE,ダンパー タイプK2 コンフォートモデル,3.3～4/4,-35～0/-60～-15,推奨車高 ノーマル比 mm(F/R):-30/-40,F:純正アッパーラバーシート・ベアリング必要<br>確認方法:純正ショックがKYB(カヤバ),車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,104000,87800,80600
スズキ,アルトワークス,HA36S,14/12～,FF,RS含む,15段調整式,86250,77625,242364,SR-S413MC-qq-e-450,SR-S413MC-qq-e-d-450,SR-S413MC,STREET RIDE,ダンパー タイプK2 コンフォートモデル,3.3～4/3.2,-60～-35/-85～-40,推奨車高 ノーマル比 mm(F/R):-60/-60,F:純正アッパーラバーシート・ベアリング必要<br>確認方法:純正ショックがKYB(カヤバ),車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,115000,95500,87500
スズキ,アルトワークス,HA36S,14/12～,FF,RS含む,固定式,78000,70200,242240,SR-S513MC-qq-e-372,SR-S513MC-qq-e-d-372,SR-S513MC,STREET RIDE,ダンパー タイプK2 コンフォートモデル,3.3～4/3.2,-60～-35/-85～-40,推奨車高 ノーマル比 mm(F/R):-60/-60,F:純正アッパーラバーシート・ベアリング必要<br>確認方法:純正ショックがKYB(カヤバ),車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,104000,87800,80600
スズキ,アルトワークス,HB11S/HB21S,94/11～98/10,4WD,1～2型<br>ABS装着車未確認,15段調整式,86250,77625,242160,SR-S408MC-qq-e-448,SR-S408MC-qq-e-d-448,SR-S408MC,STREET RIDE,ダンパー タイプK2 コンフォートモデル,3.3～4/2.2,-70～-10/-69～-34,推奨車高 ノーマル比 mm(F/R):-20/-34,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,115000,95500,87500
スズキ,アルトワークス,HB11S/HB21S,94/11～98/10,4WD,1～2型<br>ABS装着車未確認,固定式,78000,70200,242223,SR-S508MC-qq-e-370,SR-S508MC-qq-e-d-370,SR-S508MC,STREET RIDE,ダンパー タイプK2 コンフォートモデル,3.3～4/2.2,-70～-10/-69～-34,推奨車高 ノーマル比 mm(F/R):-20/-34,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,104000,87800,80600
スズキ,セルボ,HG21S,06/11～09/12,FF/4WD,1～4型,15段調整式,86250,77625,242130,SR-S403MC-qq-e-452,SR-S403MC-qq-e-d-452,SR-S403MC,STREET RIDE,ダンパー タイプK2 コンフォートモデル,3.9～5/3.0,-55～-20/-60～-20,推奨車高 ノーマル比 mm(F/R):-40/-40,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,115000,95500,87500
スズキ,セルボ,HG21S,06/11～09/12,FF/4WD,1～4型,固定式,78000,70200,242390,SR-S503MC-qq-e-374,SR-S503MC-qq-e-d-374,SR-S503MC,STREET RIDE,ダンパー タイプK2 コンフォートモデル,3.9～5/3.0,-55～-20/-60～-20,推奨車高 ノーマル比 mm(F/R):-40/-40,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,104000,87800,80600
スズキ,セルボ・モード,CN21S/CP21S,90/08～91/08,FF/4WD,1型<br>ABS装着車未確認,15段調整式,86250,77625,242356,SR-S408MC-qq-e-453,SR-S408MC-qq-e-d-453,SR-S408MC,STREET RIDE,ダンパー タイプK2 コンフォートモデル,3.3～4/2.2,-70～-10/-69～-34,推奨車高 ノーマル比 mm(F/R):-20/-34,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,115000,95500,87500
スズキ,セルボ・モード,CN21S/CP21S,90/08～91/08,FF/4WD,1型<br>ABS装着車未確認,固定式,78000,70200,242224,SR-S508MC-qq-e-375,SR-S508MC-qq-e-d-375,SR-S508MC,STREET RIDE,ダンパー タイプK2 コンフォートモデル,3.3～4/2.2,-70～-10/-69～-34,推奨車高 ノーマル比 mm(F/R):-20/-34,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,104000,87800,80600
スズキ,セルボ・モード,CN22S/CP22S,91/09～99/02,FF/4WD,2～5型<br>ABS装着車未確認,15段調整式,86250,77625,242161,SR-S408MC-qq-e-454,SR-S408MC-qq-e-d-454,SR-S408MC,STREET RIDE,ダンパー タイプK2 コンフォートモデル,3.3～4/2.2,-70～-10/-69～-34,推奨車高 ノーマル比 mm(F/R):-20/-34,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,115000,95500,87500
スズキ,セルボ・モード,CN22S/CP22S,91/09～99/02,FF/4WD,2～5型<br>ABS装着車未確認,固定式,78000,70200,242225,SR-S508MC-qq-e-376,SR-S508MC-qq-e-d-376,SR-S508MC,STREET RIDE,ダンパー タイプK2 コンフォートモデル,3.3～4/2.2,-70～-10/-69～-34,推奨車高 ノーマル比 mm(F/R):-20/-34,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,104000,87800,80600
スズキ,セルボ・モード,CN31S/CP31S,90/08～91/08,FF/4WD,1型<br>ABS装着車未確認,15段調整式,86250,77625,242162,SR-S408MC-qq-e-455,SR-S408MC-qq-e-d-455,SR-S408MC,STREET RIDE,ダンパー タイプK2 コンフォートモデル,3.3～4/2.2,-70～-10/-69～-34,推奨車高 ノーマル比 mm(F/R):-20/-34,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,115000,95500,87500
スズキ,セルボ・モード,CN31S/CP31S,90/08～91/08,FF/4WD,1型<br>ABS装着車未確認,固定式,78000,70200,242406,SR-S508MC-qq-e-377,SR-S508MC-qq-e-d-377,SR-S508MC,STREET RIDE,ダンパー タイプK2 コンフォートモデル,3.3～4/2.2,-70～-10/-69～-34,推奨車高 ノーマル比 mm(F/R):-20/-34,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,104000,87800,80600
スズキ,セルボ・モード,CN32S/CP32S,91/09～99/02,FF/4WD,2～5型<br>ABS装着車未確認,15段調整式,86250,77625,242357,SR-S408MC-qq-e-456,SR-S408MC-qq-e-d-456,SR-S408MC,STREET RIDE,ダンパー タイプK2 コンフォートモデル,3.3～4/2.2,-70～-10/-69～-34,推奨車高 ノーマル比 mm(F/R):-20/-34,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,115000,95500,87500
スズキ,セルボ・モード,CN32S/CP32S,91/09～99/02,FF/4WD,2～5型<br>ABS装着車未確認,固定式,78000,70200,242226,SR-S508MC-qq-e-378,SR-S508MC-qq-e-d-378,SR-S508MC,STREET RIDE,ダンパー タイプK2 コンフォートモデル,3.3～4/2.2,-70～-10/-69～-34,推奨車高 ノーマル比 mm(F/R):-20/-34,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,104000,87800,80600
