自動車メーカー,車種,型式,年式,駆動方式,適合詳細,減衰力,販売価格,C_販売価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,スプリング K(F/R),車高調整可能範囲ノーマル比mm(F/R),その他仕様,備考,注意事項,定価,SET価格,C_SET価格
スズキ,アルト,HA36S/HA36V,14/12～,FF,,15段調整式,66750,60075,242171,SR-S412-qq-e-262,SR-S412-qq-e-d-262,SR-S412,STREET RIDE,ダンパー タイプK2,4.0/3.2,-100～-40/-85～-40,推奨車高 ノーマル比 mm(F/R):-60/-60,F:純正アッパーラバーシート・ベアリング必要<br>確認方法:純正ショックがKYB(カヤバ)ではない,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,89000,77300,71100
スズキ,アルト,HA36S/HA36V,14/12～,FF,,固定式,58500,52650,242237,SR-S512-qq-e-170,SR-S512-qq-e-d-170,SR-S512,STREET RIDE,ダンパー タイプK2,4.0/3.2,-100～-40/-85～-40,推奨車高 ノーマル比 mm(F/R):-60/-60,F:純正アッパーラバーシート・ベアリング必要<br>確認方法:純正ショックがKYB(カヤバ)ではない,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,78000,69600,64200
スズキ,アルトラパン/ラパンSS,HE21S,02/01～03/08,FF/4WD,1型,15段調整式,66750,60075,242110,SR-S402-qq-e-263,SR-S402-qq-e-d-263,SR-S402,STREET RIDE,ダンパー タイプK2,4.0/2.5,-65～-5/-60～-30,推奨車高 ノーマル比 mm(F/R):-35/-45,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,89000,77300,71100
スズキ,アルトラパン/ラパンSS,HE21S,02/01～03/08,FF/4WD,1型,固定式,58500,52650,242176,SR-S502-qq-e-171,SR-S502-qq-e-d-171,SR-S502,STREET RIDE,ダンパー タイプK2,4.0/2.5,-65～-5/-60～-30,推奨車高 ノーマル比 mm(F/R):-35/-45,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,78000,69600,64200
スズキ,アルトラパン/ラパンSS,HE21S,03/09～04/09,FF/4WD,2型,15段調整式,66750,60075,242111,SR-S402-qq-e-264,SR-S402-qq-e-d-264,SR-S402,STREET RIDE,ダンパー タイプK2,4.0/2.5,-65～-5/-60～-30,推奨車高 ノーマル比 mm(F/R):-35/-45,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,89000,77300,71100
スズキ,アルトラパン/ラパンSS,HE21S,03/09～04/09,FF/4WD,2型,固定式,58500,52650,242177,SR-S502-qq-e-172,SR-S502-qq-e-d-172,SR-S502,STREET RIDE,ダンパー タイプK2,4.0/2.5,-65～-5/-60～-30,推奨車高 ノーマル比 mm(F/R):-35/-45,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,78000,69600,64200
スズキ,アルトラパン/ラパンSS,HE21S,04/10～08/10,FF/4WD,3～6型,15段調整式,66750,60075,242329,SR-S402-qq-e-265,SR-S402-qq-e-d-265,SR-S402,STREET RIDE,ダンパー タイプK2,4.0/2.5,-65～-5/-60～-30,推奨車高 ノーマル比 mm(F/R):-35/-45,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,89000,77300,71100
スズキ,アルトラパン/ラパンSS,HE21S,04/10～08/10,FF/4WD,3～6型,固定式,58500,52650,242376,SR-S502-qq-e-173,SR-S502-qq-e-d-173,SR-S502,STREET RIDE,ダンパー タイプK2,4.0/2.5,-65～-5/-60～-30,推奨車高 ノーマル比 mm(F/R):-35/-45,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,78000,69600,64200
スズキ,アルトラパン/ラパンSS,HE22S,08/11～,FF/4WD,1～2型,15段調整式,66750,60075,242340,SR-S404-qq-e-266,SR-S404-qq-e-d-266,SR-S404,STREET RIDE,ダンパー タイプK2,4.0/3.0,-80～-15/-60～-25,推奨車高 ノーマル比 mm(F/R):-45/-45,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,89000,77300,71100
スズキ,アルトラパン/ラパンSS,HE22S,08/11～,FF/4WD,1～2型,固定式,58500,52650,242195,SR-S504-qq-e-174,SR-S504-qq-e-d-174,SR-S504,STREET RIDE,ダンパー タイプK2,4.0/3.0,-80～-15/-60～-25,推奨車高 ノーマル比 mm(F/R):-45/-45,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,78000,69600,64200
スズキ,アルトワークス,CL11V/CM11V,88/09～90/02,FF/4WD,2型<br>ABS装着車未確認,15段調整式,66750,60075,242147,SR-S408-qq-e-267,SR-S408-qq-e-d-267,SR-S408,STREET RIDE,ダンパー タイプK2,4.0/2.2,-71～-10/-69～-34,推奨車高 ノーマル比 mm(F/R):-20/-34,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,89000,77300,71100
スズキ,アルトワークス,CL11V/CM11V,88/09～90/02,FF/4WD,2型<br>ABS装着車未確認,固定式,58500,52650,242398,SR-S508-qq-e-175,SR-S508-qq-e-d-175,SR-S508,STREET RIDE,ダンパー タイプK2,4.0/2.2,-71～-10/-69～-34,推奨車高 ノーマル比 mm(F/R):-20/-34,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,78000,69600,64200
スズキ,アルトワークス,CM22V,91/09～94/10,4WD,3～5型<br>ABS装着車未確認,15段調整式,66750,60075,242350,SR-S408-qq-e-270,SR-S408-qq-e-d-270,SR-S408,STREET RIDE,ダンパー タイプK2,4.0/2.2,-71～-10/-69～-34,推奨車高 ノーマル比 mm(F/R):-20/-34,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,89000,77300,71100
スズキ,アルトワークス,CM22V,91/09～94/10,4WD,3～5型<br>ABS装着車未確認,固定式,58500,52650,242400,SR-S508-qq-e-178,SR-S508-qq-e-d-178,SR-S508,STREET RIDE,ダンパー タイプK2,4.0/2.2,-71～-10/-69～-34,推奨車高 ノーマル比 mm(F/R):-20/-34,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,78000,69600,64200
スズキ,アルトワークス,CN21S/CP21S,90/03～91/08,FF/4WD,1～2型<br>ABS装着車未確認,15段調整式,66750,60075,242348,SR-S408-qq-e-268,SR-S408-qq-e-d-268,SR-S408,STREET RIDE,ダンパー タイプK2,4.0/2.2,-71～-10/-69～-34,推奨車高 ノーマル比 mm(F/R):-20/-34,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,89000,77300,71100
スズキ,アルトワークス,CN21S/CP21S,90/03～91/08,FF/4WD,1～2型<br>ABS装着車未確認,固定式,58500,52650,242399,SR-S508-qq-e-176,SR-S508-qq-e-d-176,SR-S508,STREET RIDE,ダンパー タイプK2,4.0/2.2,-71～-10/-69～-34,推奨車高 ノーマル比 mm(F/R):-20/-34,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,78000,69600,64200
スズキ,アルトワークス,CR22S/CS22S,91/09～94/04,FF/4WD,3～5型<br>ABS装着車未確認,15段調整式,66750,60075,242349,SR-S408-qq-e-269,SR-S408-qq-e-d-269,SR-S408,STREET RIDE,ダンパー タイプK2,4.0/2.2,-71～-10/-69～-34,推奨車高 ノーマル比 mm(F/R):-20/-34,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,89000,77300,71100
スズキ,アルトワークス,CR22S/CS22S,91/09～94/04,FF/4WD,3～5型<br>ABS装着車未確認,固定式,58500,52650,242210,SR-S508-qq-e-177,SR-S508-qq-e-d-177,SR-S508,STREET RIDE,ダンパー タイプK2,4.0/2.2,-71～-10/-69～-34,推奨車高 ノーマル比 mm(F/R):-20/-34,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,78000,69600,64200
スズキ,アルトワークス,HA11S/HA21S,94/11～98/10,FF,1～2型<br>ABS装着車未確認,15段調整式,66750,60075,242148,SR-S408-qq-e-271,SR-S408-qq-e-d-271,SR-S408,STREET RIDE,ダンパー タイプK2,4.0/2.2,-71～-10/-69～-34,推奨車高 ノーマル比 mm(F/R):-20/-34,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,89000,77300,71100
スズキ,アルトワークス,HA11S/HA21S,94/11～98/10,FF,1～2型<br>ABS装着車未確認,固定式,58500,52650,242401,SR-S508-qq-e-179,SR-S508-qq-e-d-179,SR-S508,STREET RIDE,ダンパー タイプK2,4.0/2.2,-71～-10/-69～-34,推奨車高 ノーマル比 mm(F/R):-20/-34,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,78000,69600,64200
スズキ,アルトワークス,HA12S/HA22S,98/10～01/05,FF/4WD,1～2型,15段調整式,66750,60075,242325,SR-S401-qq-e-273,SR-S401-qq-e-d-273,SR-S401,STREET RIDE,ダンパー タイプK2,4.0/2.2,-65～-5/-75～-25,推奨車高 ノーマル比 mm(F/R):-35/-40,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,89000,77300,71100
スズキ,アルトワークス,HA12S/HA22S,98/10～01/05,FF/4WD,1～2型,固定式,58500,52650,242369,SR-S501-qq-e-181,SR-S501-qq-e-d-181,SR-S501,STREET RIDE,ダンパー タイプK2,4.0/2.2,-65～-5/-75～-25,推奨車高 ノーマル比 mm(F/R):-35/-40,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,78000,69600,64200
スズキ,アルトワークス,HA36S,14/12～,4WD,RS含む,15段調整式,66750,60075,242173,SR-S414-qq-e-275,SR-S414-qq-e-d-275,SR-S414,STREET RIDE,ダンパー タイプK2,5.0/4,-50～0/-60～-15,推奨車高 ノーマル比 mm(F/R):-30/-40,F:純正アッパーラバーシート・ベアリング必要<br>確認方法:純正ショックがKYB(カヤバ),車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,89000,77300,71100
スズキ,アルトワークス,HA36S,14/12～,4WD,RS含む,固定式,58500,52650,242241,SR-S514-qq-e-183,SR-S514-qq-e-d-183,SR-S514,STREET RIDE,ダンパー タイプK2,5.0/4,-50～0/-60～-15,推奨車高 ノーマル比 mm(F/R):-30/-40,F:純正アッパーラバーシート・ベアリング必要<br>確認方法:純正ショックがKYB(カヤバ),車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,78000,69600,64200
スズキ,アルトワークス,HA36S,14/12～,FF,RS含む,15段調整式,66750,60075,242363,SR-S413-qq-e-274,SR-S413-qq-e-d-274,SR-S413,STREET RIDE,ダンパー タイプK2,5.0/3.2,-95～-35/-85～-40,推奨車高 ノーマル比 mm(F/R):-60/-60,F:純正アッパーラバーシート・ベアリング必要<br>確認方法:純正ショックがKYB(カヤバ),車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,89000,77300,71100
スズキ,アルトワークス,HA36S,14/12～,FF,RS含む,固定式,58500,52650,242239,SR-S513-qq-e-182,SR-S513-qq-e-d-182,SR-S513,STREET RIDE,ダンパー タイプK2,5.0/3.2,-95～-35/-85～-40,推奨車高 ノーマル比 mm(F/R):-60/-60,F:純正アッパーラバーシート・ベアリング必要<br>確認方法:純正ショックがKYB(カヤバ),車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,78000,69600,64200
スズキ,アルトワークス,HB11S/HB21S,94/11～98/10,4WD,1～2型<br>ABS装着車未確認,15段調整式,66750,60075,242149,SR-S408-qq-e-272,SR-S408-qq-e-d-272,SR-S408,STREET RIDE,ダンパー タイプK2,4.0/2.2,-71～-10/-69～-34,推奨車高 ノーマル比 mm(F/R):-20/-34,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,89000,77300,71100
スズキ,アルトワークス,HB11S/HB21S,94/11～98/10,4WD,1～2型<br>ABS装着車未確認,固定式,58500,52650,242211,SR-S508-qq-e-180,SR-S508-qq-e-d-180,SR-S508,STREET RIDE,ダンパー タイプK2,4.0/2.2,-71～-10/-69～-34,推奨車高 ノーマル比 mm(F/R):-20/-34,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,78000,69600,64200
スズキ,エブリイバン/エブリイワゴン,DA64V/DA64W,05/08～,FR,1～6型,15段調整式,66750,60075,242347,SR-S407-qq-e-276,SR-S407-qq-e-d-276,SR-S407,STREET RIDE,ダンパー タイプK2,5.0/4.0,-61～-11/-57～-24,推奨車高 ノーマル比 mm(F/R):-41/-40,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,89000,77300,71100
スズキ,エブリイバン/エブリイワゴン,DA64V/DA64W,05/08～,FR,1～6型,固定式,58500,52650,242207,SR-S507-qq-e-184,SR-S507-qq-e-d-184,SR-S507,STREET RIDE,ダンパー タイプK2,5.0/4.0,-61～-11/-57～-24,推奨車高 ノーマル比 mm(F/R):-41/-40,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,78000,69600,64200
スズキ,エブリイバン/エブリイワゴン,DA64V/DA64W,05/08～10/04,4WD,1～4型<br>5～6型未確認,15段調整式,66750,60075,242144,SR-S407-qq-e-277,SR-S407-qq-e-d-277,SR-S407,STREET RIDE,ダンパー タイプK2,5.0/4.0,-51～-1/-60～-27,推奨車高 ノーマル比 mm(F/R):-36/-35,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,89000,77300,71100
スズキ,エブリイバン/エブリイワゴン,DA64V/DA64W,05/08～10/04,4WD,1～4型<br>5～6型未確認,固定式,58500,52650,242208,SR-S507-qq-e-185,SR-S507-qq-e-d-185,SR-S507,STREET RIDE,ダンパー タイプK2,5.0/4.0,-51～-1/-60～-27,推奨車高 ノーマル比 mm(F/R):-36/-35,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,78000,69600,64200
スズキ,エブリイワゴン,DA17W,15/02～,FR,,15段調整式,66750,60075,242170,SR-S411-qq-e-278,SR-S411-qq-e-d-278,SR-S411,STREET RIDE,ダンパー タイプK2,5.0/4.0,-50～0/-60～-15,推奨車高 ノーマル比 mm(F/R):-40/-50,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,89000,77300,71100
スズキ,エブリイワゴン,DA17W,15/02～,FR,,固定式,58500,52650,242236,SR-S511-qq-e-186,SR-S511-qq-e-d-186,SR-S511,STREET RIDE,ダンパー タイプK2,5.0/4.0,-50～0/-60～-15,推奨車高 ノーマル比 mm(F/R):-40/-50,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,78000,69600,64200
スズキ,セルボ,HG21S,06/11～09/12,FF/4WD,1～4型,15段調整式,66750,60075,242337,SR-S403-qq-e-279,SR-S403-qq-e-d-279,SR-S403,STREET RIDE,ダンパー タイプK2,4.0/3.0,-80～-20/-60～-20,推奨車高 ノーマル比 mm(F/R):-40/-40,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,89000,77300,71100
スズキ,セルボ,HG21S,06/11～09/12,FF/4WD,1～4型,固定式,58500,52650,242190,SR-S503-qq-e-187,SR-S503-qq-e-d-187,SR-S503,STREET RIDE,ダンパー タイプK2,4.0/3.0,-80～-20/-60～-20,推奨車高 ノーマル比 mm(F/R):-40/-40,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,78000,69600,64200
スズキ,セルボ・モード,CN21S/CP21S,90/08～91/08,FF/4WD,1型<br>ABS装着車未確認,15段調整式,66750,60075,242351,SR-S408-qq-e-280,SR-S408-qq-e-d-280,SR-S408,STREET RIDE,ダンパー タイプK2,4.0/2.2,-71～-10/-69～-34,推奨車高 ノーマル比 mm(F/R):-20/-34,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,89000,77300,71100
スズキ,セルボ・モード,CN21S/CP21S,90/08～91/08,FF/4WD,1型<br>ABS装着車未確認,固定式,58500,52650,242212,SR-S508-qq-e-188,SR-S508-qq-e-d-188,SR-S508,STREET RIDE,ダンパー タイプK2,4.0/2.2,-71～-10/-69～-34,推奨車高 ノーマル比 mm(F/R):-20/-34,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,78000,69600,64200
スズキ,セルボ・モード,CN22S/CP22S,91/09～99/02,FF/4WD,2～5型<br>ABS装着車未確認,15段調整式,66750,60075,242352,SR-S408-qq-e-281,SR-S408-qq-e-d-281,SR-S408,STREET RIDE,ダンパー タイプK2,4.0/2.2,-71～-10/-69～-34,推奨車高 ノーマル比 mm(F/R):-20/-34,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,89000,77300,71100
スズキ,セルボ・モード,CN22S/CP22S,91/09～99/02,FF/4WD,2～5型<br>ABS装着車未確認,固定式,58500,52650,242213,SR-S508-qq-e-189,SR-S508-qq-e-d-189,SR-S508,STREET RIDE,ダンパー タイプK2,4.0/2.2,-71～-10/-69～-34,推奨車高 ノーマル比 mm(F/R):-20/-34,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,78000,69600,64200
スズキ,セルボ・モード,CN31S/CP31S,90/08～91/08,FF/4WD,1型<br>ABS装着車未確認,15段調整式,66750,60075,242150,SR-S408-qq-e-282,SR-S408-qq-e-d-282,SR-S408,STREET RIDE,ダンパー タイプK2,4.0/2.2,-71～-10/-69～-34,推奨車高 ノーマル比 mm(F/R):-20/-34,R:専用バンプラバー付属,車高調整可能範囲は、計算上調整できる範囲となります<br>車高、路面状況、タイヤサイズ等の要因により、実際の使用が困難な場合があります<br>保安基準を順守の上、適正な車高に調整してください,89000,77300,71100
