自動車メーカー,車種,型式,年式,排気量,適合詳細,取付位置,SET価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,販売価格
スズキ,スイフト,ZC72S/ZD72S,H22/9～H29/1,1200,ZC72S(4輪ディスク),フロント,21800,,271081,CCRg-EP487-qq-e-5386k,CCRg-EP487-qq-e-d-5386k,4515693334876,EP487,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スズキ,スイフト,ZC72S/ZD72S,H22/9～H29/1,1200,ZC72S(4輪ディスク),リア,21800,,271088,CCRg-EP488-qq-e-9632k,CCRg-EP488-qq-e-d-9632k,4515693334883,EP488,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スズキ,スイフト,ZD11S/ZD21S,H16/11～H22/9,1300～1500,,フロント,21800,,271020,CCRg-EP430-qq-e-5382k,CCRg-EP430-qq-e-d-5382k,4515693334302,EP430,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スズキ,スイフトスポーツ,HT81S,H15/6～H17/5,1500,,リア,21800,,270968,CCRg-EP399-qq-e-9630k,CCRg-EP399-qq-e-d-9630k,4515693333992,EP399,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スズキ,スイフトスポーツ,ZC31S,H17/11～H22/9,1600,,フロント,21800,,271021,CCRg-EP430-qq-e-5383k,CCRg-EP430-qq-e-d-5383k,4515693334302,EP430,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スズキ,スイフトスポーツ,ZC31S,H17/11～H22/9,1600,,リア,21800,,270731,CCRg-EP312-qq-e-9631k,CCRg-EP312-qq-e-d-9631k,4515693333121,EP312,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スズキ,スイフトスポーツ,ZC32S,H23/12～H28/12,1600,,フロント,21800,,271082,CCRg-EP487-qq-e-5387k,CCRg-EP487-qq-e-d-5387k,4515693334876,EP487,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スズキ,スイフトスポーツ,ZC32S,H23/12～H28/12,1600,,リア,21800,,271089,CCRg-EP488-qq-e-9633k,CCRg-EP488-qq-e-d-9633k,4515693334883,EP488,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スズキ,スイフトスポーツ,ZC33S,H29/9～,1400,,フロント,21800,,271086,CCRg-EP487-qq-e-5391k,CCRg-EP487-qq-e-d-5391k,4515693334876,EP487,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スズキ,スイフトスポーツ,ZC33S,H29/9～,1400,,リア,21800,,271093,CCRg-EP488-qq-e-9637k,CCRg-EP488-qq-e-d-9637k,4515693334883,EP488,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スズキ,スプラッシュ,XB32S,H20/8～,1300,,フロント,21800,,271024,CCRg-EP430-qq-e-5392k,CCRg-EP430-qq-e-d-5392k,4515693334302,EP430,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スズキ,ソリオ,MA15S,H23/2～H27/8,1300,,フロント,21800,,271025,CCRg-EP430-qq-e-5393k,CCRg-EP430-qq-e-d-5393k,4515693334302,EP430,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スバル,BRZ,ZC6,H24/4～,2000,R/RA,フロント,21800,,270905,CCRg-EP386-qq-e-5365k,CCRg-EP386-qq-e-d-5365k,4515693333862,EP386,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スバル,BRZ,ZC6,H24/4～,2000,R/RA,リア,21800,,271015,CCRg-EP418-qq-e-9604k,CCRg-EP418-qq-e-d-9604k,4515693334180,EP418,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スバル,BRZ,ZC6,H24/4～,2000,S/R 17インチパフォーマンスパッケージ,フロント,21800,,270904,CCRg-EP386-qq-e-5364k,CCRg-EP386-qq-e-d-5364k,4515693333862,EP386,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スバル,BRZ,ZC6,H24/4～,2000,S/R 17インチパフォーマンスパッケージ,リア,21800,,271053,CCRg-EP472-qq-e-9603k,CCRg-EP472-qq-e-d-9603k,4515693334722,EP472,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スバル,BRZ,ZC6,H25/8～,2000,tSグレード,フロント,21800,,270817,CCRg-EP357-qq-e-5366k,CCRg-EP357-qq-e-d-5366k,4515693333572,EP357,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スバル,BRZ,ZC6,H25/8～,2000,tSグレード,リア,21800,,270652,CCRg-EP291-qq-e-9605k,CCRg-EP291-qq-e-d-9605k,4515693332919,EP291,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スバル,WRX S4,VAG,H26/8～,2000,,フロント,21800,,270985,CCRg-EP417-qq-e-5363k,CCRg-EP417-qq-e-d-5363k,4515693334173,EP417,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スバル,WRX S4,VAG,H26/8～,2000,,リア,21800,,271095,CCRg-EP500-qq-e-9602k,CCRg-EP500-qq-e-d-9602k,4515693335002,EP500,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スバル,WRX STI,VAB,H26/8～,2000,,フロント,21800,,270816,CCRg-EP357-qq-e-5362k,CCRg-EP357-qq-e-d-5362k,4515693333572,EP357,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スバル,WRX STI,VAB,H26/8～,2000,,リア,21800,,270651,CCRg-EP291-qq-e-9601k,CCRg-EP291-qq-e-d-9601k,4515693332919,EP291,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スバル,XV,GP7/GPE,H24/10～,2000,,フロント,21800,,270903,CCRg-EP386-qq-e-5361k,CCRg-EP386-qq-e-d-5361k,4515693333862,EP386,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スバル,XV,GP7/GPE,H24/10～,2000,,リア,21800,,271014,CCRg-EP418-qq-e-9600k,CCRg-EP418-qq-e-d-9600k,4515693334180,EP418,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スバル,インプレッサ,GDB,H14/11～H16/6,2000,純正ブレンボキャリパー装着車,フロント,21800,,270810,CCRg-EP357-qq-e-5343k,CCRg-EP357-qq-e-d-5343k,4515693333572,EP357,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スバル,インプレッサ,GDB,H14/11～H16/6,2000,純正ブレンボキャリパー装着車,リア,21800,,270644,CCRg-EP291-qq-e-9580k,CCRg-EP291-qq-e-d-9580k,4515693332919,EP291,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スバル,インプレッサ,GDB,H16/6～H19/6,2000,純正ブレンボキャリパー装着車,フロント,21800,,270811,CCRg-EP357-qq-e-5344k,CCRg-EP357-qq-e-d-5344k,4515693333572,EP357,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スバル,インプレッサ,GDB,H16/6～H19/6,2000,純正ブレンボキャリパー装着車,リア,21800,,270645,CCRg-EP291-qq-e-9581k,CCRg-EP291-qq-e-d-9581k,4515693332919,EP291,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スバル,インプレッサ,GH7/GH8,H19/6～,2000,AWD,フロント,21800,,270895,CCRg-EP386-qq-e-5347k,CCRg-EP386-qq-e-d-5347k,4515693333862,EP386,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スバル,インプレッサ,GH7/GH8,H19/6～,2000,AWD,リア,21800,,271004,CCRg-EP418-qq-e-9584k,CCRg-EP418-qq-e-d-9584k,4515693334180,EP418,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スバル,インプレッサ,GRF,H21/2～,2500,ブレンボキャリパー装着車,フロント,21800,,270813,CCRg-EP357-qq-e-5350k,CCRg-EP357-qq-e-d-5350k,4515693333572,EP357,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スバル,インプレッサ,GRF,H21/2～,2500,ブレンボキャリパー装着車,リア,21800,,270648,CCRg-EP291-qq-e-9587k,CCRg-EP291-qq-e-d-9587k,4515693332919,EP291,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スバル,インプレッサ,GRF,H21/2～,2500,ブレンボキャリパー非装着車,フロント,21800,,270983,CCRg-EP417-qq-e-5351k,CCRg-EP417-qq-e-d-5351k,4515693334173,EP417,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スバル,インプレッサ,GRF,H21/2～,2500,ブレンボキャリパー非装着車,リア,21800,,271051,CCRg-EP472-qq-e-9588k,CCRg-EP472-qq-e-d-9588k,4515693334722,EP472,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スバル,インプレッサ,GVB/GVF,H22/6～,2000～2500,ブレンボ装着車,フロント,21800,,270814,CCRg-EP357-qq-e-5352k,CCRg-EP357-qq-e-d-5352k,4515693333572,EP357,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スバル,インプレッサ,GVB/GVF,H22/6～,2000～2500,ブレンボ装着車,リア,21800,,270649,CCRg-EP291-qq-e-9589k,CCRg-EP291-qq-e-d-9589k,4515693332919,EP291,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スバル,インプレッサ,GVF,H22/6～,2500,ブレンボ非装着車,フロント,21800,,270984,CCRg-EP417-qq-e-5353k,CCRg-EP417-qq-e-d-5353k,4515693334173,EP417,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スバル,インプレッサ,GVF,H22/6～,2500,ブレンボ非装着車,リア,21800,,271052,CCRg-EP472-qq-e-9590k,CCRg-EP472-qq-e-d-9590k,4515693334722,EP472,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スバル,インプレッサ/インプレッサWRX STI/インプレッサスポーツワゴン,GC8/GF8,H10/10～H12/8,2000,STiバージョン5/6・フロント4POT/リア1POTキャリパー,フロント,21800,,270740,CCRg-EP351-qq-e-5336k,CCRg-EP351-qq-e-d-5336k,4515693333510,EP351,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スバル,インプレッサ/インプレッサWRX STI/インプレッサスポーツワゴン,GC8/GF8,H10/10～H12/8,2000,STiバージョン5/6・フロント4POT/リア1POTキャリパー,リア,21800,,270783,CCRg-EP355-qq-e-9572k,CCRg-EP355-qq-e-d-9572k,4515693333558,EP355,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スバル,インプレッサ/インプレッサWRX STI/インプレッサスポーツワゴン,GC8/GF8,H10/10～H12/8,2000,STiバージョン5/6・フロント4POT/リア2POTキャリパー,フロント,21800,,270739,CCRg-EP351-qq-e-5335k,CCRg-EP351-qq-e-d-5335k,4515693333510,EP351,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スバル,インプレッサ/インプレッサWRX STI/インプレッサスポーツワゴン,GC8/GF8,H10/10～H12/8,2000,STiバージョン5/6・フロント4POT/リア2POTキャリパー,リア,21800,,270512,CCRg-EP231-qq-e-9571k,CCRg-EP231-qq-e-d-9571k,4515693332315,EP231,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スバル,インプレッサ/インプレッサWRX STI/インプレッサスポーツワゴン,GC8/GF8,H11/9～H12/8,2000,STIバージョン6・フロント2POT/リア2POTキャリパー,リア,21800,,270513,CCRg-EP231-qq-e-9574k,CCRg-EP231-qq-e-d-9574k,4515693332315,EP231,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スバル,インプレッサ/インプレッサWRX STI/インプレッサスポーツワゴン,GC8/GF8,H8/8～H9/9,2000,STiバージョン3・フロント4POTキャリパー,フロント,21800,,270736,CCRg-EP351-qq-e-5332k,CCRg-EP351-qq-e-d-5332k,4515693333510,EP351,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スバル,インプレッサ/インプレッサWRX STI/インプレッサスポーツワゴン,GC8/GF8,H9/9～H10/10,2000,STiバージョン4・フロント4POT/リア1POTキャリパー,フロント,21800,,270737,CCRg-EP351-qq-e-5333k,CCRg-EP351-qq-e-d-5333k,4515693333510,EP351,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スバル,インプレッサ/インプレッサWRX STI/インプレッサスポーツワゴン,GC8/GF8,H9/9～H10/10,2000,STiバージョン4・フロント4POT/リア2POTキャリパー,フロント,21800,,270738,CCRg-EP351-qq-e-5334k,CCRg-EP351-qq-e-d-5334k,4515693333510,EP351,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スバル,インプレッサ/インプレッサWRX STI/インプレッサスポーツワゴン,GC8/GF8,H9/9～H10/10,2000,STiバージョン4・フロント4POT/リア2POTキャリパー,リア,21800,,270511,CCRg-EP231-qq-e-9570k,CCRg-EP231-qq-e-d-9570k,4515693332315,EP231,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スバル,インプレッサ/インプレッサWRX/インプレッサスポーツワゴン,GC8/GF8,H10/10～H12/8,2000,WRX・SRX・フロント2POT/リア1POTキャリパー,リア,21800,,270784,CCRg-EP355-qq-e-9573k,CCRg-EP355-qq-e-d-9573k,4515693333558,EP355,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スバル,インプレッサ/インプレッサWRX/インプレッサスポーツワゴン,GDA/GD9/GGA/GG9,H12/8～H14/11,2000,GDA(NB-R除く),フロント,21800,,270892,CCRg-EP386-qq-e-5337k,CCRg-EP386-qq-e-d-5337k,4515693333862,EP386,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スバル,インプレッサ/インプレッサWRX/インプレッサスポーツワゴン,GDA/GD9/GGA/GG9,H12/8～H14/11,2000,GDA(NB-R除く),リア,21800,,270785,CCRg-EP355-qq-e-9575k,CCRg-EP355-qq-e-d-9575k,4515693333558,EP355,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スバル,インプレッサ/インプレッサXV,GH2/GH3/GH6/GH7/GH8,H22/6～,1500～2000,XV含む,フロント,21800,,270897,CCRg-EP386-qq-e-5354k,CCRg-EP386-qq-e-d-5354k,4515693333862,EP386,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スバル,インプレッサ/インプレッサXV,GH2/GH3/GH6/GH7/GH8,H22/6～,1500～2000,XV含む,リア,21800,,271006,CCRg-EP418-qq-e-9591k,CCRg-EP418-qq-e-d-9591k,4515693334180,EP418,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スバル,インプレッサ/インプレッサスポーツワゴン,GGA/GDA/GDB,H14/11～H16/6,2000,純正ブレンボキャリパー非装着車,フロント,21800,,270743,CCRg-EP351-qq-e-5342k,CCRg-EP351-qq-e-d-5342k,4515693333510,EP351,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
