SAAB,900,,78～93,ターボ/ターボ16V含む,58400,,291142,KONI-CL-qq-e-i-540k,出さない,フロント:30-1088×2<br>リア:26-1087×2,KONI,CLASSIC,1台分,STD/STD,,高圧ガスタイプ,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,73000,出さない,出さない
VOLKSWAGEN,コマーシャル,,55～67,トランスポーターT-1,48800,,291370,KONI-CL-qq-e-i-567k,出さない,フロント:80-1349×2<br>リア:80-1350×2,KONI,CLASSIC,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,61000,出さない,出さない
VOLKSWAGEN,コマーシャル,,70～71,トランスポーターT-2a(バン/バス)<br>車体番号:22.000.096まで,64800,,290914,KONI-CL-qq-e-i-568k,出さない,フロント:80-2110×2<br>リア:80-1967×2,KONI,CLASSIC,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,81000,出さない,出さない
VOLKSWAGEN,コマーシャル,,72～79,トランスポーターT-2b(バン/バス)<br>車体番号:22.000.097から,64800,,290915,KONI-CL-qq-e-i-569k,出さない,フロント:80-2110×2<br>リア:80-2220×2,KONI,CLASSIC,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,81000,出さない,出さない
VOLKSWAGEN,コマーシャル,,80～90,トランスポーターT-3<br>シンクロを除く全車,65600,,291371,KONI-CL-qq-e-i-570k,出さない,フロント:82-2100×2<br>リア:82-2101×2,KONI,CLASSIC,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,82000,出さない,出さない
VOLKSWAGEN,ビートル,,60～65,1200/カルマンギア,48800,,291368,KONI-CL-qq-e-i-541k,出さない,フロント:80-1349×2<br>リア:80-1350×2,KONI,CLASSIC,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,61000,出さない,出さない
VOLKSWAGEN,ビートル,,65～77,1200 A/1300/1500(タイプ1)カルマンギヤ/メキシコ<br>リアシングルジョイントアクスル車用,47200,,290913,KONI-CL-qq-e-i-542k,出さない,フロント:80-1787×2<br>リア:80-1350×2,KONI,CLASSIC,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,59000,出さない,出さない
VOLKSWAGEN,ビートル,,69～77,1200/1300/1500/カルマンギアスポルトマチック/オートマチックリアダブルジョイントアクスル車用(カナダ/USAモデル),48800,,291143,KONI-CL-qq-e-i-543k,出さない,フロント:80-1787×2<br>リア:80-2149×2,KONI,CLASSIC,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,61000,出さない,出さない
VOLKSWAGEN,ビートル,,70～73,1302/1303,60800,,291369,KONI-CL-qq-e-i-544k,出さない,フロント:86-1741×2<br>リア:80-2149×2,KONI,CLASSIC,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,76000,出さない,出さない
VOLKSWAGEN,ビートル,,75～80,1303/スーパービートル(USA),60800,,291144,KONI-CL-qq-e-i-545k,出さない,フロント:86-1980×2<br>リア:80-2149×2,KONI,CLASSIC,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,76000,出さない,出さない
VOLVO,アマゾン セダン,,57～69,GT/ワゴンは除く,52800,,291372,KONI-CL-qq-e-i-790k,出さない,フロント:80-1319×2<br>リア:80-1320×2,KONI,CLASSIC,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,66000,出さない,出さない
