自動車メーカー,車種,型式,適合詳細,最大上げ幅,セット内容,物販売価,Camp価格,商品ID,物販コード,取付コード,メーカー名,商品名,備考,注意事項,定価,送料,SET価格
スバル,サンバートラック,TT1/TT2,,40mm,A+C,33855,,260222,OT-max40-qq-e-f1-h-23k,出さない,OVER TECH,MAX40 保安基準適合リフトアップキット,2019年時点では当製品での強度計算書の提出を指摘されることはありません<br>セット内容は画像にてご確認ください(部品構成の画像は代表車種の物で実際の商品と形状が異なる場合が御座います),キャンバー補正も車種ごとに検討して部品にて対策していますが個体差などにより完全なゼロキャンバーまでならない車両もあることと、ラテラルロッド装着車は左右のズレは発生しますので予めご了承ください<br>車高が上がることにより直前直左の死角が増えることから車検時は別の試験が行われる可能性があります<br>基本40mm設定のブロックキットではありますが、実測で40mmより上がる場合もありますので予めご了承ください<br>当キット装着により極端に車高があがりますので、ドライブシャフトブーツやブッシュ類など部分的には少なからず車両への負担は発生します(装着後の車両整備につきましては今まで以上に十分行ってください)<br>MAX40リフトアップキットは純正ショックアブソーバー&純正スプリング対応となっておりますのでリフトアップスプリング等の併用は出来ません,38000,1100,出さない
スバル,サンバーバン,KV3/KV4,,40mm,A+C,33855,,260196,OT-max40-qq-e-f1-h-27k,OT-max40-qq-e-d-h-27k,OVER TECH,MAX40 保安基準適合リフトアップキット,2019年時点では当製品での強度計算書の提出を指摘されることはありません<br>セット内容は画像にてご確認ください(部品構成の画像は代表車種の物で実際の商品と形状が異なる場合が御座います),キャンバー補正も車種ごとに検討して部品にて対策していますが個体差などにより完全なゼロキャンバーまでならない車両もあることと、ラテラルロッド装着車は左右のズレは発生しますので予めご了承ください<br>車高が上がることにより直前直左の死角が増えることから車検時は別の試験が行われる可能性があります<br>基本40mm設定のブロックキットではありますが、実測で40mmより上がる場合もありますので予めご了承ください<br>当キット装着により極端に車高があがりますので、ドライブシャフトブーツやブッシュ類など部分的には少なからず車両への負担は発生します(装着後の車両整備につきましては今まで以上に十分行ってください)<br>MAX40リフトアップキットは純正ショックアブソーバー&純正スプリング対応となっておりますのでリフトアップスプリング等の併用は出来ません,38000,1100,46400
スバル,サンバーバン,S321B/S331B,,40mm,A+C,33855,,260194,OT-max40-qq-e-f1-h-25k,OT-max40-qq-e-d-h-25k,OVER TECH,MAX40 保安基準適合リフトアップキット,2019年時点では当製品での強度計算書の提出を指摘されることはありません<br>セット内容は画像にてご確認ください(部品構成の画像は代表車種の物で実際の商品と形状が異なる場合が御座います),キャンバー補正も車種ごとに検討して部品にて対策していますが個体差などにより完全なゼロキャンバーまでならない車両もあることと、ラテラルロッド装着車は左右のズレは発生しますので予めご了承ください<br>車高が上がることにより直前直左の死角が増えることから車検時は別の試験が行われる可能性があります<br>基本40mm設定のブロックキットではありますが、実測で40mmより上がる場合もありますので予めご了承ください<br>当キット装着により極端に車高があがりますので、ドライブシャフトブーツやブッシュ類など部分的には少なからず車両への負担は発生します(装着後の車両整備につきましては今まで以上に十分行ってください)<br>MAX40リフトアップキットは純正ショックアブソーバー&純正スプリング対応となっておりますのでリフトアップスプリング等の併用は出来ません,38000,1100,46400
スバル,サンバーバン,TV1/TV2,,40mm,A+C,33855,,260195,OT-max40-qq-e-f1-h-26k,OT-max40-qq-e-d-h-26k,OVER TECH,MAX40 保安基準適合リフトアップキット,2019年時点では当製品での強度計算書の提出を指摘されることはありません<br>セット内容は画像にてご確認ください(部品構成の画像は代表車種の物で実際の商品と形状が異なる場合が御座います),キャンバー補正も車種ごとに検討して部品にて対策していますが個体差などにより完全なゼロキャンバーまでならない車両もあることと、ラテラルロッド装着車は左右のズレは発生しますので予めご了承ください<br>車高が上がることにより直前直左の死角が増えることから車検時は別の試験が行われる可能性があります<br>基本40mm設定のブロックキットではありますが、実測で40mmより上がる場合もありますので予めご了承ください<br>当キット装着により極端に車高があがりますので、ドライブシャフトブーツやブッシュ類など部分的には少なからず車両への負担は発生します(装着後の車両整備につきましては今まで以上に十分行ってください)<br>MAX40リフトアップキットは純正ショックアブソーバー&純正スプリング対応となっておりますのでリフトアップスプリング等の併用は出来ません,38000,1100,46400
ダイハツ,MAX,,2WD/4WD全型式,40mm,A+C,33855,,260204,OT-max40-qq-e-f1-h-38k,OT-max40-qq-e-d-h-38k,OVER TECH,MAX40 保安基準適合リフトアップキット,2019年時点では当製品での強度計算書の提出を指摘されることはありません<br>セット内容は画像にてご確認ください(部品構成の画像は代表車種の物で実際の商品と形状が異なる場合が御座います),キャンバー補正も車種ごとに検討して部品にて対策していますが個体差などにより完全なゼロキャンバーまでならない車両もあることと、ラテラルロッド装着車は左右のズレは発生しますので予めご了承ください<br>車高が上がることにより直前直左の死角が増えることから車検時は別の試験が行われる可能性があります<br>基本40mm設定のブロックキットではありますが、実測で40mmより上がる場合もありますので予めご了承ください<br>当キット装着により極端に車高があがりますので、ドライブシャフトブーツやブッシュ類など部分的には少なからず車両への負担は発生します(装着後の車両整備につきましては今まで以上に十分行ってください)<br>MAX40リフトアップキットは純正ショックアブソーバー&純正スプリング対応となっておりますのでリフトアップスプリング等の併用は出来ません,38000,1100,46400
ダイハツ,アトレーワゴン,S320G/S330G,,40mm,A+C,33855,,260210,OT-max40-qq-e-f1-h-46k,OT-max40-qq-e-d-h-46k,OVER TECH,MAX40 保安基準適合リフトアップキット,2019年時点では当製品での強度計算書の提出を指摘されることはありません<br>セット内容は画像にてご確認ください(部品構成の画像は代表車種の物で実際の商品と形状が異なる場合が御座います),キャンバー補正も車種ごとに検討して部品にて対策していますが個体差などにより完全なゼロキャンバーまでならない車両もあることと、ラテラルロッド装着車は左右のズレは発生しますので予めご了承ください<br>車高が上がることにより直前直左の死角が増えることから車検時は別の試験が行われる可能性があります<br>基本40mm設定のブロックキットではありますが、実測で40mmより上がる場合もありますので予めご了承ください<br>当キット装着により極端に車高があがりますので、ドライブシャフトブーツやブッシュ類など部分的には少なからず車両への負担は発生します(装着後の車両整備につきましては今まで以上に十分行ってください)<br>MAX40リフトアップキットは純正ショックアブソーバー&純正スプリング対応となっておりますのでリフトアップスプリング等の併用は出来ません,38000,1100,46400
ダイハツ,アトレーワゴン,S321G/S331G,,40mm,A+C,33855,,260209,OT-max40-qq-e-f1-h-45k,OT-max40-qq-e-d-h-45k,OVER TECH,MAX40 保安基準適合リフトアップキット,2019年時点では当製品での強度計算書の提出を指摘されることはありません<br>セット内容は画像にてご確認ください(部品構成の画像は代表車種の物で実際の商品と形状が異なる場合が御座います),キャンバー補正も車種ごとに検討して部品にて対策していますが個体差などにより完全なゼロキャンバーまでならない車両もあることと、ラテラルロッド装着車は左右のズレは発生しますので予めご了承ください<br>車高が上がることにより直前直左の死角が増えることから車検時は別の試験が行われる可能性があります<br>基本40mm設定のブロックキットではありますが、実測で40mmより上がる場合もありますので予めご了承ください<br>当キット装着により極端に車高があがりますので、ドライブシャフトブーツやブッシュ類など部分的には少なからず車両への負担は発生します(装着後の車両整備につきましては今まで以上に十分行ってください)<br>MAX40リフトアップキットは純正ショックアブソーバー&純正スプリング対応となっておりますのでリフトアップスプリング等の併用は出来ません,38000,1100,46400
ダイハツ,ネイキッド,,2WD/4WD全型式,40mm,A+C,33855,,260202,OT-max40-qq-e-f1-h-36k,OT-max40-qq-e-d-h-36k,OVER TECH,MAX40 保安基準適合リフトアップキット,2019年時点では当製品での強度計算書の提出を指摘されることはありません<br>セット内容は画像にてご確認ください(部品構成の画像は代表車種の物で実際の商品と形状が異なる場合が御座います),キャンバー補正も車種ごとに検討して部品にて対策していますが個体差などにより完全なゼロキャンバーまでならない車両もあることと、ラテラルロッド装着車は左右のズレは発生しますので予めご了承ください<br>車高が上がることにより直前直左の死角が増えることから車検時は別の試験が行われる可能性があります<br>基本40mm設定のブロックキットではありますが、実測で40mmより上がる場合もありますので予めご了承ください<br>当キット装着により極端に車高があがりますので、ドライブシャフトブーツやブッシュ類など部分的には少なからず車両への負担は発生します(装着後の車両整備につきましては今まで以上に十分行ってください)<br>MAX40リフトアップキットは純正ショックアブソーバー&純正スプリング対応となっておりますのでリフトアップスプリング等の併用は出来ません,38000,1100,46400
ダイハツ,ハイゼットカーゴ,S320V/S330V,,40mm,A+C,33855,,260206,OT-max40-qq-e-f1-h-42k,OT-max40-qq-e-d-h-42k,OVER TECH,MAX40 保安基準適合リフトアップキット,2019年時点では当製品での強度計算書の提出を指摘されることはありません<br>セット内容は画像にてご確認ください(部品構成の画像は代表車種の物で実際の商品と形状が異なる場合が御座います),キャンバー補正も車種ごとに検討して部品にて対策していますが個体差などにより完全なゼロキャンバーまでならない車両もあることと、ラテラルロッド装着車は左右のズレは発生しますので予めご了承ください<br>車高が上がることにより直前直左の死角が増えることから車検時は別の試験が行われる可能性があります<br>基本40mm設定のブロックキットではありますが、実測で40mmより上がる場合もありますので予めご了承ください<br>当キット装着により極端に車高があがりますので、ドライブシャフトブーツやブッシュ類など部分的には少なからず車両への負担は発生します(装着後の車両整備につきましては今まで以上に十分行ってください)<br>MAX40リフトアップキットは純正ショックアブソーバー&純正スプリング対応となっておりますのでリフトアップスプリング等の併用は出来ません,38000,1100,46400
ダイハツ,ハイゼットカーゴ,S321V/S331V,,40mm,A+C,33855,,260205,OT-max40-qq-e-f1-h-41k,OT-max40-qq-e-d-h-41k,OVER TECH,MAX40 保安基準適合リフトアップキット,2019年時点では当製品での強度計算書の提出を指摘されることはありません<br>セット内容は画像にてご確認ください(部品構成の画像は代表車種の物で実際の商品と形状が異なる場合が御座います),キャンバー補正も車種ごとに検討して部品にて対策していますが個体差などにより完全なゼロキャンバーまでならない車両もあることと、ラテラルロッド装着車は左右のズレは発生しますので予めご了承ください<br>車高が上がることにより直前直左の死角が増えることから車検時は別の試験が行われる可能性があります<br>基本40mm設定のブロックキットではありますが、実測で40mmより上がる場合もありますので予めご了承ください<br>当キット装着により極端に車高があがりますので、ドライブシャフトブーツやブッシュ類など部分的には少なからず車両への負担は発生します(装着後の車両整備につきましては今まで以上に十分行ってください)<br>MAX40リフトアップキットは純正ショックアブソーバー&純正スプリング対応となっておりますのでリフトアップスプリング等の併用は出来ません,38000,1100,46400
ダイハツ,ハイゼットデッキバン,S320W/S330W,,40mm,A+C,33855,,260208,OT-max40-qq-e-f1-h-44k,OT-max40-qq-e-d-h-44k,OVER TECH,MAX40 保安基準適合リフトアップキット,2019年時点では当製品での強度計算書の提出を指摘されることはありません<br>セット内容は画像にてご確認ください(部品構成の画像は代表車種の物で実際の商品と形状が異なる場合が御座います),キャンバー補正も車種ごとに検討して部品にて対策していますが個体差などにより完全なゼロキャンバーまでならない車両もあることと、ラテラルロッド装着車は左右のズレは発生しますので予めご了承ください<br>車高が上がることにより直前直左の死角が増えることから車検時は別の試験が行われる可能性があります<br>基本40mm設定のブロックキットではありますが、実測で40mmより上がる場合もありますので予めご了承ください<br>当キット装着により極端に車高があがりますので、ドライブシャフトブーツやブッシュ類など部分的には少なからず車両への負担は発生します(装着後の車両整備につきましては今まで以上に十分行ってください)<br>MAX40リフトアップキットは純正ショックアブソーバー&純正スプリング対応となっておりますのでリフトアップスプリング等の併用は出来ません,38000,1100,46400
ダイハツ,ハイゼットデッキバン,S321W/S331W,,40mm,A+C,33855,,260207,OT-max40-qq-e-f1-h-43k,OT-max40-qq-e-d-h-43k,OVER TECH,MAX40 保安基準適合リフトアップキット,2019年時点では当製品での強度計算書の提出を指摘されることはありません<br>セット内容は画像にてご確認ください(部品構成の画像は代表車種の物で実際の商品と形状が異なる場合が御座います),キャンバー補正も車種ごとに検討して部品にて対策していますが個体差などにより完全なゼロキャンバーまでならない車両もあることと、ラテラルロッド装着車は左右のズレは発生しますので予めご了承ください<br>車高が上がることにより直前直左の死角が増えることから車検時は別の試験が行われる可能性があります<br>基本40mm設定のブロックキットではありますが、実測で40mmより上がる場合もありますので予めご了承ください<br>当キット装着により極端に車高があがりますので、ドライブシャフトブーツやブッシュ類など部分的には少なからず車両への負担は発生します(装着後の車両整備につきましては今まで以上に十分行ってください)<br>MAX40リフトアップキットは純正ショックアブソーバー&純正スプリング対応となっておりますのでリフトアップスプリング等の併用は出来ません,38000,1100,46400
ダイハツ,ハイゼットトラック,S201P/S210P,,40mm,A+D,33855,,260228,OT-max40-qq-e-f1-h-40k,出さない,OVER TECH,MAX40 保安基準適合リフトアップキット,2019年時点では当製品での強度計算書の提出を指摘されることはありません<br>セット内容は画像にてご確認ください(部品構成の画像は代表車種の物で実際の商品と形状が異なる場合が御座います),キャンバー補正も車種ごとに検討して部品にて対策していますが個体差などにより完全なゼロキャンバーまでならない車両もあることと、ラテラルロッド装着車は左右のズレは発生しますので予めご了承ください<br>車高が上がることにより直前直左の死角が増えることから車検時は別の試験が行われる可能性があります<br>基本40mm設定のブロックキットではありますが、実測で40mmより上がる場合もありますので予めご了承ください<br>当キット装着により極端に車高があがりますので、ドライブシャフトブーツやブッシュ類など部分的には少なからず車両への負担は発生します(装着後の車両整備につきましては今まで以上に十分行ってください)<br>MAX40リフトアップキットは純正ショックアブソーバー&純正スプリング対応となっておりますのでリフトアップスプリング等の併用は出来ません,38000,1100,出さない
ダイハツ,ハイゼットトラック,S500P/S510P,,40mm,B+D,33855,,260227,OT-max40-qq-e-f1-h-39k,出さない,OVER TECH,MAX40 保安基準適合リフトアップキット,2019年時点では当製品での強度計算書の提出を指摘されることはありません<br>セット内容は画像にてご確認ください(部品構成の画像は代表車種の物で実際の商品と形状が異なる場合が御座います),キャンバー補正も車種ごとに検討して部品にて対策していますが個体差などにより完全なゼロキャンバーまでならない車両もあることと、ラテラルロッド装着車は左右のズレは発生しますので予めご了承ください<br>車高が上がることにより直前直左の死角が増えることから車検時は別の試験が行われる可能性があります<br>基本40mm設定のブロックキットではありますが、実測で40mmより上がる場合もありますので予めご了承ください<br>当キット装着により極端に車高があがりますので、ドライブシャフトブーツやブッシュ類など部分的には少なからず車両への負担は発生します(装着後の車両整備につきましては今まで以上に十分行ってください)<br>MAX40リフトアップキットは純正ショックアブソーバー&純正スプリング対応となっておりますのでリフトアップスプリング等の併用は出来ません,38000,1100,出さない
ダイハツ,ミラ,L700系,2WD/4WD,40mm,A+C,33855,,260203,OT-max40-qq-e-f1-h-37k,OT-max40-qq-e-d-h-37k,OVER TECH,MAX40 保安基準適合リフトアップキット,2019年時点では当製品での強度計算書の提出を指摘されることはありません<br>セット内容は画像にてご確認ください(部品構成の画像は代表車種の物で実際の商品と形状が異なる場合が御座います),キャンバー補正も車種ごとに検討して部品にて対策していますが個体差などにより完全なゼロキャンバーまでならない車両もあることと、ラテラルロッド装着車は左右のズレは発生しますので予めご了承ください<br>車高が上がることにより直前直左の死角が増えることから車検時は別の試験が行われる可能性があります<br>基本40mm設定のブロックキットではありますが、実測で40mmより上がる場合もありますので予めご了承ください<br>当キット装着により極端に車高があがりますので、ドライブシャフトブーツやブッシュ類など部分的には少なからず車両への負担は発生します(装着後の車両整備につきましては今まで以上に十分行ってください)<br>MAX40リフトアップキットは純正ショックアブソーバー&純正スプリング対応となっておりますのでリフトアップスプリング等の併用は出来ません,38000,1100,46400
トヨタ,ピクシストラック,S201U/S211U,,40mm,B+D,33855,,260211,OT-max40-qq-e-f1-h-1k,出さない,OVER TECH,MAX40 保安基準適合リフトアップキット,2019年時点では当製品での強度計算書の提出を指摘されることはありません<br>セット内容は画像にてご確認ください(部品構成の画像は代表車種の物で実際の商品と形状が異なる場合が御座います),キャンバー補正も車種ごとに検討して部品にて対策していますが個体差などにより完全なゼロキャンバーまでならない車両もあることと、ラテラルロッド装着車は左右のズレは発生しますので予めご了承ください<br>車高が上がることにより直前直左の死角が増えることから車検時は別の試験が行われる可能性があります<br>基本40mm設定のブロックキットではありますが、実測で40mmより上がる場合もありますので予めご了承ください<br>当キット装着により極端に車高があがりますので、ドライブシャフトブーツやブッシュ類など部分的には少なからず車両への負担は発生します(装着後の車両整備につきましては今まで以上に十分行ってください)<br>MAX40リフトアップキットは純正ショックアブソーバー&純正スプリング対応となっておりますのでリフトアップスプリング等の併用は出来ません,38000,1100,出さない
トヨタ,ピクシストラック,S500U/S510U,,40mm,B+D,33855,,260212,OT-max40-qq-e-f1-h-2k,出さない,OVER TECH,MAX40 保安基準適合リフトアップキット,2019年時点では当製品での強度計算書の提出を指摘されることはありません<br>セット内容は画像にてご確認ください(部品構成の画像は代表車種の物で実際の商品と形状が異なる場合が御座います),キャンバー補正も車種ごとに検討して部品にて対策していますが個体差などにより完全なゼロキャンバーまでならない車両もあることと、ラテラルロッド装着車は左右のズレは発生しますので予めご了承ください<br>車高が上がることにより直前直左の死角が増えることから車検時は別の試験が行われる可能性があります<br>基本40mm設定のブロックキットではありますが、実測で40mmより上がる場合もありますので予めご了承ください<br>当キット装着により極端に車高があがりますので、ドライブシャフトブーツやブッシュ類など部分的には少なからず車両への負担は発生します(装着後の車両整備につきましては今まで以上に十分行ってください)<br>MAX40リフトアップキットは純正ショックアブソーバー&純正スプリング対応となっておりますのでリフトアップスプリング等の併用は出来ません,38000,1100,出さない
