自動車メーカー,車種,型式,エンジン,適合詳細,仕様,プレート,種類,販売価格,Camp価格,商品ID,物販コード,メーカー品番,メーカー名,商品名,商品,商品種別,付属品/必要部品,備考,注意事項,定価,入り送料,,規格1,パターン数,管理用コード
スバル,インプレッサ,GDB,EJ20T,6MTのみ,SE機構付き<br>HP(高圧着タイプ)・ダンパー無しクラッチディスク<br>プル式,ツイン,659,129209,,291928,ORC-P659-SB0102-qq-e-579k,ORC-P659-SB0102,ORC,Metal Series ORC-659(ツイン),Metal Series ORC-659,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:純正品をご使用ください。<br>レリーズベアリング:純正品をご使用ください。<br>純正パイロットベアリングが必要となります。,,,182000,0,,,,
スバル,インプレッサ,GDB,EJ20T,6MTのみ,SE機構付き<br>STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プル式,ツイン,559,126417,,291900,ORC-P559D-SB0102-qq-e-577k,ORC-P559D-SB0102,ORC,Metal Series ORC-559(ツイン),Metal Series ORC-559,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:純正品をご使用ください。<br>レリーズベアリング:純正品をご使用ください。<br>純正パイロットベアリングが必要となります。,,,178000,0,,,,
スバル,インプレッサ,GDB,EJ20T,6MTのみ,SE機構付き<br>STD(標準圧着タイプ)・ダンパー無しクラッチディスク<br>プル式,ツイン,559,122228,,291856,ORC-P559-SB0102-qq-e-576k,ORC-P559-SB0102,ORC,Metal Series ORC-559(ツイン),Metal Series ORC-559,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:純正品をご使用ください。<br>レリーズベアリング:純正品をご使用ください。<br>純正パイロットベアリングが必要となります。,,,172000,0,,,,
スバル,インプレッサ,GRB,EJ20T,6MTのみ,SE機構付き<br>STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プル式,シングル,409,91515,,292094,ORC-P409D-SB0102-qq-e-584k,ORC-P409D-SB0102,ORC,Metal Series ORC-409(シングル),Metal Series ORC-409,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:純正品をご使用ください。<br>レリーズベアリング:純正品をご使用ください。<br>純正パイロットベアリングが必要となります。,,,128000,0,,,,
スバル,インプレッサ,GRB,EJ20T,6MTのみ,SE機構付き<br>HP(高圧着タイプ)・ダンパー付きクラッチディスク<br>プル式,ツイン,659,133396,,291955,ORC-P659D-SB0102-qq-e-586k,ORC-P659D-SB0102,ORC,Metal Series ORC-659(ツイン),Metal Series ORC-659,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:純正品をご使用ください。<br>レリーズベアリング:純正品をご使用ください。<br>純正パイロットベアリングが必要となります。,,,188000,0,,,,
スバル,インプレッサ,GRB,EJ20T,6MTのみ,SE機構付き<br>HP(高圧着タイプ)・ダンパー無しクラッチディスク<br>プル式,ツイン,659,129209,,291929,ORC-P659-SB0102-qq-e-587k,ORC-P659-SB0102,ORC,Metal Series ORC-659(ツイン),Metal Series ORC-659,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:純正品をご使用ください。<br>レリーズベアリング:純正品をご使用ください。<br>純正パイロットベアリングが必要となります。,,,182000,0,,,,
スバル,インプレッサ,GRB,EJ20T,6MTのみ,SE機構付き<br>STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プル式,ツイン,559,126417,,291901,ORC-P559D-SB0102-qq-e-583k,ORC-P559D-SB0102,ORC,Metal Series ORC-559(ツイン),Metal Series ORC-559,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:純正品をご使用ください。<br>レリーズベアリング:純正品をご使用ください。<br>純正パイロットベアリングが必要となります。,,,178000,0,,,,
スバル,インプレッサ,GRB,EJ20T,6MTのみ,SE機構付き<br>STD(標準圧着タイプ)・ダンパー無しクラッチディスク<br>プル式,ツイン,559,122228,,291857,ORC-P559-SB0102-qq-e-585k,ORC-P559-SB0102,ORC,Metal Series ORC-559(ツイン),Metal Series ORC-559,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:純正品をご使用ください。<br>レリーズベアリング:純正品をご使用ください。<br>純正パイロットベアリングが必要となります。,,,172000,0,,,,
スバル,インプレッサ,GVB,EJ20T,,SE機構付き<br>STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プル式,シングル,409,91515,,291834,ORC-P409D-SB0102-qq-e-591k,ORC-P409D-SB0102,ORC,Metal Series ORC-409(シングル),Metal Series ORC-409,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:純正品をご使用ください。<br>レリーズベアリング:純正品をご使用ください。<br>純正パイロットベアリングが必要となります。,,,128000,0,,,,
スバル,インプレッサ,GVB,EJ20T,6MTのみ,SE機構付き<br>HP(高圧着タイプ)・ダンパー付きクラッチディスク<br>プル式,ツイン,659,133396,,291956,ORC-P659D-SB0102-qq-e-593k,ORC-P659D-SB0102,ORC,Metal Series ORC-659(ツイン),Metal Series ORC-659,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:純正品をご使用ください。<br>レリーズベアリング:純正品をご使用ください。<br>純正パイロットベアリングが必要となります。,,,188000,0,,,,
スバル,インプレッサ,GVB,EJ20T,6MTのみ,SE機構付き<br>HP(高圧着タイプ)・ダンパー無しクラッチディスク<br>プル式,ツイン,659,129209,,291930,ORC-P659-SB0102-qq-e-592k,ORC-P659-SB0102,ORC,Metal Series ORC-659(ツイン),Metal Series ORC-659,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:純正品をご使用ください。<br>レリーズベアリング:純正品をご使用ください。<br>純正パイロットベアリングが必要となります。,,,182000,0,,,,
スバル,インプレッサ,GVB,EJ20T,6MTのみ,SE機構付き<br>STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プル式,ツイン,559,126417,,291902,ORC-P559D-SB0102-qq-e-595k,ORC-P559D-SB0102,ORC,Metal Series ORC-559(ツイン),Metal Series ORC-559,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:純正品をご使用ください。<br>レリーズベアリング:純正品をご使用ください。<br>純正パイロットベアリングが必要となります。,,,178000,0,,,,
スバル,インプレッサ,GVB,EJ20T,6MTのみ,SE機構付き<br>STD(標準圧着タイプ)・ダンパー無しクラッチディスク<br>プル式,ツイン,559,122228,,292098,ORC-P559-SB0102-qq-e-594k,ORC-P559-SB0102,ORC,Metal Series ORC-559(ツイン),Metal Series ORC-559,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:純正品をご使用ください。<br>レリーズベアリング:純正品をご使用ください。<br>純正パイロットベアリングが必要となります。,,,172000,0,,,,
スバル,レガシィ,BG5/BH5,EJ20T,,SE機構付き<br>STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プル式,シングル,409,91515,,291832,ORC-P409D-SB0101-qq-e-601k,ORC-P409D-SB0101,ORC,Metal Series ORC-409(シングル),Metal Series ORC-409,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:純正品をご使用ください。<br>レリーズベアリング:純正品をご使用ください。<br>純正パイロットベアリングが必要となります。,,,128000,0,,,,
スバル,レガシィ,BG5/BH5,EJ20T,,SE機構付き<br>HP(高圧着タイプ)・ダンパー無しクラッチディスク<br>プル式,ツイン,659,129209,,291926,ORC-P659-SB0101-qq-e-600k,ORC-P659-SB0101,ORC,Metal Series ORC-659(ツイン),Metal Series ORC-659,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:純正品をご使用ください。<br>レリーズベアリング:純正品をご使用ください。<br>純正パイロットベアリングが必要となります。,,,182000,0,,,,
スバル,レガシィ,BG5/BH5,EJ20T,,SE機構付き<br>STD(標準圧着タイプ)・ダンパー無しクラッチディスク<br>プル式,ツイン,559,122228,,291854,ORC-P559-SB0101-qq-e-599k,ORC-P559-SB0101,ORC,Metal Series ORC-559(ツイン),Metal Series ORC-559,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:純正品をご使用ください。<br>レリーズベアリング:純正品をご使用ください。<br>純正パイロットベアリングが必要となります。,,,172000,0,,,,
トヨタ,MR2,SW20,3S-GTE,,STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,シングル,409,74065,,291664,ORC-409D-03T-qq-e-210k,ORC-409D-03T,ORC,Metal Series ORC-409(シングル),Metal Series ORC-409,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ),,,103000,0,,,,
トヨタ,MR-S,ZZW30,1ZZ,,STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,シングル,309,69179,,291587,ORC-309D-15T-qq-e-207k,ORC-309D-15T,ORC,Metal Series ORC-309(シングル),Metal Series ORC-309,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ),オプションとして静音タイプの設定があります。(ご希望の場合はご購入前にお問い合わせください),,96000,0,,,,
トヨタ,アルテッツァ,SXE10,3S-GE,,STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,シングル,309,69179,,291580,ORC-309D-05T-qq-e-215k,ORC-309D-05T,ORC,Metal Series ORC-309(シングル),Metal Series ORC-309,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ),オプションとして静音タイプの設定があります。(ご希望の場合はご購入前にお問い合わせください),,96000,0,,,,
トヨタ,アルテッツァ,SXE10,3S-GE,,STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,ツイン,559,128510,,292071,ORC-559D-05T-qq-e-213k,ORC-559D-05T,ORC,Metal Series ORC-559(ツイン),Metal Series ORC-559,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ),,,181000,0,,,,
トヨタ,アルテッツァ,SXE10,3S-GE,,STD(標準圧着タイプ)・ダンパー無しクラッチディスク<br>プッシュ式,ツイン,559,124322,,292057,ORC-559-05T-qq-e-214k,ORC-559-05T,ORC,Metal Series ORC-559(ツイン),Metal Series ORC-559,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ),,,175000,0,,,,
トヨタ,ヴィッツRS,NCP13,1NZ-FE,,車種専用タイプ・ダンパー付きクラッチディスク<br>プッシュ式,シングル,309,76158,,291612,ORC-309D-TT0911-qq-e-450k,ORC-309D-TT0911,ORC,Metal Series ORC-309(シングル),Metal Series ORC-309,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:純正品を必ずお使い下さい。(ORCクラッチには付属されておりません)<br>レリーズベアリング:純正品をご使用ください。,,,106000,0,,,,
トヨタ,ヴィッツRS,NCP131,1NZ-FE,,車種専用タイプ・ダンパー付きクラッチディスク<br>プッシュ式,シングル,309,76158,,291613,ORC-309D-TT0911-qq-e-452k,ORC-309D-TT0911,ORC,Metal Series ORC-309(シングル),Metal Series ORC-309,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:純正品を必ずお使い下さい。(ORCクラッチには付属されておりません)<br>レリーズベアリング:純正品をご使用ください。,,,106000,0,,,,
トヨタ,ヴィッツRS,NCP91,1NZ-FE,,車種専用タイプ・ダンパー付きクラッチディスク<br>プッシュ式,シングル,309,76158,,292031,ORC-309D-TT0911-qq-e-454k,ORC-309D-TT0911,ORC,Metal Series ORC-309(シングル),Metal Series ORC-309,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:純正品を必ずお使い下さい。(ORCクラッチには付属されておりません)<br>レリーズベアリング:純正品をご使用ください。,,,106000,0,,,,
トヨタ,ヴェロッサ,JZX110,1JZ-GTE,,SE機構付き<br>STD(標準圧着タイプ)・ダンパー無しクラッチディスク<br>プル式,シングル,409,89422,,292093,ORC-P409-TT0202-qq-e-469k,ORC-P409-TT0202,ORC,Metal Series ORC-409(シングル),Metal Series ORC-409,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:純正品をご使用ください。,,,125000,0,,,,
トヨタ,ヴェロッサ,JZX110,1JZ-GTE,,STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,シングル,409,103382,,291662,ORC-409D-02T-qq-e-473k,ORC-409D-02T,ORC,Metal Series ORC-409(シングル),Metal Series ORC-409,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Bタイプ)<br>専用変換キット:クラッチKITに付属されております。,オプションとして静音タイプ、高μタイプ、高圧着カバーの設定があります。(ご希望の場合はご購入前にお問い合わせください),,145000,0,,,,
トヨタ,ヴェロッサ,JZX110,1JZ-GTE,,STD(標準圧着タイプ)・ダンパー無しクラッチディスク<br>プッシュ式,シングル,409,101287,,291645,ORC-409-02T-qq-e-472k,ORC-409-02T,ORC,Metal Series ORC-409(シングル),Metal Series ORC-409,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Bタイプ)<br>専用変換キット:クラッチKITに付属されております。,オプションとして静音タイプ、高μタイプ、高圧着カバーの設定があります。(ご希望の場合はご購入前にお問い合わせください),,142000,0,,,,
トヨタ,ヴェロッサ,JZX110,1JZ-GTE,,HP(高圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,ツイン,659,155733,,291801,ORC-659D-TT0202-qq-e-468k,ORC-659D-TT0202,ORC,Metal Series ORC-659(ツイン),Metal Series ORC-659,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Bタイプ)<br>専用変換キット:クラッチKITに付属されております。,,,220000,0,,,,
トヨタ,ヴェロッサ,JZX110,1JZ-GTE,,HP(高圧着タイプ)・ダンパー無しクラッチディスク<br>プッシュ式,ツイン,659,151545,,291789,ORC-659-TT0202-qq-e-464k,ORC-659-TT0202,ORC,Metal Series ORC-659(ツイン),Metal Series ORC-659,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Bタイプ)<br>専用変換キット:クラッチKITに付属されております。,,,214000,0,,,,
トヨタ,ヴェロッサ,JZX110,1JZ-GTE,,SE機構付き<br>HP(高圧着タイプ)<br>プル式,ツイン,659,129209,,291942,ORC-P659-TT0202-qq-e-459k,ORC-P659-TT0202,ORC,Metal Series ORC-659(ツイン),Metal Series ORC-659,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:純正品をご使用ください。,,,182000,0,,,,
トヨタ,ヴェロッサ,JZX110,1JZ-GTE,,SE機構付き<br>HP(高圧着タイプ)・ダンパー付きクラッチディスク<br>プル式,ツイン,659,133396,,291965,ORC-P659D-TT0202-qq-e-462k,ORC-P659D-TT0202,ORC,Metal Series ORC-659(ツイン),Metal Series ORC-659,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:純正品をご使用ください。,,,188000,0,,,,
トヨタ,ヴェロッサ,JZX110,1JZ-GTE,,SE機構付き<br>STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プル式,ツイン,559,126417,,292109,ORC-P559D-TT0202-qq-e-465k,ORC-P559D-TT0202,ORC,Metal Series ORC-559(ツイン),Metal Series ORC-559,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:純正品をご使用ください。,,,178000,0,,,,
トヨタ,ヴェロッサ,JZX110,1JZ-GTE,,SE機構付き<br>STD(標準圧着タイプ)・ダンパー無しクラッチディスク<br>プル式,ツイン,559,122228,,291867,ORC-P559-TT0202-qq-e-463k,ORC-P559-TT0202,ORC,Metal Series ORC-559(ツイン),Metal Series ORC-559,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:純正品をご使用ください。,,,172000,0,,,,
トヨタ,ヴェロッサ,JZX110,1JZ-GTE,,STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,ツイン,559,148753,,291747,ORC-559D-02T-qq-e-470k,ORC-559D-02T,ORC,Metal Series ORC-559(ツイン),Metal Series ORC-559,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Bタイプ)<br>専用変換キット:クラッチKITに付属されております。,,,210000,0,,,,
トヨタ,ヴェロッサ,JZX110,1JZ-GTE,,STD(標準圧着タイプ)・ダンパー無しクラッチディスク<br>プッシュ式,ツイン,559,144565,,291695,ORC-559-02T-qq-e-467k,ORC-559-02T,ORC,Metal Series ORC-559(ツイン),Metal Series ORC-559,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Bタイプ)<br>専用変換キット:クラッチKITに付属されております。,,,204000,0,,,,
トヨタ,ヴェロッサ,JZX110,1JZ-GTE,,SE機構付き<br>プル式,トリプル,1000F,148753,,291813,ORC-P1000F-TT0202-qq-e-461k,ORC-P1000F-TT0202,ORC,Metal Series ORC-1000F(トリプル),Metal Series ORC-1000F,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:純正品をご使用ください。<br>レリーズベアリング:純正品をご使用ください。,,,210000,0,,,,
トヨタ,ヴェロッサ,JZX110,1JZ-GTE,,プッシュ式,トリプル,1000F,181560,,291559,ORC-1000F-SPL-TT0202-qq-e-466k,ORC-1000F-SPL-TT0202,ORC,Metal Series ORC-1000F(トリプル),Metal Series ORC-1000F,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Bタイプ)<br>専用変換キット:クラッチKITに付属されております。,,ドラッグ専用。走行毎に、クラッチ調整を行って使用してください。,257000,0,,,,
トヨタ,ヴェロッサ,JZX110,1JZ-GTE,,プッシュ式,トリプル,1000F,169693,,292009,ORC-1000F-02T-qq-e-460k,ORC-1000F-02T,ORC,Metal Series ORC-1000F(トリプル),Metal Series ORC-1000F,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Bタイプ)<br>専用変換キット:クラッチKITに付属されております。,,,240000,0,,,,
トヨタ,カローラレビン/スプリンタートレノ,AE101,4A-G,,STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,シングル,309,69179,,291583,ORC-309D-09T2-qq-e-218k,ORC-309D-09T2,ORC,Metal Series ORC-309(シングル),Metal Series ORC-309,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ),オプションとして静音タイプの設定があります。(ご希望の場合はご購入前にお問い合わせください),,96000,0,,,,
トヨタ,カローラレビン/スプリンタートレノ,AE111,4A-G,,STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,シングル,309,69179,,291584,ORC-309D-09T2-qq-e-221k,ORC-309D-09T2,ORC,Metal Series ORC-309(シングル),Metal Series ORC-309,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ),オプションとして静音タイプの設定があります。(ご希望の場合はご購入前にお問い合わせください),,96000,0,,,,
トヨタ,カローラレビン/スプリンタートレノ,AE86,4A-G,,STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,シングル,309,69179,,292024,ORC-309D-13T-qq-e-224k,ORC-309D-13T,ORC,Metal Series ORC-309(シングル),Metal Series ORC-309,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ),オプションとして静音タイプの設定があります。(ご希望の場合はご購入前にお問い合わせください),,96000,0,,,,
トヨタ,カローラレビン/スプリンタートレノ,AE92,4A-G,,STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,シングル,309,69179,,292023,ORC-309D-09T1-qq-e-228k,ORC-309D-09T1,ORC,Metal Series ORC-309(シングル),Metal Series ORC-309,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ),オプションとして静音タイプの設定があります。(ご希望の場合はご購入前にお問い合わせください),,96000,0,,,,
トヨタ,クレスタ,JZX100,1JZ-GTE,,SE機構付き<br>STD(標準圧着タイプ)・ダンパー無しクラッチディスク<br>プル式,シングル,409,89422,,292092,ORC-P409-TT0202-qq-e-236k,ORC-P409-TT0202,ORC,Metal Series ORC-409(シングル),Metal Series ORC-409,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:純正品をご使用ください。,,,125000,0,,,,
トヨタ,クレスタ,JZX100,1JZ-GTE,,STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,シングル,409,103382,,291654,ORC-409D-02T-qq-e-235k,ORC-409D-02T,ORC,Metal Series ORC-409(シングル),Metal Series ORC-409,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Bタイプ)<br>専用変換キット:クラッチKITに付属されております。,オプションとして静音タイプ、高μタイプ、高圧着カバーの設定があります。(ご希望の場合はご購入前にお問い合わせください),,145000,0,,,,
