自動車メーカー,車種,型式,年式,エンジン,駆動方式,グレード,適合詳細,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,スプリング付属,EDFC対応,減衰力調整(F/R),マウント(F/R),基準車高純正比 mm(F/R),スプリングレート Kgf/mm(F/R),自由長 mm(F/R),備考,注意事項,定価,SET価格
トヨタ,アルテッツァ,SXE10,1998/10～2005/07,2000,FR,RS200/Zエディション/Lエディション,,50110,,263282,VSY20-B1SS2-qq-e-48k,VSY20-B1SS2-qq-e-d-48k,4582202769818,VSY20-B1SS2,TEIN,EnduraPro PLUS SP KIT,有,可,○/○,純正マウント/純正マウント,-35/-25,5.5/4.4,286/331,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,63000,65400
トヨタ,アルファード,AGH30W,2015/01～2017/12,2500,FF,G/X/S/S Aパッケージ/S Cパッケージ,サイドリフトアップシート装着車を除く,64426,,263270,VSTB4-B1SS2-qq-e-49k,VSTB4-B1SS2-qq-e-d-49k,4582202769238,VSTB4-B1SS2,TEIN,EnduraPro PLUS SP KIT,有,不可,○/○,純正マウント/純正マウント,-30/-30,3.5/6.7,306/315,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,82000,80600
トヨタ,アルファード,AGH30W,2018/01～,2500,FF,G/X/S/S Aパッケージ/S Cパッケージ,サイドリフトアップシート装着車を除く,64426,,263271,VSTB4-B1SS2-qq-e-50k,VSTB4-B1SS2-qq-e-d-50k,4582202769238,VSTB4-B1SS2,TEIN,EnduraPro PLUS SP KIT,有,不可,○/○,純正マウント/純正マウント,-25/-25,3.5/6.7,306/315,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,82000,80600
トヨタ,アルファード,ANH20W,2008/05～2014/12,2400,FF,240S/240X/240G,,64426,,263244,VSC84-B1SS2-qq-e-51k,VSC84-B1SS2-qq-e-d-51k,4582202768484,VSC84-B1SS2,TEIN,EnduraPro PLUS SP KIT,有,可,○/○,純正マウント/純正マウント,-30/-30,3.3/8.2,313/300,リア:純正ダストブーツの加工が必要。<br>車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,82000,80600
トヨタ,アルファード,GGH30W,2015/01～2017/12,3500,FF,SA/SA Cパッケージ/GF/エグゼクティブラウンジ,サイドリフトアップシート装着車を除く,64426,,263274,VSTB8-B1SS2-qq-e-52k,VSTB8-B1SS2-qq-e-d-52k,4582202768545,VSTB8-B1SS2,TEIN,EnduraPro PLUS SP KIT,有,不可,○/○,純正マウント/純正マウント,-35/-35,3.5/6.7,311/315,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,82000,80600
トヨタ,アルファード,GGH30W,2018/01～,3500,FF,GF/SC/エグゼクティブラウンジ/エグゼクティブラウンジS,サイドリフトアップシート装着車を除く,64426,,263275,VSTB8-B1SS2-qq-e-53k,VSTB8-B1SS2-qq-e-d-53k,4582202768545,VSTB8-B1SS2,TEIN,EnduraPro PLUS SP KIT,有,不可,○/○,純正マウント/純正マウント,-40/-30,3.5/6.7,311/315,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,82000,80600
トヨタ,ヴィッツ,NCP91,2005/02～2010/12,1500,FF,RS,,64426,,263251,VSL70-B1SS2-qq-e-57k,VSL70-B1SS2-qq-e-d-57k,4582202767951,VSL70-B1SS2,TEIN,EnduraPro PLUS SP KIT,有,不可,○/○,純正マウント/純正マウント,-25/-20,2.8/3.2,282/320,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,82000,80600
トヨタ,ヴィッツ,SCP90,2005/02～2010/12,1300,FF,U,,64426,,263252,VSL70-B1SS2-qq-e-6,VSL70-B1SS2-qq-e-d-6,4582202767951,VSL70-B1SS2,TEIN,EnduraPro PLUS SP KIT,有,不可,○/○,純正マウント/純正マウント,-35/-25,2.8/3.2,282/320,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,82000,80600
トヨタ,ヴェルファイア,AGH30W,2015/01～2017/12,2500,FF,Z/Z Aエディション/Z Gエディション/V/X,サイドリフトアップシート装着車を除く,64426,,263272,VSTB4-B1SS2-qq-e-59k,VSTB4-B1SS2-qq-e-d-59k,4582202769238,VSTB4-B1SS2,TEIN,EnduraPro PLUS SP KIT,有,不可,○/○,純正マウント/純正マウント,-30/-30,3.5/6.7,306/315,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,82000,80600
トヨタ,ヴェルファイア,AGH30W,2018/01～,2500,FF,Z/Z Aエディション/Z Gエディション/V/X,サイドリフトアップシート装着車を除く,64426,,263273,VSTB4-B1SS2-qq-e-60k,VSTB4-B1SS2-qq-e-d-60k,4582202769238,VSTB4-B1SS2,TEIN,EnduraPro PLUS SP KIT,有,不可,○/○,純正マウント/純正マウント,-25/-25,3.5/6.7,306/315,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,82000,80600
トヨタ,ヴェルファイア,ANH20W,2008/05～2014/12,2400,FF,2.4V/2.4Z/2.4X,,64426,,263245,VSC84-B1SS2-qq-e-61k,VSC84-B1SS2-qq-e-d-61k,4582202768484,VSC84-B1SS2,TEIN,EnduraPro PLUS SP KIT,有,可,○/○,純正マウント/純正マウント,-30/-30,3.3/8.2,313/300,リア:純正ダストブーツの加工が必要。<br>車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,82000,80600
トヨタ,ヴェルファイア,GGH30W,2015/01～2017/12,3500,FF,ZA/ZA Gエディション/VL/エグゼクティブラウンジ,サイドリフトアップシート装着車を除く,64426,,263276,VSTB8-B1SS2-qq-e-62k,VSTB8-B1SS2-qq-e-d-62k,4582202768545,VSTB8-B1SS2,TEIN,EnduraPro PLUS SP KIT,有,不可,○/○,純正マウント/純正マウント,-35/-35,3.5/6.7,311/315,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,82000,80600
トヨタ,ヴェルファイア,GGH30W,2018/01～,3500,FF,ZG/VL/エグゼクティブラウンジ/エグゼクティブラウンジZ,サイドリフトアップシート装着車を除く,64426,,263277,VSTB8-B1SS2-qq-e-63k,VSTB8-B1SS2-qq-e-d-63k,4582202768545,VSTB8-B1SS2,TEIN,EnduraPro PLUS SP KIT,有,不可,○/○,純正マウント/純正マウント,-40/-30,3.5/6.7,311/315,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,82000,80600
トヨタ,エスティマ,ACR50W,2006/01～2016/05,2400,FF,X/G/アエラスS,,64426,,263253,VSL98-B1SS2-qq-e-54k,VSL98-B1SS2-qq-e-d-54k,4582202769252,VSL98-B1SS2,TEIN,EnduraPro PLUS SP KIT,有,エクステンションキットで対応,○/○,純正マウント/純正マウント,-25/-25,3.3/8.2,313/299,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,82000,80600
トヨタ,カローラルミオン,ZRE152N,2007/10～2015/12,1800,FF,1.8S/1.8Sエアロツアラー,,64426,,263243,VSC70-B1SS2-qq-e-55k,VSC70-B1SS2-qq-e-d-55k,4589533462395,VSC70-B1SS2,TEIN,EnduraPro PLUS SP KIT,有,不可,○/○,純正マウント/純正マウント,-20/-35,2.6/3.2,289/335,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,82000,80600
トヨタ,プリウス,ZVW30,2009/05～2015/11,1800,FF,Sツーリングセレクション/Gツーリングセレクション,,64426,,263262,VSQ08-B1SS2-qq-e-64k,VSQ08-B1SS2-qq-e-d-64k,4582202768057,VSQ08-B1SS2,TEIN,EnduraPro PLUS SP KIT,有,不可,○/○,純正マウント/純正マウント,-30/-35,2.4/3.0,318/335,リア:純正ダストブーツの加工が必要。<br>フロントアッパーマウント:フローティングタイプ(入力分離型)専用(参考グレード:G/Sのツーリングセレクション(G/Sのムーンルーフ装着車は未確認))<br>車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,82000,80600
トヨタ,プリウス,ZVW30,2011/12～2015/11,1800,FF,G/S/L,マイナーチェンジ後(2011/12～)車両専用,64426,,263263,VSQ08-B1SS2-qq-e-65k,VSQ08-B1SS2-qq-e-d-65k,4582202768057,VSQ08-B1SS2,TEIN,EnduraPro PLUS SP KIT,有,不可,○/○,純正マウント/純正マウント,-30/-30,2.4/3.0,318/335,リア:純正ダストブーツの加工が必要。<br>フロントアッパーマウント:フローティングタイプ(入力分離型)専用(参考グレード:G/S/L(Gのムーンルーフ装着車、185/65-15装着車は未確認))<br>車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,82000,80600
トヨタ,マークX,GRX130,2009/10～2013/11,2500,FR,250G/250G Sパッケージ/250G Fパッケージ/250G リラックスセレクション,,50110,,263264,VSQ22-B1SS2-qq-e-1,VSQ22-B1SS2-qq-e-d-1,4582202767272,VSQ22-B1SS2,TEIN,EnduraPro PLUS SP KIT,有,可,○/○,純正マウント/純正マウント,-35/-35,5.0/5.8,277/309,AVSの機能は失われます。<br>車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,63000,65400
