自動車メーカー,車種,型式,年式,エンジン,ミッション,駆動,適合詳細,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,車高,備考,注意事項,定価,SET価格
ホンダ,N-BOXスラッシュ,JF1-710,15年12月～17年12月,S07A,CVT,FF,G・Lインテリアカラーパッケージ,81587,,292187,50000-XMDC-K0S0-qq-e-98k,50000-XMDC-K0S0-qq-e-d-98k,50000-XMDC-K0S0,MUGEN,スポーツサスペンション,約-15mm,ダンパーとスプリングのセット,,95000,95800
ホンダ,N-BOXスラッシュ,JF1-710,15年12月～17年12月,S07A,CVT,FF,G・Lパッケージ,81587,,292188,50000-XMDC-K0S0-qq-e-99k,50000-XMDC-K0S0-qq-e-d-99k,50000-XMDC-K0S0,MUGEN,スポーツサスペンション,約-15mm,ダンパーとスプリングのセット,,95000,95800
ホンダ,N-BOXスラッシュ,JF1-710,15年12月～17年12月,S07A,CVT,FF,X,81587,,292177,50000-XMDC-K0S0-qq-e-100k,50000-XMDC-K0S0-qq-e-d-100k,50000-XMDC-K0S0,MUGEN,スポーツサスペンション,約-15mm,ダンパーとスプリングのセット,,95000,95800
ホンダ,N-BOXスラッシュ,JF1-900,14年12月～15年11月,S07A,CVT,FF,G/Aパッケージ,81587,,292183,50000-XMDC-K0S0-qq-e-106k,50000-XMDC-K0S0-qq-e-d-106k,50000-XMDC-K0S0,MUGEN,スポーツサスペンション,約-15mm,ダンパーとスプリングのセット,,95000,95800
ホンダ,N-BOXスラッシュ,JF1-900,14年12月～15年11月,S07A,CVT,FF,Gターボ/Aパッケージ,81587,,292184,50000-XMDC-K0S0-qq-e-107k,50000-XMDC-K0S0-qq-e-d-107k,50000-XMDC-K0S0,MUGEN,スポーツサスペンション,約-15mm,ダンパーとスプリングのセット,,95000,95800
ホンダ,N-BOXスラッシュ,JF1-900,14年12月～15年11月,S07A,CVT,FF,X/ターボパッケージ,81587,,292185,50000-XMDC-K0S0-qq-e-108k,50000-XMDC-K0S0-qq-e-d-108k,50000-XMDC-K0S0,MUGEN,スポーツサスペンション,約-15mm,ダンパーとスプリングのセット,,95000,95800
ホンダ,N-BOXスラッシュ,JF1-910,15年12月～17年12月,S07A,CVT,FF,G・ターボ Lパッケージ,81587,,292179,50000-XMDC-K0S0-qq-e-102k,50000-XMDC-K0S0-qq-e-d-102k,50000-XMDC-K0S0,MUGEN,スポーツサスペンション,約-15mm,ダンパーとスプリングのセット,,95000,95800
ホンダ,N-BOXスラッシュ,JF1-910,15年12月～17年12月,S07A,CVT,FF,G・ターボLインテリアカラーパッケージ,81587,,292178,50000-XMDC-K0S0-qq-e-101k,50000-XMDC-K0S0-qq-e-d-101k,50000-XMDC-K0S0,MUGEN,スポーツサスペンション,約-15mm,ダンパーとスプリングのセット,,95000,95800
ホンダ,N-BOXスラッシュ,JF1-910,15年12月～17年12月,S07A,CVT,FF,X・ターボパッケージ,81587,,292180,50000-XMDC-K0S0-qq-e-103k,50000-XMDC-K0S0-qq-e-d-103k,50000-XMDC-K0S0,MUGEN,スポーツサスペンション,約-15mm,ダンパーとスプリングのセット,,95000,95800
ホンダ,S660,JW5-100,15年4月～,S07A,6MT,MR,α,133939,,292293,50000-XNA-K0S0-qq-e-141k,50000-XNA-K0S0-qq-e-d-141k,50000-XNA-K0S0,MUGEN,スポーツサスペンション,,ダンパーとスプリングのアッセンブリ,,158000,149300
ホンダ,S660,JW5-100,15年4月～,S07A,6MT,MR,β,133939,,292295,50000-XNA-K0S0-qq-e-143k,50000-XNA-K0S0-qq-e-d-143k,50000-XNA-K0S0,MUGEN,スポーツサスペンション,,ダンパーとスプリングのアッセンブリ,,158000,149300
ホンダ,S660,JW5-100,15年4月～,S07A,CVT,MR,α,133939,,292294,50000-XNA-K0S0-qq-e-142k,50000-XNA-K0S0-qq-e-d-142k,50000-XNA-K0S0,MUGEN,スポーツサスペンション,,ダンパーとスプリングのアッセンブリ,,158000,149300
ホンダ,S660,JW5-100,15年4月～,S07A,CVT,MR,β,133939,,292296,50000-XNA-K0S0-qq-e-144k,50000-XNA-K0S0-qq-e-d-144k,50000-XNA-K0S0,MUGEN,スポーツサスペンション,,ダンパーとスプリングのアッセンブリ,,158000,149300
ホンダ,インサイト,ZE2-140,11年11月～,LDA,CVT,FF,G,85743,,292132,50000-XLQB-K0S0-qq-e-67k,50000-XLQB-K0S0-qq-e-d-67k,50000-XLQB-K0S0,MUGEN,スポーツサスペンション,ノーマル同等,ダンパーとスプリングのセット,,100000,100000
ホンダ,インサイト,ZE2-140,11年11月～,LDA,CVT,FF,L,85743,,292133,50000-XLQB-K0S0-qq-e-68k,50000-XLQB-K0S0-qq-e-d-68k,50000-XLQB-K0S0,MUGEN,スポーツサスペンション,ノーマル同等,ダンパーとスプリングのセット,,100000,100000
ホンダ,インサイト,ZE3-100,11年11月～,LEA,CVT,FF,XG,85743,,292134,50000-XLQB-K0S0-qq-e-69k,50000-XLQB-K0S0-qq-e-d-69k,50000-XLQB-K0S0,MUGEN,スポーツサスペンション,ノーマル同等,ダンパーとスプリングのセット,,100000,100000
ホンダ,インサイト,ZE3-100,11年11月～,LEA,CVT,FF,XL,85743,,292135,50000-XLQB-K0S0-qq-e-70k,50000-XLQB-K0S0-qq-e-d-70k,50000-XLQB-K0S0,MUGEN,スポーツサスペンション,ノーマル同等,ダンパーとスプリングのセット,,100000,100000
ホンダ,インサイト,ZE3-100,11年11月～,LEA,CVT,FF,XL インターナビセレクト,85743,,292136,50000-XLQB-K0S0-qq-e-71k,50000-XLQB-K0S0-qq-e-d-71k,50000-XLQB-K0S0,MUGEN,スポーツサスペンション,ノーマル同等,ダンパーとスプリングのセット,,100000,100000
ホンダ,ヴェゼルハイブリッド,RU3-100,13年12月～16年1月,LEB-H1,7AT,FF,X,152221,,292270,50000-XMR-K0S0-qq-e-177k,50000-XMR-K0S0-qq-e-d-177k,50000-XMR-K0S0,MUGEN,スポーツサスペンション,約-25mm,ダンパーとスプリングのセット,,180000,168000
ホンダ,ヴェゼルハイブリッド,RU3-100,13年12月～16年1月,LEB-H1,7AT,FF,Z,152221,,292271,50000-XMR-K0S0-qq-e-178k,50000-XMR-K0S0-qq-e-d-178k,50000-XMR-K0S0,MUGEN,スポーツサスペンション,約-25mm,ダンパーとスプリングのセット,,180000,168000
ホンダ,ヴェゼルハイブリッド,RU3-100,13年12月～16年1月,LEB-H1,7AT,FF,,152221,,292269,50000-XMR-K0S0-qq-e-176k,50000-XMR-K0S0-qq-e-d-176k,50000-XMR-K0S0,MUGEN,スポーツサスペンション,約-25mm,ダンパーとスプリングのセット,,180000,168000
ホンダ,ヴェゼルハイブリッド,RU3-120,16年2月～18年2月,LEB-H1,DCT,FF,RS・ホンダセンシング,152221,,292266,50000-XMR-K0S0-qq-e-170k,50000-XMR-K0S0-qq-e-d-170k,50000-XMR-K0S0,MUGEN,スポーツサスペンション,約-25mm,ダンパーとスプリングのセット,,180000,168000
ホンダ,ヴェゼルハイブリッド,RU3-120,16年2月～18年2月,LEB-H1,DCT,FF,X・ホンダセンシング,152221,,292267,50000-XMR-K0S0-qq-e-171k,50000-XMR-K0S0-qq-e-d-171k,50000-XMR-K0S0,MUGEN,スポーツサスペンション,約-25mm,ダンパーとスプリングのセット,,180000,168000
ホンダ,ヴェゼルハイブリッド,RU3-120,16年2月～18年2月,LEB-H1,DCT,FF,Z・ホンダセンシング,152221,,292268,50000-XMR-K0S0-qq-e-172k,50000-XMR-K0S0-qq-e-d-172k,50000-XMR-K0S0,MUGEN,スポーツサスペンション,約-25mm,ダンパーとスプリングのセット,,180000,168000
ホンダ,ヴェゼルハイブリッド,RU3-120,16年2月～18年2月,LEB-H1,DCT,FF,,152221,,292265,50000-XMR-K0S0-qq-e-169k,50000-XMR-K0S0-qq-e-d-169k,50000-XMR-K0S0,MUGEN,スポーツサスペンション,約-25mm,ダンパーとスプリングのセット,,180000,168000
ホンダ,ヴェゼルハイブリッド,RU3-130,18年2月～,LEB-H1,7AT,FF,RS ホンダセンシング,152221,,292261,50000-XMR-K0S0-qq-e-160k,50000-XMR-K0S0-qq-e-d-160k,50000-XMR-K0S0,MUGEN,スポーツサスペンション,約-25mm,ダンパーとスプリングのセット,,180000,168000
ホンダ,ヴェゼルハイブリッド,RU3-130,18年2月～,LEB-H1,7AT,FF,X,152221,,292262,50000-XMR-K0S0-qq-e-161k,50000-XMR-K0S0-qq-e-d-161k,50000-XMR-K0S0,MUGEN,スポーツサスペンション,約-25mm,ダンパーとスプリングのセット,,180000,168000
ホンダ,ヴェゼルハイブリッド,RU3-130,18年2月～,LEB-H1,7AT,FF,X ホンダセンシング,152221,,292263,50000-XMR-K0S0-qq-e-162k,50000-XMR-K0S0-qq-e-d-162k,50000-XMR-K0S0,MUGEN,スポーツサスペンション,約-25mm,ダンパーとスプリングのセット,,180000,168000
ホンダ,ヴェゼルハイブリッド,RU3-130,18年2月～,LEB-H1,7AT,FF,Z ホンダセンシング,152221,,292264,50000-XMR-K0S0-qq-e-163k,50000-XMR-K0S0-qq-e-d-163k,50000-XMR-K0S0,MUGEN,スポーツサスペンション,約-25mm,ダンパーとスプリングのセット,,180000,168000
ホンダ,ヴェゼルハイブリッド,RU3-130,18年2月～,LEB-H1,7AT,FF,ホンダセンシング,152221,,292260,50000-XMR-K0S0-qq-e-159k,50000-XMR-K0S0-qq-e-d-159k,50000-XMR-K0S0,MUGEN,スポーツサスペンション,約-25mm,ダンパーとスプリングのセット,,180000,168000
ホンダ,ヴェゼルハイブリッド,RU3-130,18年2月～,LEB-H1,7AT,FF,,152221,,292259,50000-XMR-K0S0-qq-e-158k,50000-XMR-K0S0-qq-e-d-158k,50000-XMR-K0S0,MUGEN,スポーツサスペンション,約-25mm,ダンパーとスプリングのセット,,180000,168000
ホンダ,ヴェゼルハイブリッド,RU4-100,13年12月～16年1月,LEB-H1,7AT,4WD,X,152221,,292281,50000-XMR-K1S0-qq-e-180k,50000-XMR-K1S0-qq-e-d-180k,50000-XMR-K1S0,MUGEN,スポーツサスペンション,約-25mm,ダンパーとスプリングのセット,,180000,168000
ホンダ,ヴェゼルハイブリッド,RU4-100,13年12月～16年1月,LEB-H1,7AT,4WD,XL,152221,,292282,50000-XMR-K1S0-qq-e-181k,50000-XMR-K1S0-qq-e-d-181k,50000-XMR-K1S0,MUGEN,スポーツサスペンション,約-25mm,ダンパーとスプリングのセット,,180000,168000
ホンダ,ヴェゼルハイブリッド,RU4-100,13年12月～16年1月,LEB-H1,7AT,4WD,,152221,,292280,50000-XMR-K1S0-qq-e-179k,50000-XMR-K1S0-qq-e-d-179k,50000-XMR-K1S0,MUGEN,スポーツサスペンション,約-25mm,ダンパーとスプリングのセット,,180000,168000
ホンダ,ヴェゼルハイブリッド,RU4-120,16年2月～18年2月,LEB-H1,DCT,4WD,X・ホンダセンシング,152221,,292278,50000-XMR-K1S0-qq-e-174k,50000-XMR-K1S0-qq-e-d-174k,50000-XMR-K1S0,MUGEN,スポーツサスペンション,約-25mm,ダンパーとスプリングのセット,,180000,168000
ホンダ,ヴェゼルハイブリッド,RU4-120,16年2月～18年2月,LEB-H1,DCT,4WD,Z・ホンダセンシング,152221,,292279,50000-XMR-K1S0-qq-e-175k,50000-XMR-K1S0-qq-e-d-175k,50000-XMR-K1S0,MUGEN,スポーツサスペンション,約-25mm,ダンパーとスプリングのセット,,180000,168000
ホンダ,ヴェゼルハイブリッド,RU4-120,16年2月～18年2月,LEB-H1,DCT,4WD,,152221,,292277,50000-XMR-K1S0-qq-e-173k,50000-XMR-K1S0-qq-e-d-173k,50000-XMR-K1S0,MUGEN,スポーツサスペンション,約-25mm,ダンパーとスプリングのセット,,180000,168000
ホンダ,ヴェゼルハイブリッド,RU4-130,18年2月～,LEB-H1,7AT,4WD,X,152221,,292274,50000-XMR-K1S0-qq-e-166k,50000-XMR-K1S0-qq-e-d-166k,50000-XMR-K1S0,MUGEN,スポーツサスペンション,約-25mm,ダンパーとスプリングのセット,,180000,168000
ホンダ,ヴェゼルハイブリッド,RU4-130,18年2月～,LEB-H1,7AT,4WD,X ホンダセンシング,152221,,292275,50000-XMR-K1S0-qq-e-167k,50000-XMR-K1S0-qq-e-d-167k,50000-XMR-K1S0,MUGEN,スポーツサスペンション,約-25mm,ダンパーとスプリングのセット,,180000,168000
ホンダ,ヴェゼルハイブリッド,RU4-130,18年2月～,LEB-H1,7AT,4WD,Z ホンダセンシング,152221,,292276,50000-XMR-K1S0-qq-e-168k,50000-XMR-K1S0-qq-e-d-168k,50000-XMR-K1S0,MUGEN,スポーツサスペンション,約-25mm,ダンパーとスプリングのセット,,180000,168000
ホンダ,ヴェゼルハイブリッド,RU4-130,18年2月～,LEB-H1,7AT,4WD,ホンダセンシング,152221,,292273,50000-XMR-K1S0-qq-e-165k,50000-XMR-K1S0-qq-e-d-165k,50000-XMR-K1S0,MUGEN,スポーツサスペンション,約-25mm,ダンパーとスプリングのセット,,180000,168000
ホンダ,ヴェゼルハイブリッド,RU4-130,18年2月～,LEB-H1,7AT,4WD,,152221,,292272,50000-XMR-K1S0-qq-e-164k,50000-XMR-K1S0-qq-e-d-164k,50000-XMR-K1S0,MUGEN,スポーツサスペンション,約-25mm,ダンパーとスプリングのセット,,180000,168000
ホンダ,オデッセイ,RC1-100,13年11月～14年12月,K24W,CVT,FF,B,168841,,292237,50000-XML-K1S0-qq-e-137k,50000-XML-K1S0-qq-e-d-137k,50000-XML-K1S0,MUGEN,スポーツサスペンション,約-15mm,ダンパーとスプリングのセット,,200000,185000
ホンダ,オデッセイ,RC1-100,13年11月～14年12月,K24W,CVT,FF,G,168841,,292238,50000-XML-K1S0-qq-e-138k,50000-XML-K1S0-qq-e-d-138k,50000-XML-K1S0,MUGEN,スポーツサスペンション,約-15mm,ダンパーとスプリングのセット,,200000,185000
ホンダ,オデッセイ,RC1-100,13年11月～14年12月,K24W,CVT,FF,G・EX,168841,,292240,50000-XML-K1S0-qq-e-140k,50000-XML-K1S0-qq-e-d-140k,50000-XML-K1S0,MUGEN,スポーツサスペンション,約-15mm,ダンパーとスプリングのセット,,200000,185000
ホンダ,オデッセイ,RC1-100,13年11月～14年12月,K24W,CVT,FF,G・エアロパッケージ,168841,,292239,50000-XML-K1S0-qq-e-139k,50000-XML-K1S0-qq-e-d-139k,50000-XML-K1S0,MUGEN,スポーツサスペンション,約-15mm,ダンパーとスプリングのセット,,200000,185000
ホンダ,オデッセイ,RC1-110,15年1月～16年1月,K24W,CVT,FF,G,168841,,292232,50000-XML-K1S0-qq-e-132k,50000-XML-K1S0-qq-e-d-132k,50000-XML-K1S0,MUGEN,スポーツサスペンション,約-15mm,ダンパーとスプリングのセット,,200000,185000
ホンダ,オデッセイ,RC1-110,15年1月～16年1月,K24W,CVT,FF,G・EX,168841,,292233,50000-XML-K1S0-qq-e-133k,50000-XML-K1S0-qq-e-d-133k,50000-XML-K1S0,MUGEN,スポーツサスペンション,約-15mm,ダンパーとスプリングのセット,,200000,185000
ホンダ,オデッセイ,RC1-110,15年1月～16年1月,K24W,CVT,FF,G・エアロパッケージ,168841,,292234,50000-XML-K1S0-qq-e-134k,50000-XML-K1S0-qq-e-d-134k,50000-XML-K1S0,MUGEN,スポーツサスペンション,約-15mm,ダンパーとスプリングのセット,,200000,185000
ホンダ,オデッセイ,RC1-110,16年2月～,K24W,CVT,FF,G 7人乗り,168841,,292225,50000-XML-K1S0-qq-e-119k,50000-XML-K1S0-qq-e-d-119k,50000-XML-K1S0,MUGEN,スポーツサスペンション,約-15mm,ダンパーとスプリングのセット,,200000,185000
ホンダ,オデッセイ,RC1-110,16年2月～,K24W,CVT,FF,G 8人乗り,168841,,292226,50000-XML-K1S0-qq-e-120k,50000-XML-K1S0-qq-e-d-120k,50000-XML-K1S0,MUGEN,スポーツサスペンション,約-15mm,ダンパーとスプリングのセット,,200000,185000
ホンダ,オデッセイ,RC1-110,16年2月～,K24W,CVT,FF,G EX ホンダセンシング,168841,,292227,50000-XML-K1S0-qq-e-121k,50000-XML-K1S0-qq-e-d-121k,50000-XML-K1S0,MUGEN,スポーツサスペンション,約-15mm,ダンパーとスプリングのセット,,200000,185000
ホンダ,オデッセイアブソルート,RC1-100,13年11月～14年12月,K24W,CVT,FF,EX,168841,,292236,50000-XML-K1S0-qq-e-136k,50000-XML-K1S0-qq-e-d-136k,50000-XML-K1S0,MUGEN,スポーツサスペンション,約-15mm,ダンパーとスプリングのセット,,200000,185000
ホンダ,オデッセイアブソルート,RC1-100,13年11月～14年12月,K24W,CVT,FF,,168841,,292235,50000-XML-K1S0-qq-e-135k,50000-XML-K1S0-qq-e-d-135k,50000-XML-K1S0,MUGEN,スポーツサスペンション,約-15mm,ダンパーとスプリングのセット,,200000,185000
ホンダ,オデッセイアブソルート,RC1-110,15年1月～16年1月,K24W,CVT,FF,20THアニバーサリー,168841,,292228,50000-XML-K1S0-qq-e-128k,50000-XML-K1S0-qq-e-d-128k,50000-XML-K1S0,MUGEN,スポーツサスペンション,約-15mm,ダンパーとスプリングのセット,,200000,185000
ホンダ,オデッセイアブソルート,RC1-110,15年1月～16年1月,K24W,CVT,FF,7人乗り,168841,,292229,50000-XML-K1S0-qq-e-129k,50000-XML-K1S0-qq-e-d-129k,50000-XML-K1S0,MUGEN,スポーツサスペンション,約-15mm,ダンパーとスプリングのセット,,200000,185000
ホンダ,オデッセイアブソルート,RC1-110,15年1月～16年1月,K24W,CVT,FF,8人乗り,168841,,292230,50000-XML-K1S0-qq-e-130k,50000-XML-K1S0-qq-e-d-130k,50000-XML-K1S0,MUGEN,スポーツサスペンション,約-15mm,ダンパーとスプリングのセット,,200000,185000
ホンダ,オデッセイアブソルート,RC1-110,15年1月～16年1月,K24W,CVT,FF,EX,168841,,292231,50000-XML-K1S0-qq-e-131k,50000-XML-K1S0-qq-e-d-131k,50000-XML-K1S0,MUGEN,スポーツサスペンション,約-15mm,ダンパーとスプリングのセット,,200000,185000
ホンダ,オデッセイアブソルート,RC1-110,16年2月～,K24W,CVT,FF,EX ホンダセンシング,168841,,292222,50000-XML-K1S0-qq-e-116k,50000-XML-K1S0-qq-e-d-116k,50000-XML-K1S0,MUGEN,スポーツサスペンション,約-15mm,ダンパーとスプリングのセット,,200000,185000
ホンダ,オデッセイアブソルート,RC1-110,16年2月～,K24W,CVT,FF,X ホンダセンシング,168841,,292223,50000-XML-K1S0-qq-e-117k,50000-XML-K1S0-qq-e-d-117k,50000-XML-K1S0,MUGEN,スポーツサスペンション,約-15mm,ダンパーとスプリングのセット,,200000,185000
ホンダ,オデッセイアブソルート,RC1-110,16年2月～,K24W,CVT,FF,X ホンダセンシング アドバンスドパッケージ,168841,,292224,50000-XML-K1S0-qq-e-118k,50000-XML-K1S0-qq-e-d-118k,50000-XML-K1S0,MUGEN,スポーツサスペンション,約-15mm,ダンパーとスプリングのセット,,200000,185000
ホンダ,オデッセイアブソルート,RC1-110,16年2月～,K24W,CVT,FF,,168841,,292221,50000-XML-K1S0-qq-e-115k,50000-XML-K1S0-qq-e-d-115k,50000-XML-K1S0,MUGEN,スポーツサスペンション,約-15mm,ダンパーとスプリングのセット,,200000,185000
ホンダ,オデッセイアブソルート,RC1-120,17年11月～,K24W,CVT,FF,EX ホンダセンシング 7人乗り,168841,,292218,50000-XML-K1S0-qq-e-109k,50000-XML-K1S0-qq-e-d-109k,50000-XML-K1S0,MUGEN,スポーツサスペンション,約-15mm,ダンパーとスプリングのセット,,200000,185000
ホンダ,オデッセイアブソルート,RC1-120,17年11月～,K24W,CVT,FF,ホンダセンシング 7人乗り,168841,,292219,50000-XML-K1S0-qq-e-110k,50000-XML-K1S0-qq-e-d-110k,50000-XML-K1S0,MUGEN,スポーツサスペンション,約-15mm,ダンパーとスプリングのセット,,200000,185000
ホンダ,オデッセイアブソルート,RC1-120,17年11月～,K24W,CVT,FF,ホンダセンシング 8人乗り,168841,,292220,50000-XML-K1S0-qq-e-111k,50000-XML-K1S0-qq-e-d-111k,50000-XML-K1S0,MUGEN,スポーツサスペンション,約-15mm,ダンパーとスプリングのセット,,200000,185000
