スズキ,ワゴンR,MH21S,H16/12～17/9,K6A,2WD 3型 ターボ/FT,,11000,,226950,ESS-4730-qq-e-f1-3761,ESS-4730-qq-e-d-3761,4536190147301,ESS-4730,ESPELIR,Super DOWNSUS Type2,1台分,50～55/45～50,,2.8/2.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/213238>BR-496F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/216877>BR-224R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,25000,25500
スズキ,ワゴンR,MH21S,H16/12～17/9,K6A,2WD 3型 ターボ/RR/RR-D1,Fr：50～55mm<br>Rr：45～50mm,11000,,223071,ESS-2380-qq-e-f1-3741,ESS-2380-qq-e-d-3741,4536190123800,ESS-2380,ESPELIR,Super DOWNSUS Type2,1台分,50～55/45～50,Fr：50～55mm<br>Rr：45～50mm,2.8/2.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/215216>BR-496F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/220718>BR-224R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,25000,25500
スズキ,ワゴンR,MH21S,H16/12～17/9,K6A,4WD 3型 NA車/FA/FX,Fr：43～48mm<br>Rr：37～42mm,11440,,222396,ESS-4732-qq-e-f1-3763,ESS-4732-qq-e-d-3763,4536190147325,ESS-4732,ESPELIR,Super DOWNSUS Type2,1台分,43～48/37～42,Fr：43～48mm<br>Rr：37～42mm,2.8/2.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/217062>BR-496F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/216182>BR-224R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,26000,26000
スズキ,ワゴンR,MH21S,H16/12～17/9,K6A,4WD 3型 NA車/FX-S リミテッド,,11440,,226188,ESS-4734-qq-e-f1-3765,ESS-4734-qq-e-d-3765,4536190147349,ESS-4734,ESPELIR,Super DOWNSUS Type2,1台分,43～48/37～42,,2.8/2.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/213239>BR-496F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/220205>BR-224R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,26000,26000
スズキ,ワゴンR,MH21S,H16/12～17/9,K6A,4WD 3型 ターボ/FT,,11440,,226633,ESS-4736-qq-e-f1-3767,ESS-4736-qq-e-d-3767,4536190147363,ESS-4736,ESPELIR,Super DOWNSUS Type2,1台分,43～48/37～42,,2.8/2.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/213240>BR-496F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/218204>BR-224R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,26000,26000
スズキ,ワゴンR,MH21S,H16/12～17/9,K6A,4WD 3型 ターボ/FT-Sリミテッド,Fr：43～48mm<br>Rr：37～42mm,11440,,222380,ESS-2015-qq-e-f1-3161,ESS-2015-qq-e-d-3161,4536190120151,ESS-2015,ESPELIR,Super DOWNSUS Type2,1台分,43～48/37～42,Fr：43～48mm<br>Rr：37～42mm,2.8/2.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/216544>BR-496F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/215866>BR-224R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,26000,26000
スズキ,ワゴンR,MH21S,H16/12～17/9,K6A,4WD 3型 ターボ/RR/RR-D1,,11440,,225889,ESS-4738-qq-e-f1-3769,ESS-4738-qq-e-d-3769,4536190147387,ESS-4738,ESPELIR,Super DOWNSUS Type2,1台分,43～48/37～42,,2.8/2.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/214236>BR-496F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/216183>BR-224R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,26000,26000
スズキ,ワゴンR,MH21S,H16/7～16/12,K6A,2WD 2型/ターボ/FTリミテッド,,11000,,227598,ESS-2359-qq-e-f1-3738,ESS-2359-qq-e-d-3738,4536190123596,ESS-2359,ESPELIR,Super DOWNSUS Type2,1台分,48～53/45～50,,2.8/2.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/219570>BR-496F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/218089>BR-224R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,25000,25500
スズキ,ワゴンR,MH21S,H17/9～19/5,K6A,2WD 4型 NA/FX,Fr：52～57mm<br>Rr：45～50mm,11440,,224626,ESS-2007-qq-e-f1-3158,ESS-2007-qq-e-d-3158,4536190120076,ESS-2007,ESPELIR,Super DOWNSUS Type2,1台分,52～57/45～50,Fr：52～57mm<br>Rr：45～50mm,2.8/2.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/217059>BR-496F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/216873>BR-224R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,26000,26000
スズキ,ワゴンR,MH21S,H17/9～19/5,K6A,2WD 4型 NA/FX-Sリミテッド,Fr：47～52mm<br>Rr：40～45mm,11440,,222378,ESS-2008-qq-e-f1-3159,ESS-2008-qq-e-d-3159,4536190120083,ESS-2008,ESPELIR,Super DOWNSUS Type2,1台分,47～52/40～45,Fr：47～52mm<br>Rr：40～45mm,2.8/2.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/218124>BR-496F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/215865>BR-224R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,26000,26000
スズキ,ワゴンR,MH21S,H17/9～19/5,K6A,2WD 4型 ターボ/FT-Sリミテッド/RR-D1/RR-SリミテッTド,Fr：47～52mm<br>Rr：40～45mm,11440,,222379,ESS-2008-qq-e-f1-3160,ESS-2008-qq-e-d-3160,4536190120083,ESS-2008,ESPELIR,Super DOWNSUS Type2,1台分,47～52/40～45,Fr：47～52mm<br>Rr：40～45mm,2.8/2.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/214230>BR-496F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/213826>BR-224R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,26000,26000
スズキ,ワゴンR,MH21S,H17/9～19/5,K6A,4WD 4型 NA,Fr：50～55mm<br>Rr：47～52mm,11000,,222500,ESS-2846-qq-e-f1-3745,ESS-2846-qq-e-d-3745,4536190128461,ESS-2846,ESPELIR,Super DOWNSUS Type2,1台分,50～55/47～52,Fr：50～55mm<br>Rr：47～52mm,2.8/2.6,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/219173>BR-496F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/213828>BR-224R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,最低地上高が確保できないため保安基準に抵触します,25000,25500
スズキ,ワゴンR,MH21S,H17/9～19/5,K6A,4WD 4型 ターボ,Fr：50～55mm<br>Rr：47～52mm,11000,,221757,ESS-2845-qq-e-f1-3744,ESS-2845-qq-e-d-3744,4536190128454,ESS-2845,ESPELIR,Super DOWNSUS Type2,1台分,50～55/47～52,Fr：50～55mm<br>Rr：47～52mm,2.8/2.6,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/217060>BR-496F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/217697>BR-224R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,最低地上高が確保できないため保安基準に抵触します,25000,25500
スズキ,ワゴンR,MH22S,H19/5～20/9,K6A,2WD 5型/NA,Fr：47～52mm<br>Rr：40～45mm,11440,,224042,ESS-2850-qq-e-f1-3753,ESS-2850-qq-e-d-3753,4536190128508,ESS-2850,ESPELIR,Super DOWNSUS Type2,1台分,47～52/40～45,Fr：47～52mm<br>Rr：40～45mm,2.8/2.6,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/213237>BR-496F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/216875>BR-224R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,最低地上高が確保できないため保安基準に抵触します,26000,26000
スズキ,ワゴンR,MH22S,H19/5～20/9,K6A,2WD 5型/ターボ,,11440,,226316,ESS-2849-qq-e-f1-3750,ESS-2849-qq-e-d-3750,4536190128492,ESS-2849,ESPELIR,Super DOWNSUS Type2,1台分,47～52/40～45,,2.8/2.6,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/213235>BR-496F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/219702>BR-224R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,最低地上高が確保できないため保安基準に抵触します,26000,26000
スズキ,ワゴンR,MH22S,H19/5～20/9,K6A,4WD 5型 NA,,11000,,227074,ESS-2848-qq-e-f1-3748,ESS-2848-qq-e-d-3748,4536190128485,ESS-2848,ESPELIR,Super DOWNSUS Type2,1台分,50～55/47～52,,2.8/2.6,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/214233>BR-496F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/218918>BR-224R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,最低地上高が確保できないため保安基準に抵触します,25000,25500
スズキ,ワゴンR,MH22S,H19/5～20/9,K6A,4WD 5型 ターボ,Fr：50～55mm<br>Rr：47～52mm,11000,,225561,ESS-2847-qq-e-f1-3746,ESS-2847-qq-e-d-3746,4536190128478,ESS-2847,ESPELIR,Super DOWNSUS Type2,1台分,50～55/47～52,Fr：50～55mm<br>Rr：47～52mm,2.8/2.6,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/216072>BR-496F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/219700>BR-224R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,最低地上高が確保できないため保安基準に抵触します,25000,25500
スズキ,ワゴンR,MH23S,H20/9～,K6A,2WD NA 全車<br>フロントスプリング外径101mmストレート形状,,11440,,226959,ESS-960-qq-e-f1-2752,ESS-960-qq-e-d-2752,4536190109606,ESS-960,ESPELIR,Super DOWNSUS Type2,1台分,45～50/52～57,,3/2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/219440>BR-960F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/216059>BR-862R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,26000,26000
スズキ,ワゴンR,MH23S,H20/9～,K6A,4WD NA全車<br>フロントスプリング外径101mmストレート形状,Fr：40～45mm<br>Rr：42～47mm,11440,,222411,ESS-991-qq-e-f1-2754,ESS-991-qq-e-d-2754,4536190109910,ESS-991,ESPELIR,Super DOWNSUS Type2,1台分,40～45/42～47,Fr：40～45mm<br>Rr：42～47mm,3/2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/215379>BR-960F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/216060>BR-862R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,26000,26000
スズキ,ワゴンR,MH34S,H24/9～29/1,RO6A,2WD NA FX/FXリミテッド/後期共通 FA/FX,Fr：45～50mm<br>Rr：52～57mm,11440,,222409,ESS-977-qq-e-f1-3157,ESS-977-qq-e-d-3157,4536190109774,ESS-977,ESPELIR,Super DOWNSUS Type2,1台分,45～50/52～57,Fr：45～50mm<br>Rr：52～57mm,3/2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/216391>BR-960F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/220060>BR-862R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,26000,26000
スズキ,ワゴンR,MH35S,H29/2～,R06A,2WD NA/FA,Fr：47～52mm<br>Rr：45～50mm,11440,,223725,ESS-3029-qq-e-f1-5279,ESS-3029-qq-e-d-5279,4536190130297,ESS-3029,ESPELIR,Super DOWNSUS Type2,1台分,47～52/45～50,Fr：47～52mm<br>Rr：45～50mm,2.35/1.9,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/219773>BR-3027F</a><br>リア:設定なし,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,26000,26000
スズキ,ワゴンR,MH35S,H29/2～,R06A,4WD NA/FA,,11880,,227518,ESS-3031-qq-e-f1-5281,ESS-3031-qq-e-d-5281,4536190130310,ESS-3031,ESPELIR,Super DOWNSUS Type2,1台分,35～40/35～40,,2/1.95,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/220766>BR-3027F</a><br>リア:設定なし,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,27000,26400
スズキ,ワゴンR,MH44S,H26/8～29/1,R06A,2WD NA/FZ/S-エネチャージ車,Fr：45～50mm<br>Rr：52～57mm,11440,,225137,ESS-1709-qq-e-f1-3156,ESS-1709-qq-e-d-3156,4536190117090,ESS-1709,ESPELIR,Super DOWNSUS Type2,1台分,45～50/52～57,Fr：45～50mm<br>Rr：52～57mm,3/2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/216386>BR-960F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/219070>BR-862R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,26000,26000
スズキ,ワゴンRスティングレー,MH22S,H17/9～20/9,K6A,4WD 5型/NA,Fr：50～55mm<br>Rr：47～52mm,11000,,223275,ESS-2848-qq-e-f1-3749,ESS-2848-qq-e-d-3749,4536190128485,ESS-2848,ESPELIR,Super DOWNSUS Type2,1台分,50～55/47～52,Fr：50～55mm<br>Rr：47～52mm,2.8/2.6,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/217061>BR-496F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/215868>BR-224R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,最低地上高が確保できないため保安基準に抵触します,25000,25500
スズキ,ワゴンRスティングレー,MH22S,H17/9～20/9,K6A,4WD 5型/ターボ,Fr：50～55mm<br>Rr：47～52mm,11000,,224040,ESS-2847-qq-e-f1-3747,ESS-2847-qq-e-d-3747,4536190128478,ESS-2847,ESPELIR,Super DOWNSUS Type2,1台分,50～55/47～52,Fr：50～55mm<br>Rr：47～52mm,2.8/2.6,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/213234>BR-496F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/219701>BR-224R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,最低地上高が確保できないため保安基準に抵触します,25000,25500
スズキ,ワゴンRスティングレー,MH22S,H19/2～19/5,K6A,2WD 4型/NA,,11440,,227076,ESS-2850-qq-e-f1-3754,ESS-2850-qq-e-d-3754,4536190128508,ESS-2850,ESPELIR,Super DOWNSUS Type2,1台分,47～52/40～45,,2.8/2.6,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/220137>BR-496F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/213830>BR-224R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,最低地上高が確保できないため保安基準に抵触します,26000,26000
スズキ,ワゴンRスティングレー,MH22S,H19/2～19/5,K6A,2WD 4型/ターボ D1/T,,11440,,227075,ESS-2849-qq-e-f1-3751,ESS-2849-qq-e-d-3751,4536190128492,ESS-2849,ESPELIR,Super DOWNSUS Type2,1台分,47～52/40～45,,2.8/2.6,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/213236>BR-496F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/219703>BR-224R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,最低地上高が確保できないため保安基準に抵触します,26000,26000
スズキ,ワゴンRスティングレー,MH22S,H19/2～19/5,K6A,2WD 5型/NA,,11440,,227077,ESS-2850-qq-e-f1-3755,ESS-2850-qq-e-d-3755,4536190128508,ESS-2850,ESPELIR,Super DOWNSUS Type2,1台分,47～52/40～45,,2.8/2.6,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/215217>BR-496F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/216876>BR-224R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,最低地上高が確保できないため保安基準に抵触します,26000,26000
スズキ,ワゴンRスティングレー,MH22S,H19/2～19/5,K6A,2WD 5型/ターボ,Fr：47～52mm<br>Rr：40～45mm,11440,,224041,ESS-2849-qq-e-f1-3752,ESS-2849-qq-e-d-3752,4536190128492,ESS-2849,ESPELIR,Super DOWNSUS Type2,1台分,47～52/40～45,Fr：47～52mm<br>Rr：40～45mm,2.8/2.6,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/220136>BR-496F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/213829>BR-224R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,最低地上高が確保できないため保安基準に抵触します,26000,26000
スズキ,ワゴンRスティングレー,MH23S,H20/9～,K6A,2WD NA/ターボ<br>フロントスプリング外径101mmストレート形状,Fr：45～50mm<br>Rr：52～57mm,11440,,221675,ESS-960-qq-e-f1-3153,ESS-960-qq-e-d-3153,4536190109606,ESS-960,ESPELIR,Super DOWNSUS Type2,1台分,45～50/52～57,Fr：45～50mm<br>Rr：52～57mm,3/2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/219441>BR-960F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/213073>BR-862R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,26000,26000
スズキ,ワゴンRスティングレー,MH23S,H20/9～,K6A,4WD NA/X<br>フロントスプリング外径101mmストレート形状,Fr：40～45mm<br>Rr：42～47mm,11440,,225346,ESS-991-qq-e-f1-3154,ESS-991-qq-e-d-3154,4536190109910,ESS-991,ESPELIR,Super DOWNSUS Type2,1台分,40～45/42～47,Fr：40～45mm<br>Rr：42～47mm,3/2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/214395>BR-960F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/219079>BR-862R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,26000,26000
スズキ,ワゴンRスティングレー,MH23S,H20/9～,K6A,4WD ターボ/T<br>フロントスプリング外径101mmストレート形状,Fr：40～45mm<br>Rr：42～47mm,11440,,223162,ESS-992-qq-e-f1-3155,ESS-992-qq-e-d-3155,4536190109927,ESS-992,ESPELIR,Super DOWNSUS Type2,1台分,40～45/42～47,Fr：40～45mm<br>Rr：42～47mm,3/2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/219443>BR-960F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/213077>BR-862R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,26000,26000
スズキ,ワゴンRスティングレー,MH34S,H24/9～29/1,RO6A,2WD 全車/後期型 T 共通,Fr：45～50mm<br>Rr：52～57mm,11440,,225426,ESS-961-qq-e-f1-3152,ESS-961-qq-e-d-3152,4536190109613,ESS-961,ESPELIR,Super DOWNSUS Type2,1台分,45～50/52～57,Fr：45～50mm<br>Rr：52～57mm,3/2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/218442>BR-960F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/213074>BR-862R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,26000,26000
スズキ,ワゴンRスティングレー,MH35S,H29/2～,R06A,2WD NA/スティングレー L,Fr：45～50mm<br>Rr：45～50mm,11440,,224043,ESS-3044-qq-e-f1-5294,ESS-3044-qq-e-d-5294,4536190130440,ESS-3044,ESPELIR,Super DOWNSUS Type2,1台分,45～50/45～50,Fr：45～50mm<br>Rr：45～50mm,1.95/1.9,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/215188>BR-3027F</a><br>リア:設定なし,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,26000,26000
スズキ,ワゴンRスティングレー,MH35S,H29/2～,R06A,4WD NA/スティングレー L,Fr：35～40mm<br>Rr：35～40mm,11880,,223277,ESS-3046-qq-e-f1-5296,ESS-3046-qq-e-d-5296,4536190130464,ESS-3046,ESPELIR,Super DOWNSUS Type2,1台分,35～40/35～40,Fr：35～40mm<br>Rr：35～40mm,2.5/1.95,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/217203>BR-3027F</a><br>リア:設定なし,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,27000,26400
スズキ,ワゴンRスティングレー,MH44S,H26/8～29/1,R06A,2WD NA/X/S-エネチャージ車,,11440,,225813,ESS-1712-qq-e-f1-3150,ESS-1712-qq-e-d-3150,4536190117120,ESS-1712,ESPELIR,Super DOWNSUS Type2,1台分,45～50/52～57,,3/2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/220242>BR-960F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/214070>BR-862R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,26000,26000
スズキ,ワゴンRスティングレー,MH44S,H27/8～29/1,R06A,2WD ターボ/T/S-エネチャージ車,Fr：45～50mm<br>Rr：52～57mm,11440,,223386,ESS-1891-qq-e-f1-3151,ESS-1891-qq-e-d-3151,4536190118912,ESS-1891,ESPELIR,Super DOWNSUS Type2,1台分,45～50/52～57,Fr：45～50mm<br>Rr：52～57mm,3/2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/218444>BR-960F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/217051>BR-862R</a>,灯火類の高さ及び最低地上高に余裕がある車両に設定していますが、一部例外の車両もあります,,26000,26000
