自動車メーカー,車種,型式,年式,駆動方式,取付位置,SET価格,Camp価格,商品ID,物販コード,取付コード,メーカー名,商品名,入数,ボールジョイント径,適合詳細,純正サイズ,調整範囲,備考,注意事項,定価,物販売価
トヨタ,ノア/ヴォクシー/エスクァイア,AZR60G/AZR65G/ZRR70W/ZRR75W/ZRR70G/ZRR75G/ZRR80W/ZRR85W/ZRR80G/ZRR85G,,AZR60G/ZRR70W/ZRR70G/ZRR80W/ZRR80G:2WD<br>AZR65G/ZRR75W/ZRR75G/ZRR85W/ZRR85G:4WD,フロント,25600,,249123,01090372300-qq-01,01090372300-qq-d-01,Largus,調整式スタビライザーリンク,2本,M12,,AZR60G/ZRR70W/ZRR70G/ZRR80W/ZRR80G:280mm<br>AZR65G/ZRR75W/ZRR75G/ZRR85W/ZRR85G:285mm,285mm～355mm,ターンバックル調整式,本製品は純正ショック及び純正スタビライザーでの適合確認となっており、車種別適合は全て純正比となります<br>純正以外のショックやスタビライザーに関しては現車にて実測する必要がございます,12800,12800
トヨタ,プリウス,ZVW30,,2WD,フロント,25600,,249142,01090373150-qq-09,01090373150-qq-d-09,Largus,調整式スタビライザーリンク,2本,M12,,360mm,370mm～440mm,ターンバックル調整式,本製品は純正ショック及び純正スタビライザーでの適合確認となっており、車種別適合は全て純正比となります<br>純正以外のショックやスタビライザーに関しては現車にて実測する必要がございます,12800,12800
日産,エルグランド,E51,,2WD,フロント,25600,,249117,01090371450-qq-011,01090371450-qq-d-011,Largus,調整式スタビライザーリンク,2本,M12,,225mm,200mm～270mm,ターンバックル調整式,本製品は純正ショック及び純正スタビライザーでの適合確認となっており、車種別適合は全て純正比となります<br>純正以外のショックやスタビライザーに関しては現車にて実測する必要がございます,12800,12800
日産,エルグランド,PE52/TE52,,2WD,フロント,25600,,249125,01090372300-qq-012,01090372300-qq-d-012,Largus,調整式スタビライザーリンク,2本,M12,,300mm,285mm～355mm,ターンバックル調整式,本製品は純正ショック及び純正スタビライザーでの適合確認となっており、車種別適合は全て純正比となります<br>純正以外のショックやスタビライザーに関しては現車にて実測する必要がございます,12800,12800
日産,ジューク,F15/YF15/NF15,,F15/YF15:2WD<br>NF15:4WD,フロント,25600,,249126,01090372300-qq-013,01090372300-qq-d-013,Largus,調整式スタビライザーリンク,2本,M12,,285mm,285mm～355mm,ターンバックル調整式,本製品は純正ショック及び純正スタビライザーでの適合確認となっており、車種別適合は全て純正比となります<br>純正以外のショックやスタビライザーに関しては現車にて実測する必要がございます,12800,12800
日産,セレナ,C25/C26,,2WD,フロント,25600,,249124,01090372300-qq-010,01090372300-qq-d-010,Largus,調整式スタビライザーリンク,2本,M12,,285mm,285mm～355mm,ターンバックル調整式,本製品は純正ショック及び純正スタビライザーでの適合確認となっており、車種別適合は全て純正比となります<br>純正以外のショックやスタビライザーに関しては現車にて実測する必要がございます,12800,12800
日産,セレナ,GNC27/GFNC27,,4WD,フロント,25600,,249121,01090371900-qq-13k,01090371900-qq-d-13k,Largus,調整式スタビライザーリンク,2本,M12,,285mm,250mm～320mm,ターンバックル調整式,本製品は純正ショック及び純正スタビライザーでの適合確認となっており、車種別適合は全て純正比となります<br>純正以外のショックやスタビライザーに関しては現車にて実測する必要がございます,12800,12800
日産,モコ,MG33S,,2WD,フロント,25600,,249090,01090361900-qq-017,01090361900-qq-d-017,Largus,調整式スタビライザーリンク,2本,M10,,270mm,250mm～320mm,ターンバックル調整式,本製品は純正ショック及び純正スタビライザーでの適合確認となっており、車種別適合は全て純正比となります<br>純正以外のショックやスタビライザーに関しては現車にて実測する必要がございます,12800,12800
日産,リーフ,ZE1,,2WD,フロント,25600,,249122,01090371900-qq-14k,01090371900-qq-d-14k,Largus,調整式スタビライザーリンク,2本,M12,,285mm,250mm～320mm,ターンバックル調整式,本製品は純正ショック及び純正スタビライザーでの適合確認となっており、車種別適合は全て純正比となります<br>純正以外のショックやスタビライザーに関しては現車にて実測する必要がございます,12800,12800
ホンダ,N-BOX,JF1,,2WD,フロント,25600,,249099,01090362300-qq-019,01090362300-qq-d-019,Largus,調整式スタビライザーリンク,2本,M10,,305mm,285mm～355mm,ターンバックル調整式,本製品は純正ショック及び純正スタビライザーでの適合確認となっており、車種別適合は全て純正比となります<br>純正以外のショックやスタビライザーに関しては現車にて実測する必要がございます,12800,12800
ホンダ,N-BOX,JF3,,2WD,フロント,25600,,249095,01090361900-qq-3k,01090361900-qq-d-3k,Largus,調整式スタビライザーリンク,2本,M10,,250mm,250mm～320mm,ターンバックル調整式,本製品は純正ショック及び純正スタビライザーでの適合確認となっており、車種別適合は全て純正比となります<br>純正以外のショックやスタビライザーに関しては現車にて実測する必要がございます,12800,12800
ホンダ,N-ONE,JG1,,2WD,フロント,25600,,249098,01090362300-qq-018,01090362300-qq-d-018,Largus,調整式スタビライザーリンク,2本,M10,,305mm,285mm～355mm,ターンバックル調整式,本製品は純正ショック及び純正スタビライザーでの適合確認となっており、車種別適合は全て純正比となります<br>純正以外のショックやスタビライザーに関しては現車にて実測する必要がございます,12800,12800
ホンダ,N-WGN,JH1,,2WD,フロント,25600,,249100,01090362300-qq-020,01090362300-qq-d-020,Largus,調整式スタビライザーリンク,2本,M10,,305mm,285mm～355mm,ターンバックル調整式,本製品は純正ショック及び純正スタビライザーでの適合確認となっており、車種別適合は全て純正比となります<br>純正以外のショックやスタビライザーに関しては現車にて実測する必要がございます,12800,12800
ホンダ,オデッセイハイブリッド,RC4,,2WD,フロント,25600,,249135,01090372800-qq-20k,01090372800-qq-d-20k,Largus,調整式スタビライザーリンク,2本,M12,,350mm,335mm～405mm,ターンバックル調整式,本製品は純正ショック及び純正スタビライザーでの適合確認となっており、車種別適合は全て純正比となります<br>純正以外のショックやスタビライザーに関しては現車にて実測する必要がございます,12800,12800
ホンダ,シビック,FC1/FK7,,2WD,フロント,25600,,249111,01090362300-qq-11k,01090362300-qq-d-11k,Largus,調整式スタビライザーリンク,2本,M10,,345mm,285mm～355mm,ターンバックル調整式,本製品は純正ショック及び純正スタビライザーでの適合確認となっており、車種別適合は全て純正比となります<br>純正以外のショックやスタビライザーに関しては現車にて実測する必要がございます,12800,12800
ホンダ,ステップワゴン,RF3,,2WD,フロント,25600,,249118,01090371900-qq-015,01090371900-qq-d-015,Largus,調整式スタビライザーリンク,2本,M12,,250mm,250mm～320mm,ターンバックル調整式,本製品は純正ショック及び純正スタビライザーでの適合確認となっており、車種別適合は全て純正比となります<br>純正以外のショックやスタビライザーに関しては現車にて実測する必要がございます,12800,12800
ホンダ,ステップワゴン,RG1/RK1/RP1,,2WD,フロント,25600,,249127,01090372300-qq-016,01090372300-qq-d-016,Largus,調整式スタビライザーリンク,2本,M12,,300mm,285mm～355mm,ターンバックル調整式,本製品は純正ショック及び純正スタビライザーでの適合確認となっており、車種別適合は全て純正比となります<br>純正以外のショックやスタビライザーに関しては現車にて実測する必要がございます,12800,12800
ホンダ,ステップワゴンスパーダ,RP5,2017/09～,2WD,フロント,25600,,249134,01090372300-qq-19k,01090372300-qq-d-19k,Largus,調整式スタビライザーリンク,2本,M12,,300mm,285mm～355mm,ターンバックル調整式,本製品は純正ショック及び純正スタビライザーでの適合確認となっており、車種別適合は全て純正比となります<br>純正以外のショックやスタビライザーに関しては現車にて実測する必要がございます,12800,12800
ホンダ,ゼスト,JE1,,2WD,フロント,25600,,249102,01090362300-qq-022,01090362300-qq-d-022,Largus,調整式スタビライザーリンク,2本,M10,,310mm,285mm～355mm,ターンバックル調整式,本製品は純正ショック及び純正スタビライザーでの適合確認となっており、車種別適合は全て純正比となります<br>純正以外のショックやスタビライザーに関しては現車にて実測する必要がございます,12800,12800
ホンダ,ライフ,JC1,,2WD,フロント,25600,,249101,01090362300-qq-021,01090362300-qq-d-021,Largus,調整式スタビライザーリンク,2本,M10,,310mm,285mm～355mm,ターンバックル調整式,本製品は純正ショック及び純正スタビライザーでの適合確認となっており、車種別適合は全て純正比となります<br>純正以外のショックやスタビライザーに関しては現車にて実測する必要がございます,12800,12800
マツダ,CX-8,KG2P,,2WD,フロント,25600,,249115,01090362300-qq-8k,01090362300-qq-d-8k,Largus,調整式スタビライザーリンク,2本,M10,,285mm,285mm～355mm,ターンバックル調整式,本製品は純正ショック及び純正スタビライザーでの適合確認となっており、車種別適合は全て純正比となります<br>純正以外のショックやスタビライザーに関しては現車にて実測する必要がございます,12800,12800
マツダ,CX-8,KG2P,,2WD,リア,25600,,249088,01090360660-qq-1k,01090360660-qq-d-1k,Largus,調整式スタビライザーリンク,2本,M10,,150mm,120mm～150mm,ターンバックル調整式,本製品は純正ショック及び純正スタビライザーでの適合確認となっており、車種別適合は全て純正比となります<br>純正以外のショックやスタビライザーに関しては現車にて実測する必要がございます,12800,12800
マツダ,マツダスピードアクセラ,BL3FW,,2WD,フロント,25600,,249097,01090361900-qq-5k,01090361900-qq-d-5k,Largus,調整式スタビライザーリンク,2本,M10,,300mm,250mm～320mm,ターンバックル調整式,本製品は純正ショック及び純正スタビライザーでの適合確認となっており、車種別適合は全て純正比となります<br>純正以外のショックやスタビライザーに関しては現車にて実測する必要がございます,12800,12800
三菱,アイ,HA1W,2006/01～2013/09,2WD,フロント,25600,,249089,01090361450-qq-2k,01090361450-qq-d-2k,Largus,調整式スタビライザーリンク,2本,M10,,240mm,200mm～270mm,ターンバックル調整式,本製品は純正ショック及び純正スタビライザーでの適合確認となっており、車種別適合は全て純正比となります<br>純正以外のショックやスタビライザーに関しては現車にて実測する必要がございます,12800,12800
三菱,アウトランダー,GF7W,,2WD,フロント,25600,,249116,01090362300-qq-9k,01090362300-qq-d-9k,Largus,調整式スタビライザーリンク,2本,M10,,265mm,250mm～320mm,ターンバックル調整式,本製品は純正ショック及び純正スタビライザーでの適合確認となっており、車種別適合は全て純正比となります<br>純正以外のショックやスタビライザーに関しては現車にて実測する必要がございます,12800,12800
三菱,エクリプスクロス,GK1W,2018/03～,2WD,フロント,25600,,249096,01090361900-qq-4k,01090361900-qq-d-4k,Largus,調整式スタビライザーリンク,2本,M10,,265mm,250mm～320mm,ターンバックル調整式,本製品は純正ショック及び純正スタビライザーでの適合確認となっており、車種別適合は全て純正比となります<br>純正以外のショックやスタビライザーに関しては現車にて実測する必要がございます,12800,12800
三菱,デリカD：2,MB36S,,2WD,フロント,25600,,249112,01090362300-qq-12k,01090362300-qq-d-12k,Largus,調整式スタビライザーリンク,2本,M10,,310mm,285mm～355mm,ターンバックル調整式,本製品は純正ショック及び純正スタビライザーでの適合確認となっており、車種別適合は全て純正比となります<br>純正以外のショックやスタビライザーに関しては現車にて実測する必要がございます,12800,12800
レクサス,UX200,MZAA10,2018/11～,2WD,フロント,25600,,249131,01090372300-qq-16k,01090372300-qq-d-16k,Largus,調整式スタビライザーリンク,2本,M12,,330mm,285mm～355mm,ターンバックル調整式,本製品は純正ショック及び純正スタビライザーでの適合確認となっており、車種別適合は全て純正比となります<br>純正以外のショックやスタビライザーに関しては現車にて実測する必要がございます,12800,12800
レクサス,UX250h,MZAH10,2018/11～,2WD,フロント,25600,,249132,01090372300-qq-17k,01090372300-qq-d-17k,Largus,調整式スタビライザーリンク,2本,M12,,330mm,285mm～355mm,ターンバックル調整式,本製品は純正ショック及び純正スタビライザーでの適合確認となっており、車種別適合は全て純正比となります<br>純正以外のショックやスタビライザーに関しては現車にて実測する必要がございます,12800,12800
