自動車メーカー,車種,型式,年式,適合詳細,タイプ,販売価格,C_販売価格,商品ID,物販コード,取付コード,メーカー名,商品名,アッパーマウント(F/R),減衰力(F/R),スプリング kgf/mm(F/R),仕様,備考,注意事項,定価,送料,SET価格,C_SET価格
スズキ,エブリイ,DA62V/DA62W,99/06～05/07,2WD/4WD,,91726,82861,243237,FK-MINI-qq-e-h-54k,FK-MINI-qq-e-d-h-54k,FINAL KONNEXION,STEALTH Mini,ピロ調整/別体式,倒立式/倒立式,6/4.3(特別形状),全長調整式<br>単筒式<br>減衰力25段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
スズキ,エブリイ,DA64V/DA64W,05/08～,2WD/4WD,,91726,82861,243238,FK-MINI-qq-e-h-55k,FK-MINI-qq-e-d-h-55k,FINAL KONNEXION,STEALTH Mini,ピロ調整/別体式,倒立式/倒立式,6/4.3(特別形状),全長調整式<br>単筒式<br>減衰力25段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,1型～3型(H17年8月～H20年3月迄)の車輌は、車高の高さによりスタビリンクがロアアームに干渉する恐れあり<br>その場合には純正スタビライザー(品番:42311-68H50)の交換をお薦め,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
スズキ,カプチーノ,EA11R/EA21R,,4WD車取付不可,,91726,82861,242696,FK-MINI-qq-e-h-34k,FK-MINI-qq-e-d-h-34k,FINAL KONNEXION,STEALTH Mini,ピロ固定/ピロ固定,正立式/正立式,8/6,全長調整式<br>単筒式<br>減衰力25段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
スズキ,スペーシア/スペーシアカスタム,MK32S,13/03～,4WD車取付不可,,91726,82861,243240,FK-MINI-qq-e-h-57k,FK-MINI-qq-e-d-h-57k,FINAL KONNEXION,STEALTH Mini,マウントレス/別体式,倒立式/倒立式,5/2.8(特別形状),全長調整式<br>単筒式<br>減衰力25段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,マウントレスキットは一部純正部品を使用<br>車高の高さによっては、スタビライザーがロアアームに干渉及び、スタビリンクが装着出来ない恐れあり<br>その際には干渉しない高さまで車高を下げて頂くか、別売の調整式スタビリンクに交換必要,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
スズキ,スペーシア/スペーシアカスタム,MK42S,,4WD車取付不可,,91726,82861,242703,FK-MINI-qq-e-h-58k,FK-MINI-qq-e-d-h-58k,FINAL KONNEXION,STEALTH Mini,マウントレス/別体式,倒立式/倒立式,5/2.8(特別形状),全長調整式<br>単筒式<br>減衰力25段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,マウントレスキットは一部純正部品を使用<br>車高の高さによっては、スタビライザーがロアアームに干渉及び、スタビリンクが装着出来ない恐れあり<br>その際には干渉しない高さまで車高を下げて頂くか、別売の調整式スタビリンクに交換必要,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
スズキ,スペーシア/スペーシアカスタム,MK53S,18/01～,4WD車取付不可,,91726,82861,243052,FK-MINI-qq-e-h-59k,FK-MINI-qq-e-d-h-59k,FINAL KONNEXION,STEALTH Mini,マウントレス/別体式,倒立式/倒立式,6/4(特別形状),全長調整式<br>単筒式<br>減衰力25段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,マウントレスキットは一部純正部品を使用<br>フロント車高により減衰力調整ダイヤルがドライブシャフトに干渉する場合あり,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
スズキ,スペーシア/スペーシアカスタム,MK53S,,4WD,,91726,82861,242864,FK-MINI-qq-e-h-60k,FK-MINI-qq-e-d-h-60k,FINAL KONNEXION,STEALTH Mini,マウントレス/別体式,倒立式/倒立式,6/3.3(特別形状),全長調整式<br>単筒式<br>減衰力25段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,マウントレスキットは一部純正部品を使用<br>フロント車高により減衰力調整ダイヤルがドライブシャフトに干渉する場合あり,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
スズキ,セルボ,HG21S,06/11～09/12,4WD車取付不可,,91726,82861,243050,FK-MINI-qq-e-h-47k,FK-MINI-qq-e-d-h-47k,FINAL KONNEXION,STEALTH Mini,ピロ調整/別体式,倒立式/倒立式,6/3.8(特別形状),全長調整式<br>単筒式<br>減衰力25段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
スズキ,ハスラー,MR31S,14/01～,2WD/4WD,,91726,82861,242865,FK-MINI-qq-e-h-61k,FK-MINI-qq-e-d-h-61k,FINAL KONNEXION,STEALTH Mini,マウントレス/別体式,倒立式/倒立式,5/2.8(特別形状),全長調整式<br>単筒式<br>減衰力25段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,マウントレスキットは一部純正部品を使用<br>車高の高さによっては、スタビライザーがロアアームに干渉及び、スタビリンクが装着出来ない恐れあり<br>その際には干渉しない高さまで車高を下げて頂くか、別売の調整式スタビリンクに交換必要,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
スズキ,ハスラー,MR41S,15/05～,2WD/4WD,,91726,82861,243242,FK-MINI-qq-e-h-62k,FK-MINI-qq-e-d-h-62k,FINAL KONNEXION,STEALTH Mini,マウントレス/別体式,倒立式/倒立式,5/2.8(特別形状),全長調整式<br>単筒式<br>減衰力25段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,マウントレスキットは一部純正部品を使用<br>車高の高さによっては、スタビライザーがロアアームに干渉及び、スタビリンクが装着出来ない恐れあり<br>その際には干渉しない高さまで車高を下げて頂くか、別売の調整式スタビリンクに交換必要,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
スズキ,パレット,MK21S,08/01～,2WD/4WD,,91726,82861,242862,FK-MINI-qq-e-h-52k,FK-MINI-qq-e-d-h-52k,FINAL KONNEXION,STEALTH Mini,ピロ調整/別体式,倒立式/倒立式,6/3.5(特別形状),全長調整式<br>単筒式<br>減衰力25段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
スズキ,ラパン,HE21S,02/01～08/10,4WD車取付不可,,91726,82861,243051,FK-MINI-qq-e-h-50k,FK-MINI-qq-e-d-h-50k,FINAL KONNEXION,STEALTH Mini,ピロ固定/別体式,倒立式/倒立式,6/3(特別形状),全長調整式<br>単筒式<br>減衰力25段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,年式を御確認下さい<br>1型(H14年1月～)<br>2型(H15年9月～)<br>3型～(H16年10月～),他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
スズキ,ラパン,HE22S,,4WD車取付不可,,91726,82861,242861,FK-MINI-qq-e-h-51k,FK-MINI-qq-e-d-h-51k,FINAL KONNEXION,STEALTH Mini,ピロ調整/別体式,倒立式/倒立式,6/2.8(特別形状),全長調整式<br>単筒式<br>減衰力25段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
スズキ,ワゴンR,MH21S,03/10～04/12,1～2型<br>4WD車取付不可,,91726,82861,243048,FK-MINI-qq-e-h-35k,FK-MINI-qq-e-d-h-35k,FINAL KONNEXION,STEALTH Mini,ピロ固定/別体式,倒立式/倒立式,6/3.8(特別形状),全長調整式<br>単筒式<br>減衰力25段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
スズキ,ワゴンR,MH21S/MH22S,04/12～08/08,3～5型<br>4WD車取付不可,,91726,82861,242857,FK-MINI-qq-e-h-36k,FK-MINI-qq-e-d-h-36k,FINAL KONNEXION,STEALTH Mini,ピロ調整/別体式,倒立式/倒立式,6/3.8(特別形状),全長調整式<br>単筒式<br>減衰力25段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
スズキ,ワゴンR,MH23S,08/09～,4WD車取付不可,,91726,82861,242697,FK-MINI-qq-e-h-37k,FK-MINI-qq-e-d-h-37k,FINAL KONNEXION,STEALTH Mini,ピロ調整/別体式,倒立式/倒立式,6/2.8(特別形状),全長調整式<br>単筒式<br>減衰力25段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
スズキ,ワゴンR,MH34S/MH44S,12/09～,4WD車取付不可,,91726,82861,242698,FK-MINI-qq-e-h-38k,FK-MINI-qq-e-d-h-38k,FINAL KONNEXION,STEALTH Mini,マウントレス/別体式,倒立式/倒立式,4/2.8(特別形状),全長調整式<br>単筒式<br>減衰力25段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,マウントレスキットは一部純正部品を使用<br>車高の高さによっては、スタビライザーがロアアームに干渉及び、スタビリンクが装着出来ない恐れあり<br>その際には干渉しない高さまで車高を下げて頂くか、別売の調整式スタビリンクに交換必要,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
スズキ,ワゴンR,MH35S/MH55S,17/02～,MH35S(FA)/MH55S(FX)<br>スタビライザー無車<br>4WD車取付不可,,91726,82861,242699,FK-MINI-qq-e-h-39k,FK-MINI-qq-e-d-h-39k,FINAL KONNEXION,STEALTH Mini,マウントレス/別体式,倒立式/倒立式,6/4(特別形状),全長調整式<br>単筒式<br>減衰力25段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,マウントレスキットは一部純正部品を使用,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
スズキ,ワゴンR,MH35S/MH55S,,4WD<br>スタビライザー付き車,,91726,82861,242858,FK-MINI-qq-e-h-41k,FK-MINI-qq-e-d-h-41k,FINAL KONNEXION,STEALTH Mini,マウントレス/別体式,倒立式/倒立式,6/3.3(特別形状),全長調整式<br>単筒式<br>減衰力25段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,マウントレスキットは一部純正部品を使用<br>フロント車高により減衰力調整ダイヤルがドライブシャフトに干渉する場合あり,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
スズキ,ワゴンR,MH55S,17/02～,FZ<br>スタビライザー付車<br>4WD車取付不可,,91726,82861,242700,FK-MINI-qq-e-h-40k,FK-MINI-qq-e-d-h-40k,FINAL KONNEXION,STEALTH Mini,マウントレス/別体式,倒立式/倒立式,6/4(特別形状),全長調整式<br>単筒式<br>減衰力25段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,マウントレスキットは一部純正部品を使用,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
スズキ,ワゴンRスティングレー,MH22S,04/12～08/08,4WD車取付不可,,91726,82861,243233,FK-MINI-qq-e-h-42k,FK-MINI-qq-e-d-h-42k,FINAL KONNEXION,STEALTH Mini,ピロ調整/別体式,倒立式/倒立式,6/3.8(特別形状),全長調整式<br>単筒式<br>減衰力25段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
スズキ,ワゴンRスティングレー,MH23S,08/09～,4WD車取付不可,,91726,82861,242859,FK-MINI-qq-e-h-43k,FK-MINI-qq-e-d-h-43k,FINAL KONNEXION,STEALTH Mini,ピロ調整/別体式,倒立式/倒立式,6/2.8(特別形状),全長調整式<br>単筒式<br>減衰力25段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
スズキ,ワゴンRスティングレー,MH34S/MH44S,12/09～,4WD車取付不可,,91726,82861,243234,FK-MINI-qq-e-h-44k,FK-MINI-qq-e-d-h-44k,FINAL KONNEXION,STEALTH Mini,マウントレス/別体式,倒立式/倒立式,4/2.8(特別形状),全長調整式<br>単筒式<br>減衰力25段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,マウントレスキットは一部純正部品を使用<br>車高の高さによっては、スタビライザーがロアアームに干渉及び、スタビリンクが装着出来ない恐れあり<br>その際には干渉しない高さまで車高を下げて頂くか、別売の調整式スタビリンクに交換必要,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
スズキ,ワゴンRスティングレー,MH35S,17/02～,L<br>スタビライザー付車<br>4WD車取付不可,,91726,82861,243235,FK-MINI-qq-e-h-45k,FK-MINI-qq-e-d-h-45k,FINAL KONNEXION,STEALTH Mini,マウントレス/別体式,倒立式/倒立式,6/4(特別形状),全長調整式<br>単筒式<br>減衰力25段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,マウントレスキットは一部純正部品を使用,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
スズキ,ワゴンRスティングレー,MH55S,17/02～,T/X<br>スタビライザー付車<br>4WD車取付不可,,91726,82861,242701,FK-MINI-qq-e-h-46k,FK-MINI-qq-e-d-h-46k,FINAL KONNEXION,STEALTH Mini,マウントレス/別体式,倒立式/倒立式,6/4(特別形状),全長調整式<br>単筒式<br>減衰力25段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,マウントレスキットは一部純正部品を使用,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
スバル,ヴィヴィオ,KK3/KK4,92/03～98/01,4WD車取付不可,,91726,82861,243061,FK-MINI-qq-e-h-9k,FK-MINI-qq-e-d-h-9k,FINAL KONNEXION,STEALTH Mini,ピロ調整/ピロ固定,倒立式/倒立式,6/5,全長調整式<br>単筒式<br>減衰力25段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
スバル,サンバー/サンバーディアス,TV1/TV2/TW1/TW2/TT1/TT2,,4WD車取付不可,,91726,82861,243254,FK-MINI-qq-e-h-8k,出さない,FINAL KONNEXION,STEALTH Mini,マウントレス/別体式,正立式/正立式,6/7.5(特別形状),全長調整式<br>単筒式<br>減衰力25段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,マウントレスキットは一部純正部品を使用,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,出さない,出さない
スバル,シフォン,LA600F,13/10～,4WD車取付不可,,91726,82861,243226,FK-MINI-qq-e-h-12k,FK-MINI-qq-e-d-h-12k,FINAL KONNEXION,STEALTH Mini,ピロ調整/別体式,倒立式/倒立式,6/2.5(特別形状),全長調整式<br>単筒式<br>減衰力25段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
スバル,ステラ,RN1,06/06～,4WD車取付不可<br>フロントスタビライザー付車:取付不可,,91726,82861,242690,FK-MINI-qq-e-h-10k,FK-MINI-qq-e-d-h-10k,FINAL KONNEXION,STEALTH Mini,ピロ調整/ピロ固定,倒立式/倒立式,5/3(特別形状),全長調整式<br>単筒式<br>減衰力25段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
スバル,ルクラ,L455F,10/04～,4WD車取付不可,,91726,82861,242691,FK-MINI-qq-e-h-11k,FK-MINI-qq-e-d-h-11k,FINAL KONNEXION,STEALTH Mini,ピロ調整/別体式,倒立式/倒立式,6/2.5(特別形状),全長調整式<br>単筒式<br>減衰力25段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
ダイハツ,エッセ,L235S,05/12～,4WD車取付不可,,91726,82861,242872,FK-MINI-qq-e-h-83k,FK-MINI-qq-e-d-h-83k,FINAL KONNEXION,STEALTH Mini,ピロ調整/別体式,倒立式/倒立式,6/2.5(特別形状),全長調整式<br>単筒式<br>減衰力25段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
ダイハツ,キャストアクティバ/キャストスタイル/キャストスポーツ,LA250S,15/10～,4WD車取付不可,,91726,82861,242866,FK-MINI-qq-e-h-63k,FK-MINI-qq-e-d-h-63k,FINAL KONNEXION,STEALTH Mini,ピロ調整/別体式,倒立式/倒立式,6/2.5(特別形状),全長調整式<br>単筒式<br>減衰力25段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,98000,2000,105200,96200
