自動車メーカー,車種,型式,エンジン型式,年式,適合詳細,ダウン量,バネレート【F/R】,備考,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,注意事項,定価,送料,SET価格
スズキ,アルトターボRS,HA36S,R06AT,15/3～,2WD ターボ,Fr：30～35mm<br>Rr：30～35mm,2.4/2.2,ノーマルダウン仕様<br>Fバンプラバー1巻(約30mm)要カット,18998,,260905,BS036A-qq-e-65k,BS036A-qq-e-d-65k,BS036A,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,18300,1000,32400
スズキ,アルトターボRS,HA36S,R06AT,15/3～,2WD ターボ,Fr：15～20mm<br>Rr：15～20mm,2.2/1.9,ハーフダウン仕様,18998,,260904,BS035A-qq-e-64k,BS035A-qq-e-d-64k,BS035A,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,18300,1000,32400
スズキ,アルトターボRS,HA36S,R06AT,15/3～,4WD ターボ,Fr：30～35mm<br>Rr：30～35mm,2.4/2.2,ノーマルダウン仕様<br>Fバンプラバー1巻(約30mm)要カット,18998,,260906,BS037A-qq-e-66k,BS037A-qq-e-d-66k,BS037A,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,18300,1000,32400
スズキ,アルトワークス,CR22S,F6A/F6AT,91/9～94/10,2WD ターボ,Fr：25～30mm<br>Rr：25～30mm,3.0/2.4,バンプラバーカット,17802,,260598,BS008A-qq-e-388,BS008A-qq-e-d-388,BS008A,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,17000,1000,31200
スズキ,アルトワークス,HA11S/HA21S,F6A/F6AT/K6A/K6AT,94/11～98/10,2WD ターボ,Fr：30～35mm<br>Rr：30～35mm,3.0/2.4,バンプラバーカット,17802,,260599,BS008A-qq-e-389,BS008A-qq-e-d-389,BS008A,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,17000,1000,31200
スズキ,アルトワークス,HA12S/HA22S,F6A/F6AT/K6A/K6AT,98/10～00/12,2WD ターボ,Fr：30～35mm<br>Rr：30～35mm,3.0/2.4,バンプラバーカット,17802,,260601,BS008A-qq-e-391,BS008A-qq-e-d-391,BS008A,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,17000,1000,31200
スズキ,アルトワークス,HB21S,K6A/K6AT,94/11～98/10,4WD ターボ,Fr：30～35mm<br>Rr：30～35mm,3.0/2.4,バンプラバーカット,17802,,260600,BS008A-qq-e-390,BS008A-qq-e-d-390,BS008A,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,17000,1000,31200
スズキ,エブリイ,DA17V,R06A,15/2～,2WD NA/ターボ共通,Fr：20～25mm<br>Rr：20～25mm,3.3/3.6,,19181,,260908,BS038A-qq-e-68k,BS038A-qq-e-d-68k,BS038A,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,18500,1000,32600
スズキ,エブリイバン,DA64V,K6A,05/8～,2WD NA/ターボ共通 4WD NA,Fr：35～40mm<br>Rr：35～40mm,3.2/3.5,,18998,,260614,BS015A-qq-e-395,BS015A-qq-e-d-395,BS015A,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,18300,1000,32400
スズキ,エブリイバン,DA64V,K6A,05/8～,4WD ターボ,Fr：30～35mm<br>Rr：30～35mm,3.2/3.5,,18998,,260613,BS015A-qq-e-394,BS015A-qq-e-d-394,BS015A,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,18300,1000,32400
スズキ,エブリイワゴン,DA17W,R06A,15/2～,2WD NA/ターボ共通,Fr：20～25mm<br>Rr：20～25mm,3.3/3.6,,19181,,260907,BS038A-qq-e-67k,BS038A-qq-e-d-67k,BS038A,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,18500,1000,32600
スズキ,エブリイワゴン,DA64W,K6A,05/8～,2WD/4WD NA,Fr：40～45mm<br>Rr：40～45mm,3.2/3.5,,18998,,260611,BS015A-qq-e-392,BS015A-qq-e-d-392,BS015A,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,18300,1000,32400
スズキ,エブリイワゴン,DA64W,K6A,05/8～,2WD/4WD ターボ,Fr：35～40mm<br>Rr：35～40mm,3.2/3.5,,18998,,260612,BS015A-qq-e-393,BS015A-qq-e-d-393,BS015A,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,18300,1000,32400
スズキ,キャリイ/エブリイ,DA52V/DA52W,F6A,98/10～01/8,2WD バン NA/ターボ共通,Fr：35～40mm<br>Rr：35～40mm,5.0/3.8,バンプラバーカット,18537,,260597,BS007A-qq-e-397,BS007A-qq-e-d-397,BS007A,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,17800,1000,32000
スズキ,キャリイ/エブリイ,DA62V/DA62W,K6A,01/8～03/7,2WD バン/ワゴン,Fr：30～35mm<br>Rr：30～35mm,3.7/3.0,バンプラバーカット,18537,,260603,BS010A-qq-e-398,BS010A-qq-e-d-398,BS010A,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,17800,1000,32000
スズキ,キャリイ/エブリイ,DE51,K6A,92/5～98/12,2WD バン,Fr：35～40mm<br>Rr：35～40mm,2.9/2.7,バンプラバーカット,18537,,260595,BS004A-qq-e-396,BS004A-qq-e-d-396,BS004A,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,17800,1000,32000
スズキ,キャリイトラック,DA61T/DA63T,K6A,01/9～,2WD専用 特装車不可 DA62T不可 ショートホイール車(DA65T)不可,Fr：40～45mm<br>Rr：40～45mm,3.7/-,リアリーフの為、構造変更が必要<br>リアは付属のリーフスプリングにて車高を下げることができます,47950,,260952,BS024A-qq-e-399,出さない,BS024A,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,47500,1500,出さない
スズキ,スイフト,ZC11S,M13A,04/11～10/9,2WD 1.3XG,Fr：30～35mm<br>Rr：30～35mm,2.9/2.7,,22400,,260625,BS017A-qq-e-400,BS017A-qq-e-d-400,BS017A,FINAL KONNEXION,BLACK SUS,ダウンmm数値は代表車種で測定したものとなり、車種によっては多少の誤差がありますのであくまで目安としてお考え下さい。<br>稀にお車の最低地上高がメーカー測定値と異なる場合がございますので、予め最低地上高をご確認の上表記ダウン量で問題がないか判断してください。<br>メーカーのマッチング車両は全て、純正タイヤ(サマータイヤ)、純正ショックアブソーバーでのマッチングデータになります。<br>これらが社外品と交換されていた場合、記載のダウン量との相違・車両部位との干渉・異音の発生・車検不適合などが起こる場合があります。<br>平成18年1月(2006年1月)以降に生産された車両は、保安基準に抵触し車検不適合となる場合がありますので、現車をご確認の上装着してください。<br>ローダウン仕様車の場合、ダウン量が表記数値と変わりますのでご注意ください。,22000,1000,35900
