自動車メーカー,車種,型式,適合詳細,リフトアップ量,バネレート【F/R】,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー名,商品名,備考,注意事項,定価,送料,SET価格
ダイハツ,ハイゼットカーゴ,S321V,2WD,Fr：30～35mm<br>Rr：30～35mm,3.7K/3.6K,20377,,260977,FK-UPSUS-qq-e-h-22k,FK-UPSUS-qq-e-d-h-22k,FINAL KONNEXION,EAGER UP SUS,4WD車取り付け可(取り付け未確認のため車高データなし),直前側方運転視界基準・前方視界基準や、40mm以上の車高アップにより車検適合外となる場合がありますので、車検検査前に最寄りの軽自動車検査協会でご確認下さい。<br>車高は製作当時の測定データになります。<br>車高はグレード、走行距離、車両違いや測定誤差等がありますので記載データと実車では異なる場合があります。<br>車高を上げるためスプリングのバネレートをアップしていますのでスプリングの反発力を大きく感じる事があります。<br>純正ショック使用により、車高が上がる事で約1°～1.5°ほどポジティブキャンバー(逆ハの字)となりますので、キャンバーボルトなどで調整して下さい。<br>アップサスは純正ショックの伸びた状態になりますので路面の段差などによりショックのピストンがショック内部の上側に干渉しゴツゴツと異音が出る事があります。<br>エブリィ系のリアホーシングデフ車はデフ重量が重い為、路面の段差などにより左右のバタツキが多くなります。,19800,1000,33900
トヨタ,ピクシスバン,S321M,2WD,Fr：30～35mm<br>Rr：30～35mm,3.7K/3.6K,20377,,260976,FK-UPSUS-qq-e-h-21k,FK-UPSUS-qq-e-d-h-21k,FINAL KONNEXION,EAGER UP SUS,4WD車取り付け可(取り付け未確認のため車高データなし),直前側方運転視界基準・前方視界基準や、40mm以上の車高アップにより車検適合外となる場合がありますので、車検検査前に最寄りの軽自動車検査協会でご確認下さい。<br>車高は製作当時の測定データになります。<br>車高はグレード、走行距離、車両違いや測定誤差等がありますので記載データと実車では異なる場合があります。<br>車高を上げるためスプリングのバネレートをアップしていますのでスプリングの反発力を大きく感じる事があります。<br>純正ショック使用により、車高が上がる事で約1°～1.5°ほどポジティブキャンバー(逆ハの字)となりますので、キャンバーボルトなどで調整して下さい。<br>アップサスは純正ショックの伸びた状態になりますので路面の段差などによりショックのピストンがショック内部の上側に干渉しゴツゴツと異音が出る事があります。<br>エブリィ系のリアホーシングデフ車はデフ重量が重い為、路面の段差などにより左右のバタツキが多くなります。,19800,1000,33900
日産,NV100クリッパー,DR17V,2WD,Fr：25～30mm<br>Rr：30～35mm,2.5K/2.3K,20377,,260959,FK-UPSUS-qq-e-h-4k,FK-UPSUS-qq-e-d-h-4k,FINAL KONNEXION,EAGER UP SUS,4WD車取り付け可(取り付け未確認のため車高データなし),直前側方運転視界基準・前方視界基準や、40mm以上の車高アップにより車検適合外となる場合がありますので、車検検査前に最寄りの軽自動車検査協会でご確認下さい。<br>車高は製作当時の測定データになります。<br>車高はグレード、走行距離、車両違いや測定誤差等がありますので記載データと実車では異なる場合があります。<br>車高を上げるためスプリングのバネレートをアップしていますのでスプリングの反発力を大きく感じる事があります。<br>純正ショック使用により、車高が上がる事で約1°～1.5°ほどポジティブキャンバー(逆ハの字)となりますので、キャンバーボルトなどで調整して下さい。<br>アップサスは純正ショックの伸びた状態になりますので路面の段差などによりショックのピストンがショック内部の上側に干渉しゴツゴツと異音が出る事があります。<br>エブリィ系のリアホーシングデフ車はデフ重量が重い為、路面の段差などにより左右のバタツキが多くなります。,19800,1000,33900
日産,NV100クリッパー,DR64V,2WD,Fr：25～30mm<br>Rr：30～35mm,2.5K/2.3K,20377,,260957,FK-UPSUS-qq-e-h-2k,FK-UPSUS-qq-e-d-h-2k,FINAL KONNEXION,EAGER UP SUS,4WD車取り付け可(取り付け未確認のため車高データなし),直前側方運転視界基準・前方視界基準や、40mm以上の車高アップにより車検適合外となる場合がありますので、車検検査前に最寄りの軽自動車検査協会でご確認下さい。<br>車高は製作当時の測定データになります。<br>車高はグレード、走行距離、車両違いや測定誤差等がありますので記載データと実車では異なる場合があります。<br>車高を上げるためスプリングのバネレートをアップしていますのでスプリングの反発力を大きく感じる事があります。<br>純正ショック使用により、車高が上がる事で約1°～1.5°ほどポジティブキャンバー(逆ハの字)となりますので、キャンバーボルトなどで調整して下さい。<br>アップサスは純正ショックの伸びた状態になりますので路面の段差などによりショックのピストンがショック内部の上側に干渉しゴツゴツと異音が出る事があります。<br>エブリィ系のリアホーシングデフ車はデフ重量が重い為、路面の段差などにより左右のバタツキが多くなります。,19800,1000,33900
日産,クリッパーリオ,DR17W,2WD,Fr：25～30mm<br>Rr：25～30mm,2.5K/2.3K,20377,,260960,FK-UPSUS-qq-e-h-5k,FK-UPSUS-qq-e-d-h-5k,FINAL KONNEXION,EAGER UP SUS,4WD車取り付け可(取り付け未確認のため車高データなし),直前側方運転視界基準・前方視界基準や、40mm以上の車高アップにより車検適合外となる場合がありますので、車検検査前に最寄りの軽自動車検査協会でご確認下さい。<br>車高は製作当時の測定データになります。<br>車高はグレード、走行距離、車両違いや測定誤差等がありますので記載データと実車では異なる場合があります。<br>車高を上げるためスプリングのバネレートをアップしていますのでスプリングの反発力を大きく感じる事があります。<br>純正ショック使用により、車高が上がる事で約1°～1.5°ほどポジティブキャンバー(逆ハの字)となりますので、キャンバーボルトなどで調整して下さい。<br>アップサスは純正ショックの伸びた状態になりますので路面の段差などによりショックのピストンがショック内部の上側に干渉しゴツゴツと異音が出る事があります。<br>エブリィ系のリアホーシングデフ車はデフ重量が重い為、路面の段差などにより左右のバタツキが多くなります。,19800,1000,33900
日産,クリッパーリオ,DR64W,2WD,Fr：25～30mm<br>Rr：25～30mm,2.5K/2.3K,20377,,260958,FK-UPSUS-qq-e-h-3k,FK-UPSUS-qq-e-d-h-3k,FINAL KONNEXION,EAGER UP SUS,4WD車取り付け可(取り付け未確認のため車高データなし),直前側方運転視界基準・前方視界基準や、40mm以上の車高アップにより車検適合外となる場合がありますので、車検検査前に最寄りの軽自動車検査協会でご確認下さい。<br>車高は製作当時の測定データになります。<br>車高はグレード、走行距離、車両違いや測定誤差等がありますので記載データと実車では異なる場合があります。<br>車高を上げるためスプリングのバネレートをアップしていますのでスプリングの反発力を大きく感じる事があります。<br>純正ショック使用により、車高が上がる事で約1°～1.5°ほどポジティブキャンバー(逆ハの字)となりますので、キャンバーボルトなどで調整して下さい。<br>アップサスは純正ショックの伸びた状態になりますので路面の段差などによりショックのピストンがショック内部の上側に干渉しゴツゴツと異音が出る事があります。<br>エブリィ系のリアホーシングデフ車はデフ重量が重い為、路面の段差などにより左右のバタツキが多くなります。,19800,1000,33900
ホンダ,N-VAN,JJ1,2WD,Fr：30～35mm<br>Rr：30～35mm,2.4K/3.8K,20377,,260956,FK-UPSUS-qq-e-h-1k,FK-UPSUS-qq-e-d-h-1k,FINAL KONNEXION,EAGER UP SUS,4WD車取り付け可(取り付け未確認のため車高データなし),直前側方運転視界基準・前方視界基準や、40mm以上の車高アップにより車検適合外となる場合がありますので、車検検査前に最寄りの軽自動車検査協会でご確認下さい。<br>車高は製作当時の測定データになります。<br>車高はグレード、走行距離、車両違いや測定誤差等がありますので記載データと実車では異なる場合があります。<br>車高を上げるためスプリングのバネレートをアップしていますのでスプリングの反発力を大きく感じる事があります。<br>純正ショック使用により、車高が上がる事で約1°～1.5°ほどポジティブキャンバー(逆ハの字)となりますので、キャンバーボルトなどで調整して下さい。<br>アップサスは純正ショックの伸びた状態になりますので路面の段差などによりショックのピストンがショック内部の上側に干渉しゴツゴツと異音が出る事があります。<br>エブリィ系のリアホーシングデフ車はデフ重量が重い為、路面の段差などにより左右のバタツキが多くなります。,19800,1000,33900
マツダ,スクラムバン,DG17V,2WD,Fr：25～30mm<br>Rr：25～30mm,2.5K/2.3K,20377,,260973,FK-UPSUS-qq-e-h-18k,FK-UPSUS-qq-e-d-h-18k,FINAL KONNEXION,EAGER UP SUS,4WD車取り付け可(取り付け未確認のため車高データなし),直前側方運転視界基準・前方視界基準や、40mm以上の車高アップにより車検適合外となる場合がありますので、車検検査前に最寄りの軽自動車検査協会でご確認下さい。<br>車高は製作当時の測定データになります。<br>車高はグレード、走行距離、車両違いや測定誤差等がありますので記載データと実車では異なる場合があります。<br>車高を上げるためスプリングのバネレートをアップしていますのでスプリングの反発力を大きく感じる事があります。<br>純正ショック使用により、車高が上がる事で約1°～1.5°ほどポジティブキャンバー(逆ハの字)となりますので、キャンバーボルトなどで調整して下さい。<br>アップサスは純正ショックの伸びた状態になりますので路面の段差などによりショックのピストンがショック内部の上側に干渉しゴツゴツと異音が出る事があります。<br>エブリィ系のリアホーシングデフ車はデフ重量が重い為、路面の段差などにより左右のバタツキが多くなります。,19800,1000,33900
マツダ,スクラムバン,DG64V,2WD,Fr：25～30mm<br>Rr：30～35mm,2.5K/2.3K,20377,,260969,FK-UPSUS-qq-e-h-14k,FK-UPSUS-qq-e-d-h-14k,FINAL KONNEXION,EAGER UP SUS,4WD車取り付け可(取り付け未確認のため車高データなし),直前側方運転視界基準・前方視界基準や、40mm以上の車高アップにより車検適合外となる場合がありますので、車検検査前に最寄りの軽自動車検査協会でご確認下さい。<br>車高は製作当時の測定データになります。<br>車高はグレード、走行距離、車両違いや測定誤差等がありますので記載データと実車では異なる場合があります。<br>車高を上げるためスプリングのバネレートをアップしていますのでスプリングの反発力を大きく感じる事があります。<br>純正ショック使用により、車高が上がる事で約1°～1.5°ほどポジティブキャンバー(逆ハの字)となりますので、キャンバーボルトなどで調整して下さい。<br>アップサスは純正ショックの伸びた状態になりますので路面の段差などによりショックのピストンがショック内部の上側に干渉しゴツゴツと異音が出る事があります。<br>エブリィ系のリアホーシングデフ車はデフ重量が重い為、路面の段差などにより左右のバタツキが多くなります。,19800,1000,33900
マツダ,スクラムワゴン,DG17V,2WD,Fr：25～30mm<br>Rr：30～35mm,2.5K/2.3K,20377,,260971,FK-UPSUS-qq-e-h-16k,FK-UPSUS-qq-e-d-h-16k,FINAL KONNEXION,EAGER UP SUS,4WD車取り付け可(取り付け未確認のため車高データなし),直前側方運転視界基準・前方視界基準や、40mm以上の車高アップにより車検適合外となる場合がありますので、車検検査前に最寄りの軽自動車検査協会でご確認下さい。<br>車高は製作当時の測定データになります。<br>車高はグレード、走行距離、車両違いや測定誤差等がありますので記載データと実車では異なる場合があります。<br>車高を上げるためスプリングのバネレートをアップしていますのでスプリングの反発力を大きく感じる事があります。<br>純正ショック使用により、車高が上がる事で約1°～1.5°ほどポジティブキャンバー(逆ハの字)となりますので、キャンバーボルトなどで調整して下さい。<br>アップサスは純正ショックの伸びた状態になりますので路面の段差などによりショックのピストンがショック内部の上側に干渉しゴツゴツと異音が出る事があります。<br>エブリィ系のリアホーシングデフ車はデフ重量が重い為、路面の段差などにより左右のバタツキが多くなります。,19800,1000,33900
マツダ,スクラムワゴン,DG17W,2WD,Fr：25～30mm<br>Rr：25～30mm,2.5K/2.3K,20377,,260972,FK-UPSUS-qq-e-h-17k,FK-UPSUS-qq-e-d-h-17k,FINAL KONNEXION,EAGER UP SUS,4WD車取り付け可(取り付け未確認のため車高データなし),直前側方運転視界基準・前方視界基準や、40mm以上の車高アップにより車検適合外となる場合がありますので、車検検査前に最寄りの軽自動車検査協会でご確認下さい。<br>車高は製作当時の測定データになります。<br>車高はグレード、走行距離、車両違いや測定誤差等がありますので記載データと実車では異なる場合があります。<br>車高を上げるためスプリングのバネレートをアップしていますのでスプリングの反発力を大きく感じる事があります。<br>純正ショック使用により、車高が上がる事で約1°～1.5°ほどポジティブキャンバー(逆ハの字)となりますので、キャンバーボルトなどで調整して下さい。<br>アップサスは純正ショックの伸びた状態になりますので路面の段差などによりショックのピストンがショック内部の上側に干渉しゴツゴツと異音が出る事があります。<br>エブリィ系のリアホーシングデフ車はデフ重量が重い為、路面の段差などにより左右のバタツキが多くなります。,19800,1000,33900
マツダ,スクラムワゴン,DG64W,,Fr：25～30mm<br>Rr：25～30mm,2.5K/2.3K,20377,,260970,FK-UPSUS-qq-e-h-15k,FK-UPSUS-qq-e-d-h-15k,FINAL KONNEXION,EAGER UP SUS,,直前側方運転視界基準・前方視界基準や、40mm以上の車高アップにより車検適合外となる場合がありますので、車検検査前に最寄りの軽自動車検査協会でご確認下さい。<br>車高は製作当時の測定データになります。<br>車高はグレード、走行距離、車両違いや測定誤差等がありますので記載データと実車では異なる場合があります。<br>車高を上げるためスプリングのバネレートをアップしていますのでスプリングの反発力を大きく感じる事があります。<br>純正ショック使用により、車高が上がる事で約1°～1.5°ほどポジティブキャンバー(逆ハの字)となりますので、キャンバーボルトなどで調整して下さい。<br>アップサスは純正ショックの伸びた状態になりますので路面の段差などによりショックのピストンがショック内部の上側に干渉しゴツゴツと異音が出る事があります。<br>エブリィ系のリアホーシングデフ車はデフ重量が重い為、路面の段差などにより左右のバタツキが多くなります。,19800,1000,33900
マツダ,フレアクロスオーバー,MS31S,2WD,Fr：25～30mm<br>Rr：30～35mm,2.5K/2.4K,20377,,260974,FK-UPSUS-qq-e-h-19k,FK-UPSUS-qq-e-d-h-19k,FINAL KONNEXION,EAGER UP SUS,4WD車取り付け可(取り付け未確認のため車高データなし),直前側方運転視界基準・前方視界基準や、40mm以上の車高アップにより車検適合外となる場合がありますので、車検検査前に最寄りの軽自動車検査協会でご確認下さい。<br>車高は製作当時の測定データになります。<br>車高はグレード、走行距離、車両違いや測定誤差等がありますので記載データと実車では異なる場合があります。<br>車高を上げるためスプリングのバネレートをアップしていますのでスプリングの反発力を大きく感じる事があります。<br>純正ショック使用により、車高が上がる事で約1°～1.5°ほどポジティブキャンバー(逆ハの字)となりますので、キャンバーボルトなどで調整して下さい。<br>アップサスは純正ショックの伸びた状態になりますので路面の段差などによりショックのピストンがショック内部の上側に干渉しゴツゴツと異音が出る事があります。<br>エブリィ系のリアホーシングデフ車はデフ重量が重い為、路面の段差などにより左右のバタツキが多くなります。,19800,1000,33900
マツダ,フレアクロスオーバー,MS31S,4WD,Fr：25～30mm<br>Rr：30～35mm,2.5K/2.0K,20377,,260975,FK-UPSUS-qq-e-h-20k,FK-UPSUS-qq-e-d-h-20k,FINAL KONNEXION,EAGER UP SUS,,直前側方運転視界基準・前方視界基準や、40mm以上の車高アップにより車検適合外となる場合がありますので、車検検査前に最寄りの軽自動車検査協会でご確認下さい。<br>車高は製作当時の測定データになります。<br>車高はグレード、走行距離、車両違いや測定誤差等がありますので記載データと実車では異なる場合があります。<br>車高を上げるためスプリングのバネレートをアップしていますのでスプリングの反発力を大きく感じる事があります。<br>純正ショック使用により、車高が上がる事で約1°～1.5°ほどポジティブキャンバー(逆ハの字)となりますので、キャンバーボルトなどで調整して下さい。<br>アップサスは純正ショックの伸びた状態になりますので路面の段差などによりショックのピストンがショック内部の上側に干渉しゴツゴツと異音が出る事があります。<br>エブリィ系のリアホーシングデフ車はデフ重量が重い為、路面の段差などにより左右のバタツキが多くなります。,19800,1000,33900
三菱,タウンボックス,DS17W,2WD,Fr：25～30mm<br>Rr：25～30mm,2.5K/2.3K,20377,,260979,FK-UPSUS-qq-e-h-24k,FK-UPSUS-qq-e-d-h-24k,FINAL KONNEXION,EAGER UP SUS,4WD車取り付け可(取り付け未確認のため車高データなし),直前側方運転視界基準・前方視界基準や、40mm以上の車高アップにより車検適合外となる場合がありますので、車検検査前に最寄りの軽自動車検査協会でご確認下さい。<br>車高は製作当時の測定データになります。<br>車高はグレード、走行距離、車両違いや測定誤差等がありますので記載データと実車では異なる場合があります。<br>車高を上げるためスプリングのバネレートをアップしていますのでスプリングの反発力を大きく感じる事があります。<br>純正ショック使用により、車高が上がる事で約1°～1.5°ほどポジティブキャンバー(逆ハの字)となりますので、キャンバーボルトなどで調整して下さい。<br>アップサスは純正ショックの伸びた状態になりますので路面の段差などによりショックのピストンがショック内部の上側に干渉しゴツゴツと異音が出る事があります。<br>エブリィ系のリアホーシングデフ車はデフ重量が重い為、路面の段差などにより左右のバタツキが多くなります。,19800,1000,33900
三菱,ミニキャブ,DS17V,2WD,Fr：25～30mm<br>Rr：30～35mm,2.5K/2.3K,20377,,260980,FK-UPSUS-qq-e-h-25k,FK-UPSUS-qq-e-d-h-25k,FINAL KONNEXION,EAGER UP SUS,4WD車取り付け可(取り付け未確認のため車高データなし),直前側方運転視界基準・前方視界基準や、40mm以上の車高アップにより車検適合外となる場合がありますので、車検検査前に最寄りの軽自動車検査協会でご確認下さい。<br>車高は製作当時の測定データになります。<br>車高はグレード、走行距離、車両違いや測定誤差等がありますので記載データと実車では異なる場合があります。<br>車高を上げるためスプリングのバネレートをアップしていますのでスプリングの反発力を大きく感じる事があります。<br>純正ショック使用により、車高が上がる事で約1°～1.5°ほどポジティブキャンバー(逆ハの字)となりますので、キャンバーボルトなどで調整して下さい。<br>アップサスは純正ショックの伸びた状態になりますので路面の段差などによりショックのピストンがショック内部の上側に干渉しゴツゴツと異音が出る事があります。<br>エブリィ系のリアホーシングデフ車はデフ重量が重い為、路面の段差などにより左右のバタツキが多くなります。,19800,1000,33900
