自動車メーカー,車種,型式,年式,適合詳細,タイプ,販売価格,C_販売価格,商品ID,物販コード,取付コード,メーカー名,商品名,アッパーマウント(F/R),減衰力(F/R),スプリング kgf/mm(F/R),仕様,備考,注意事項,定価,掛け,送料,SET価格,C_SET価格
スズキ,ワゴンR,MH55S,17/02～,FF<br>FZ<br>F:スタビリンク付,,75594,71162,243008,FK-KIDS-qq-e-h-14k,FK-KIDS-qq-e-d-h-14k,FINAL KONNEXION,STYLE KIDS,マウントレス/別体式,正立式/正立式,6/4(特別形状),全長調整式<br>単筒式<br>減衰力20段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,79800,80,2000,88900,84400
スズキ,ワゴンRスティングレー,MH23S,08/09～,FF/4WD,,75594,71162,243009,FK-KIDS-qq-e-h-15k,FK-KIDS-qq-e-d-h-15k,FINAL KONNEXION,STYLE KIDS,リジット固定/別体式,正立式/正立式,4/2.7(特別形状),全長調整式<br>単筒式<br>減衰力20段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,79800,80,2000,88900,84400
スズキ,ワゴンRスティングレー,MH34S/MH44S,12/09～,FF,,75594,71162,243197,FK-KIDS-qq-e-h-16k,FK-KIDS-qq-e-d-h-16k,FINAL KONNEXION,STYLE KIDS,マウントレス/別体式,正立式/正立式,5/2.7(特別形状),全長調整式<br>単筒式<br>減衰力20段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,車高の高さによっては、スタビライザーがロアアームに干渉、及びスタビリンクが装着出来ない恐れがあり<br>その際には干渉しない高さまで車高を下げて頂くか、別売の調整式スタビリンクに交換必要,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,79800,80,2000,88900,84400
スズキ,ワゴンRスティングレー,MH35S,17/02～,FF<br>L<br>F:スタビリンク付,,75594,71162,242829,FK-KIDS-qq-e-h-17k,FK-KIDS-qq-e-d-h-17k,FINAL KONNEXION,STYLE KIDS,マウントレス/別体式,正立式/正立式,6/4(特別形状),全長調整式<br>単筒式<br>減衰力20段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,79800,80,2000,88900,84400
スズキ,ワゴンRスティングレー,MH55S,17/02～,FF<br>T/X<br>F:スタビリンク付,,75594,71162,243198,FK-KIDS-qq-e-h-18k,FK-KIDS-qq-e-d-h-18k,FINAL KONNEXION,STYLE KIDS,マウントレス/別体式,正立式/正立式,6/4(特別形状),全長調整式<br>単筒式<br>減衰力20段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,79800,80,2000,88900,84400
スバル,シフォン,LA600F,,FF,,75594,71162,243014,FK-KIDS-qq-e-h-30k,FK-KIDS-qq-e-d-h-30k,FINAL KONNEXION,STYLE KIDS,リジット固定/別体式,正立式/正立式,6/4.3(特別形状),全長調整式<br>単筒式<br>減衰力20段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,79800,80,2000,88900,84400
ダイハツ,タント,LA600S,,FF,,75594,71162,243010,FK-KIDS-qq-e-h-21k,FK-KIDS-qq-e-d-h-21k,FINAL KONNEXION,STYLE KIDS,リジット固定/別体式,正立式/正立式,6/4.3(特別形状),全長調整式<br>単筒式<br>減衰力20段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,79800,80,2000,88900,84400
ダイハツ,ミラ,L700S,,FF,,75594,71162,242666,FK-KIDS-qq-e-h-22k,FK-KIDS-qq-e-d-h-22k,FINAL KONNEXION,STYLE KIDS,リジット固定/別体式,正立式/正立式,4/2.5(特別形状),全長調整式<br>単筒式<br>減衰力20段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,79800,80,2000,88900,84400
日産,モコ,MG33S,,FF,,75594,71162,242665,FK-KIDS-qq-e-h-1k,FK-KIDS-qq-e-d-h-1k,FINAL KONNEXION,STYLE KIDS,マウントレス/別体式,正立式/正立式,5/2.7(特別形状),全長調整式<br>単筒式<br>減衰力20段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,車高の高さによっては、スタビライザーがロアアームに干渉、及びスタビリンクが装着出来ない恐れがあり<br>その際には干渉しない高さまで車高を下げて頂くか、別売の調整式スタビリンクに交換必要,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,79800,80,2000,88900,84400
日産,ルークス,ML21S,,FF/4WD,,75594,71162,242669,FK-KIDS-qq-e-h-2k,FK-KIDS-qq-e-d-h-2k,FINAL KONNEXION,STYLE KIDS,リジット固定/別体式,正立式/正立式,6/3.5(特別形状),全長調整式<br>単筒式<br>減衰力20段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,79800,80,2000,88900,84400
ホンダ,N-VAN,JJ1,,2WD<br>FF,,75594,71162,243016,FK-KIDS-qq-e-h-4k,FK-KIDS-qq-e-d-h-4k,FINAL KONNEXION,STYLE KIDS,マウントレス/別体式,正立式/正立式,6/4.5(特別形状),全長調整式<br>単筒式<br>減衰力20段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,79800,80,2000,88900,84400
ホンダ,N-VAN,JJ2,,4WD<br>FF,,75594,71162,242831,FK-KIDS-qq-e-h-5k,FK-KIDS-qq-e-d-h-5k,FINAL KONNEXION,STYLE KIDS,マウントレス/別体式,正立式/正立式,6/4.5(特別形状),全長調整式<br>単筒式<br>減衰力20段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,79800,80,2000,88900,84400
ホンダ,ライフ,JB5/JB7,,FF,,75594,71162,243015,FK-KIDS-qq-e-h-3k,FK-KIDS-qq-e-d-h-3k,FINAL KONNEXION,STYLE KIDS,マウントレス/別体式,正立式/正立式,4/2.4(特別形状),全長調整式<br>単筒式<br>減衰力20段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,F:純正アッパーマウント使用/R:純正ショックブッシュ、カラー、ワッシャー使用,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,79800,80,2000,88900,84400
マツダ,AZワゴン,MD21S,98/10～00/11,FF/4WD,,75594,71162,243011,FK-KIDS-qq-e-h-23k,FK-KIDS-qq-e-d-h-23k,FINAL KONNEXION,STYLE KIDS,リジット固定/別体式,正立式/正立式,4/2.8(特別形状),全長調整式<br>単筒式<br>減衰力20段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,79800,80,2000,88900,84400
マツダ,AZワゴン,MJ23S,08/09～,FF/4WD,,75594,71162,243201,FK-KIDS-qq-e-h-24k,FK-KIDS-qq-e-d-h-24k,FINAL KONNEXION,STYLE KIDS,リジット固定/別体式,正立式/正立式,4/2.7(特別形状),全長調整式<br>単筒式<br>減衰力20段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,79800,80,2000,88900,84400
マツダ,AZワゴン/AZワゴンカスタムスタイル,MJ23S,08/09～,FF/4WD,,75594,71162,242667,FK-KIDS-qq-e-h-25k,FK-KIDS-qq-e-d-h-25k,FINAL KONNEXION,STYLE KIDS,リジット固定/別体式,正立式/正立式,4/2.7(特別形状),全長調整式<br>単筒式<br>減衰力20段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,79800,80,2000,88900,84400
マツダ,フレア,MJ34S/MJ44S,08/09～,FF,,75594,71162,243012,FK-KIDS-qq-e-h-26k,FK-KIDS-qq-e-d-h-26k,FINAL KONNEXION,STYLE KIDS,マウントレス/別体式,正立式/正立式,5/2.7(特別形状),全長調整式<br>単筒式<br>減衰力20段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,車高の高さによっては、スタビライザーがロアアームに干渉、及びスタビリンクが装着出来ない恐れがあり<br>その際には干渉しない高さまで車高を下げて頂くか、別売の調整式スタビリンクに交換必要,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,79800,80,2000,88900,84400
マツダ,フレアクロスオーバー,MS31S/MS41S,,FF/4WD,,75594,71162,242830,FK-KIDS-qq-e-h-29k,FK-KIDS-qq-e-d-h-29k,FINAL KONNEXION,STYLE KIDS,マウントレス/別体式,正立式/正立式,5/2.7(特別形状),全長調整式<br>単筒式<br>減衰力20段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,79800,80,2000,88900,84400
マツダ,フレアワゴン,MM21S,,FF/4WD,,75594,71162,243013,FK-KIDS-qq-e-h-27k,FK-KIDS-qq-e-d-h-27k,FINAL KONNEXION,STYLE KIDS,リジット固定/別体式,正立式/正立式,6/3.5(特別形状),全長調整式<br>単筒式<br>減衰力20段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,79800,80,2000,88900,84400
マツダ,フレアワゴン,MM32S,,FF,,75594,71162,242668,FK-KIDS-qq-e-h-28k,FK-KIDS-qq-e-d-h-28k,FINAL KONNEXION,STYLE KIDS,マウントレス/別体式,正立式/正立式,5/2.7(特別形状),全長調整式<br>単筒式<br>減衰力20段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,他社製ラテラルロッドを使用している場合、取付が出来ない場合がございます<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,79800,80,2000,88900,84400
