トヨタ,クラウンマジェスタ,JZS17/UZS17,,4WD車取付不可<br>エアサス車取付可,Type-1,113885,105021,242949,FK-COMP-qq-e-h-21k,FK-COMP-qq-e-d-h-21k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,14/8,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,エアサス車は車検非対応(強度検討書はお出ししていません),強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700
トヨタ,クラウンマジェスタ,UZS18,,4WD車取付不可<br>エアサス車取付可,Type-2,113885,105021,242613,FK-COMP-qq-e-h-77k,FK-COMP-qq-e-d-h-77k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,14/10,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,エアサス車は車検非対応(強度検討書はお出ししていません),リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700
トヨタ,クラウンマジェスタ,UZS18,,4WD車取付不可<br>エアサス車取付可,Type-1,113885,105021,242950,FK-COMP-qq-e-h-22k,FK-COMP-qq-e-d-h-22k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,14/10,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,エアサス車は車検非対応(強度検討書はお出ししていません),強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700
トヨタ,スープラ,JZA80,,4WD車取付不可,Type-1,113885,105021,242602,FK-COMP-qq-e-h-23k,FK-COMP-qq-e-d-h-23k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,16/10,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700
トヨタ,スープラ,JZA80,,4WD車取付不可,Type-2,113885,105021,242614,FK-COMP-qq-e-h-78k,FK-COMP-qq-e-d-h-78k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,16/10,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700
トヨタ,セルシオ,UCF10,,4WD車取付不可<br>エアサス車取付可,Type-1,113885,105021,242766,FK-COMP-qq-e-h-11k,FK-COMP-qq-e-d-h-11k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,14/10,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,エアサス車は車検非対応(強度検討書はお出ししていません),強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700
トヨタ,セルシオ,UCF10,,4WD車取付不可<br>エアサス車取付可,Type-2,113885,105021,242779,FK-COMP-qq-e-h-66k,FK-COMP-qq-e-d-h-66k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,14/10,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,エアサス車は車検非対応(強度検討書はお出ししていません),リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700
トヨタ,セルシオ,UCF20,,4WD車取付不可<br>エアサス車取付可,Type-2,113885,105021,242610,FK-COMP-qq-e-h-67k,FK-COMP-qq-e-d-h-67k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,14/10,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,エアサス車は車検非対応(強度検討書はお出ししていません),リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700
トヨタ,セルシオ,UCF20,,4WD車取付不可<br>エアサス車取付可,Type-1,113885,105021,242767,FK-COMP-qq-e-h-12k,FK-COMP-qq-e-d-h-12k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,14/10,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,エアサス車は車検非対応(強度検討書はお出ししていません),強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700
トヨタ,セルシオ,UCF30,,4WD車取付不可<br>エアサス車取付可,Type-1,113885,105021,242947,FK-COMP-qq-e-h-13k,FK-COMP-qq-e-d-h-13k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,14/10,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,エアサス車は車検非対応(強度検討書はお出ししていません),強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700
トヨタ,セルシオ,UCF30,,4WD車取付不可<br>エアサス車取付可,Type-2,113885,105021,242962,FK-COMP-qq-e-h-68k,FK-COMP-qq-e-d-h-68k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,14/10,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,エアサス車は車検非対応(強度検討書はお出ししていません),リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700
トヨタ,ソアラ,JZZ30,,4WD車取付不可,Type-1,113885,105021,243132,FK-COMP-qq-e-h-24k,FK-COMP-qq-e-d-h-24k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,16/10,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700
トヨタ,ソアラ,JZZ30,,4WD車取付不可,Type-2,113885,105021,243141,FK-COMP-qq-e-h-79k,FK-COMP-qq-e-d-h-79k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,16/10,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700
トヨタ,マークII,JZX110,,4WD車取付不可,Type-1,113885,105021,242603,FK-COMP-qq-e-h-27k,FK-COMP-qq-e-d-h-27k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,14/10,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700
トヨタ,マークII,JZX110,,4WD車取付不可,Type-2,113885,105021,243282,FK-COMP-qq-e-h-82k,FK-COMP-qq-e-d-h-82k,FINAL KONNEXION,STEALTH Complete,固定式/固定式,正立式/正立式,14/10,全長調整式<br>単筒式<br>減衰力30段調整機能付<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,123000,2000,127700,118700
