自動車メーカー,車種,型式,年式,エンジン型式,適合詳細,調整範囲,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,マウント(F/R),レート(F/R),自由長(F/R),スプリング(F/R),車高調整範囲(Fmm<br>Rr：R),リア減衰ダイヤル 位置,付属延長ダイヤル,付属スタビリンク,B.R.A.I.N接続,備考,注意事項,定価,SET価格
トヨタ,マークII,JZX90,92/10～96/09,1JZ-GE/1JZ-GTE,クルーズコントロール付車未確認,Fr：-55～+10mm<br>Rr：-55～+10mm,151290,,240409,93120-qq-e-278,93120-qq-e-d-278,4959094931201,93120,BLITZ,DAMPER ZZ-R Spec-C,固定式ピロ/固定式ピロ,14.0/10.0,180/200,ID62ストレート/ID62ストレート,-55～+10mm<br>Rr：-55～+10,アッパーマウント上側,150mm,付属なし/付属なし,-,ピロアッパーマウントを採用しているためショック作動音が聞こえやすくなります,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります<br>DAMPER ZZ-R Spec-C取り付け時、装着しているホイール・タイヤサイズによっては別タンクと干渉する恐れがあります,258000,182700
日産,GT-R,R35,07/12～11/11,VR38DETT,スペックV/NISMO未確認,Fr：-60～0mm<br>Rr：-50～+20mm,157051,,240540,93122-qq-e-292,93122-qq-e-d-292,4959094931225,93122,BLITZ,DAMPER ZZ-R Spec-C,固定式ピロ/固定式ピロ,22.0/14.0,200/220,ID62ストレート/ID62ストレート,-60～0mm<br>Rr：-50～+20,アッパーマウント上側,100mm,付属なし/付属なし,-,ピロアッパーマウントを採用しているためショック作動音が聞こえやすくなります,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります<br>DAMPER ZZ-R Spec-C取り付け時、装着しているホイール・タイヤサイズによっては別タンクと干渉する恐れがあります,268000,209200
日産,シルビア,S15,99/01～,SR20DE/SR20DET,,Fr：-54～-16mm<br>Rr：-72～0mm,151290,,240411,93123-qq-e-315,93123-qq-e-d-315,4959094931232,93123,BLITZ,DAMPER ZZ-R Spec-C,調整式ピロ/固定式ピロ,10.0/8.0,180/220,ID62ストレート/ID62ストレート,-54～-16mm<br>Rr：-72～0,アッパーマウント上側,100mm,付属なし/付属なし,-,ピロアッパーマウントを採用しているためショック作動音が聞こえやすくなります,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります<br>DAMPER ZZ-R Spec-C取り付け時、装着しているホイール・タイヤサイズによっては別タンクと干渉する恐れがあります,258000,182700
日産,スカイライン,ER34,98/05～01/06,RB25DET,ハイキャス(ターボ)/GT-V専用<br>リアロアブラケット「コの字型」,Fr：-65～0mm<br>Rr：-80～-10mm,151290,,240418,93131-qq-e-321,93131-qq-e-d-321,4959094931317,93131,BLITZ,DAMPER ZZ-R Spec-C,固定式ピロ/固定式ピロ,9.0/6.0,200/220,ID62ストレート/ID62ストレート,-65～0mm<br>Rr：-80～-10,アッパーマウント上側,150mm,付属なし/付属なし,-,ピロアッパーマウントを採用しているためショック作動音が聞こえやすくなります,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります<br>DAMPER ZZ-R Spec-C取り付け時、装着しているホイール・タイヤサイズによっては別タンクと干渉する恐れがあります,258000,182700
日産,フェアレディZ,Z34,08/12～,VQ37VHR,,Fr：-70～0mm<br>Rr：-50～-10mm,151290,,240412,93125-qq-e-376,93125-qq-e-d-376,4959094931256,93125,BLITZ,DAMPER ZZ-R Spec-C,固定式ピロ/固定式ピロ,12.0/10.0,200/210,ID62ストレート/樽型orテーパー型(専用形状),-70～0mm<br>Rr：-50～-10,アッパーマウント上側,100mm,付属なし/付属なし,-,ピロアッパーマウントを採用しているためショック作動音が聞こえやすくなります,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります<br>DAMPER ZZ-R Spec-C取り付け時、装着しているホイール・タイヤサイズによっては別タンクと干渉する恐れがあります,258000,182700
マツダ,RX-8,SE3P,03/04～,13B-MSP,,Fr：-40～-5mm<br>Rr：-25～-15mm,151290,,240413,93126-qq-e-404,93126-qq-e-d-404,4959094931263,93126,BLITZ,DAMPER ZZ-R Spec-C,固定式ピロ/固定式ピロ,10.0/7.0,200/160,ID62ストレート/ID62ストレート,-40～-5mm<br>Rr：-25～-15,アッパーマウント上側,200mm,付属なし/付属なし,-,ピロアッパーマウントを採用しているためショック作動音が聞こえやすくなります,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります<br>DAMPER ZZ-R Spec-C取り付け時、装着しているホイール・タイヤサイズによっては別タンクと干渉する恐れがあります,258000,182700
マツダ,ロードスター,ND5RC,15/05～18/07,P5-VPR(RS),MT/AT共通<br>NR-A/RS取り付け可,Fr：-70～-20mm<br>Rr：-47～0mm,151290,,240421,93139-qq-e-337k,93139-qq-e-d-337k,4959094931393,93139,BLITZ,DAMPER ZZ-R Spec-C,固定式ピロ/固定式ピロ,8.0/4.0,200/220,ID62ストレート/ID62ストレート,-70～-20mm<br>Rr：-47～0,アッパーマウント上側,250mm,付属なし/付属なし,-,ピロアッパーマウントを採用しているためショック作動音が聞こえやすくなります,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります<br>DAMPER ZZ-R Spec-C取り付け時、装着しているホイール・タイヤサイズによっては別タンクと干渉する恐れがあります,258000,182700
マツダ,ロードスターRF,NDERC,16/12～18/07,PE-VPR(RS),MT/AT共通<br>RS取り付け可,Fr：-70～-20mm<br>Rr：-47～0mm,151290,,240422,93139-qq-e-338k,93139-qq-e-d-338k,4959094931393,93139,BLITZ,DAMPER ZZ-R Spec-C,固定式ピロ/固定式ピロ,8.0/4.0,200/220,ID62ストレート/ID62ストレート,-70～-20mm<br>Rr：-47～0,アッパーマウント上側,250mm,付属なし/付属なし,-,標準サスタワーバー装着車はフロント減衰調整時に要サスタワーバーの取り外しまたは加工<br>ピロアッパーマウントを採用しているためショック作動音が聞こえやすくなります<br>車高調整範囲はND5RCのデータになります,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります<br>DAMPER ZZ-R Spec-C取り付け時、装着しているホイール・タイヤサイズによっては別タンクと干渉する恐れがあります,258000,182700
三菱,ランサーエボリューションIX,CT9A,05/03～07/10,4G63,,Fr：-65～-10mm<br>Rr：-55～0mm,151290,,240416,93128-qq-e-483,93128-qq-e-d-483,4959094931287,93128,BLITZ,DAMPER ZZ-R Spec-C,調整式ピロ/固定式ピロ,10.0/8.0,180/220,ID62ストレート/ID62ストレート,-65～-10mm<br>Rr：-55～0,アッパーマウント上側,100mm,付属なし/付属なし,-,ピロアッパーマウントを採用しているためショック作動音が聞こえやすくなります,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります<br>DAMPER ZZ-R Spec-C取り付け時、装着しているホイール・タイヤサイズによっては別タンクと干渉する恐れがあります,258000,182700
三菱,ランサーエボリューションVII,CT9A,01/02～03/01,4G63,,Fr：-65～-10mm<br>Rr：-55～0mm,151290,,240414,93128-qq-e-477,93128-qq-e-d-477,4959094931287,93128,BLITZ,DAMPER ZZ-R Spec-C,調整式ピロ/固定式ピロ,10.0/8.0,180/220,ID62ストレート/ID62ストレート,-65～-10mm<br>Rr：-55～0,アッパーマウント上側,100mm,付属なし/付属なし,-,ピロアッパーマウントを採用しているためショック作動音が聞こえやすくなります,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります<br>DAMPER ZZ-R Spec-C取り付け時、装着しているホイール・タイヤサイズによっては別タンクと干渉する恐れがあります,258000,182700
三菱,ランサーエボリューションVIII,CT9A,03/01～05/03,4G63,,Fr：-65～-10mm<br>Rr：-55～0mm,151290,,240415,93128-qq-e-480,93128-qq-e-d-480,4959094931287,93128,BLITZ,DAMPER ZZ-R Spec-C,調整式ピロ/固定式ピロ,10.0/8.0,180/220,ID62ストレート/ID62ストレート,-65～-10mm<br>Rr：-55～0,アッパーマウント上側,100mm,付属なし/付属なし,-,ピロアッパーマウントを採用しているためショック作動音が聞こえやすくなります,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります<br>DAMPER ZZ-R Spec-C取り付け時、装着しているホイール・タイヤサイズによっては別タンクと干渉する恐れがあります,258000,182700
三菱,ランサーエボリューションワゴン,CT9W,05/09～,4G63,,Fr：-65～-10mm<br>Rr：-55～0mm,151290,,240417,93128-qq-e-489,93128-qq-e-d-489,4959094931287,93128,BLITZ,DAMPER ZZ-R Spec-C,調整式ピロ/固定式ピロ,10.0/8.0,180/220,ID62ストレート/ID62ストレート,-65～-10mm<br>Rr：-55～0,アッパーマウント上側,100mm,付属なし/付属なし,-,ピロアッパーマウントを採用しているためショック作動音が聞こえやすくなります,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります<br>DAMPER ZZ-R Spec-C取り付け時、装着しているホイール・タイヤサイズによっては別タンクと干渉する恐れがあります,258000,182700
