自動車メーカー,車種,型式,年式,エンジン型式,適合詳細,調整範囲,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,マウント(F/R),レート(F/R),自由長(F/R),スプリング(F/R),車高調整範囲(Fmm<br>Rr：R),リア減衰ダイヤル 位置,付属延長ダイヤル,付属スタビリンク,B.R.A.I.N接続,備考,注意事項,定価,SET価格
BMW,320i(F30),DBA-3B20,12/04～,N20B20B,4WD未確認<br>電子制御ダンパー装着車取り付け不可,Fr：-75～0mm<br>Rr：-55～-15mm,94939,,240488,92483-qq-e-847,92483-qq-e-d-847,4959094924838,92483,BLITZ,DAMPER ZZ-R,純正/純正,6.0/12.0,180/220,樽型orテーパー型(専用形状)/ID62ストレート,-75～0mm<br>Rr：-55～-15,タイヤハウス内(円盤型),-,調整式/付属なし,-,リア減衰ダイヤルはホイールハウス内,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります,170000,133600
BMW,323i(E90),ABA-VB23,05/10～,N52B25A,,Fr：-45～0mm<br>Rr：-50～-10mm,94939,,240520,92481-qq-e-854,92481-qq-e-d-854,4959094924814,92481,BLITZ,DAMPER ZZ-R,強化ゴム/純正,8.0/12.0,135/220,樽型orテーパー型(専用形状)/ID62ストレート,-45～0mm<br>Rr：-50～-10,アッパーマウント上側,150mm,調整式/付属なし,-,,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります,170000,133600
BMW,325i クーペ(E92),LBA-KE25,10/05～,N53B30A,,Fr：-45～0mm<br>Rr：-50～-10mm,94939,,240522,92481-qq-e-856,92481-qq-e-d-856,4959094924814,92481,BLITZ,DAMPER ZZ-R,強化ゴム/純正,8.0/12.0,135/220,樽型orテーパー型(専用形状)/ID62ストレート,-45～0mm<br>Rr：-50～-10,アッパーマウント上側,150mm,調整式/付属なし,-,,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります,170000,133600
BMW,325i ツーリング(E91),ABA-VS25/LBA-UT25,05/10～,N52B25A/N53B30A,,Fr：-40～0mm<br>Rr：-40～0mm,94939,,240583,92481-qq-e-256k,出さない,4959094924814,92481,BLITZ,DAMPER ZZ-R,強化ゴム/純正,8.0/12.0,135/220,樽型orテーパー型(専用形状)/ID62ストレート,-40～0mm<br>Rr：-40～0,アッパーマウント上側,150mm,調整式/付属なし,-,,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります,170000,出さない
BMW,325i(E90),ABA-VB25/LBA-PH25,05/04～,N52B25A/N53B30A,,Fr：-45～0mm<br>Rr：-50～-10mm,94939,,240521,92481-qq-e-855,92481-qq-e-d-855,4959094924814,92481,BLITZ,DAMPER ZZ-R,強化ゴム/純正,8.0/12.0,135/220,樽型orテーパー型(専用形状)/ID62ストレート,-45～0mm<br>Rr：-50～-10,アッパーマウント上側,150mm,調整式/付属なし,-,,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります,170000,133600
BMW,328i ツーリング(F31),DBA-3A20,12/09～,N20B20A,4WD未確認<br>電子制御ダンパー装着車取り付け不可,Fr：-75～0mm<br>Rr：-55～-15mm,94939,,240574,92483-qq-e-851,出さない,4959094924838,92483,BLITZ,DAMPER ZZ-R,純正/純正,6.0/12.0,180/220,樽型orテーパー型(専用形状)/ID62ストレート,-75～0mm<br>Rr：-55～-15,タイヤハウス内(円盤型),-,調整式/付属なし,-,リア減衰ダイヤルはホイールハウス内,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります,170000,出さない
BMW,328i(F30),DBA-3A20,12/01～,N20B20A,4WD未確認<br>電子制御ダンパー装着車取り付け不可,Fr：-75～0mm<br>Rr：-55～-15mm,94939,,240528,92483-qq-e-848,92483-qq-e-d-848,4959094924838,92483,BLITZ,DAMPER ZZ-R,純正/純正,6.0/12.0,180/220,樽型orテーパー型(専用形状)/ID62ストレート,-75～0mm<br>Rr：-55～-15,タイヤハウス内(円盤型),-,調整式/付属なし,-,リア減衰ダイヤルはホイールハウス内,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります,170000,133600
BMW,330i(E90),ABA-VB30,05/04～,N52B30A,,Fr：-45～0mm<br>Rr：-50～-10mm,94939,,240523,92481-qq-e-857,92481-qq-e-d-857,4959094924814,92481,BLITZ,DAMPER ZZ-R,強化ゴム/純正,8.0/12.0,135/220,樽型orテーパー型(専用形状)/ID62ストレート,-45～0mm<br>Rr：-50～-10,アッパーマウント上側,150mm,調整式/付属なし,-,,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります,170000,133600
BMW,335i クーペ(E92),ABA-WB35/ABA-KG35,06/09～,N54B30A/N55B30A,,Fr：-45～0mm<br>Rr：-50～-10mm,94939,,240525,92481-qq-e-859,92481-qq-e-d-859,4959094924814,92481,BLITZ,DAMPER ZZ-R,強化ゴム/純正,8.0/12.0,135/220,樽型orテーパー型(専用形状)/ID62ストレート,-45～0mm<br>Rr：-50～-10,アッパーマウント上側,150mm,調整式/付属なし,-,,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります,170000,133600
BMW,335i(E90),ABA-VB35/ABA-PM35,06/10～,N54B30A/N55B30A,,Fr：-45～0mm<br>Rr：-50～-10mm,94939,,240524,92481-qq-e-858,92481-qq-e-d-858,4959094924814,92481,BLITZ,DAMPER ZZ-R,強化ゴム/純正,8.0/12.0,135/220,樽型orテーパー型(専用形状)/ID62ストレート,-45～0mm<br>Rr：-50～-10,アッパーマウント上側,150mm,調整式/付属なし,-,,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります,170000,133600
