自動車メーカー,車種,型式,適合詳細,H/S,シートタイプ,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,商品名DB,スプリングタイプ,アッパーマウント(F/R),スプリングレート(F/R),仕様,備考,注意事項,定価,SET価格
スバル,インプレッサ,GDB,アプライドA/B/C/D,ソフトタイプ,,226800,,259614,ZS703XPS-qq-e-348k,ZS703XPS-qq-e-d-348k,ZS703XPS,ENDLESS,ZEAL FUNCTION Xプラス ソフトタイプ,ZEAL FUNCTION Xプラス,X COILS,調整式ピロ/調整式ピロ,ID60-203-8K/ID60-203-6K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,,,252000,207000
スバル,インプレッサ,GDB,アプライドA/B/C/D,ハードタイプ,,226800,,259615,ZS703XPH-qq-e-349k,ZS703XPH-qq-e-d-349k,ZS703XPH,ENDLESS,ZEAL FUNCTION Xプラス ハードタイプ,ZEAL FUNCTION Xプラス,X COILS,調整式ピロ/調整式ピロ,ID60-203-10K/ID60-203-8K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,,,252000,207000
スバル,インプレッサ,GDB,アプライドE/F/G,ソフトタイプ,,226800,,259621,ZS705XPS-qq-e-355k,ZS705XPS-qq-e-d-355k,ZS705XPS,ENDLESS,ZEAL FUNCTION Xプラス ソフトタイプ,ZEAL FUNCTION Xプラス,X COILS,調整式ピロ/調整式ピロ,ID60-203-8K/ID60-203-6K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,,,252000,207000
スバル,インプレッサ,GDB,アプライドE/F/G,ハードタイプ,,226800,,259622,ZS705XPH-qq-e-356k,ZS705XPH-qq-e-d-356k,ZS705XPH,ENDLESS,ZEAL FUNCTION Xプラス ハードタイプ,ZEAL FUNCTION Xプラス,X COILS,調整式ピロ/調整式ピロ,ID60-203-10K/ID60-203-8K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,,,252000,207000
スバル,インプレッサ,GRB,アプライドA/B,ソフトタイプ,,207000,,259628,ZS706XPS-qq-e-362k,ZS706XPS-qq-e-d-362k,ZS706XPS,ENDLESS,ZEAL FUNCTION Xプラス ソフトタイプ,ZEAL FUNCTION Xプラス,X COILS,調整式ピロ/アルミリジット,ID60-178-10K/ID60-178-10K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,,,230000,190500
スバル,インプレッサ,GRB,アプライドA/B,ハードタイプ,,207000,,259629,ZS706XPH-qq-e-363k,ZS706XPH-qq-e-d-363k,ZS706XPH,ENDLESS,ZEAL FUNCTION Xプラス ハードタイプ,ZEAL FUNCTION Xプラス,X COILS,調整式ピロ/アルミリジット,ID60-178-12K/ID60-178-12K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,,,230000,190500
スバル,インプレッサ,GRB,アプライドC,ソフトタイプ,,207000,,259635,ZS707XPS-qq-e-369k,ZS707XPS-qq-e-d-369k,ZS707XPS,ENDLESS,ZEAL FUNCTION Xプラス ソフトタイプ,ZEAL FUNCTION Xプラス,X COILS,調整式ピロ/アルミリジット,ID60-178-10K/ID60-178-8K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,,,230000,190500
スバル,インプレッサ,GRB,アプライドC,ハードタイプ,,207000,,259636,ZS707XPH-qq-e-370k,ZS707XPH-qq-e-d-370k,ZS707XPH,ENDLESS,ZEAL FUNCTION Xプラス ハードタイプ,ZEAL FUNCTION Xプラス,X COILS,調整式ピロ/アルミリジット,ID60-178-12K/ID60-178-10K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,,,230000,190500
スバル,インプレッサ,GVB,,ソフトタイプ,,207000,,259642,ZS708XPS-qq-e-376k,ZS708XPS-qq-e-d-376k,ZS708XPS,ENDLESS,ZEAL FUNCTION Xプラス ソフトタイプ,ZEAL FUNCTION Xプラス,X COILS,調整式ピロ/アルミリジット,ID60-178-10K/ID60-178-8K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,,,230000,190500
スバル,インプレッサ,GVB,,ハードタイプ,,207000,,259643,ZS708XPH-qq-e-377k,ZS708XPH-qq-e-d-377k,ZS708XPH,ENDLESS,ZEAL FUNCTION Xプラス ハードタイプ,ZEAL FUNCTION Xプラス,X COILS,調整式ピロ/アルミリジット,ID60-178-12K/ID60-178-10K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,,,230000,190500
スバル,フォレスター,SF5,,ソフトタイプ,,226800,,259665,ZS731XPS-qq-e-399k,ZS731XPS-qq-e-d-399k,ZS731XPS,ENDLESS,ZEAL FUNCTION Xプラス ソフトタイプ,ZEAL FUNCTION Xプラス,X COILS,調整式ピロ/調整式ピロ,ID60-203-6K/ID60-203-4K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,,,252000,207000
スバル,フォレスター,SF5,,ハードタイプ,,226800,,259666,ZS731XPH-qq-e-400k,ZS731XPH-qq-e-d-400k,ZS731XPH,ENDLESS,ZEAL FUNCTION Xプラス ハードタイプ,ZEAL FUNCTION Xプラス,X COILS,調整式ピロ/調整式ピロ,ID60-203-8K/ID60-203-6K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,,,252000,207000
スバル,フォレスター,SG5/SG9,,ソフトタイプ,,226800,,259667,ZS732XPS-qq-e-401k,ZS732XPS-qq-e-d-401k,ZS732XPS,ENDLESS,ZEAL FUNCTION Xプラス ソフトタイプ,ZEAL FUNCTION Xプラス,X COILS,調整式ピロ/調整式ピロ,ID60-203-8K/ID60-203-6K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,,,252000,207000
スバル,フォレスター,SG5/SG9,,ハードタイプ,,226800,,259668,ZS732XPH-qq-e-402k,ZS732XPH-qq-e-d-402k,ZS732XPH,ENDLESS,ZEAL FUNCTION Xプラス ハードタイプ,ZEAL FUNCTION Xプラス,X COILS,調整式ピロ/調整式ピロ,ID60-203-10K/ID60-203-8K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,,,252000,207000
スバル,レガシィ,BE5,,ソフトタイプ,,196200,,259677,ZS713XPS-qq-e-411k,ZS713XPS-qq-e-d-411k,ZS713XPS,ENDLESS,ZEAL FUNCTION Xプラス ソフトタイプ,ZEAL FUNCTION Xプラス,X COILS,調整式ピロ/アルミリジット,ID60-203-5K/ID60-203-5K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,,,218000,181500
スバル,レガシィ,BE5,,ハードタイプ,,196200,,259678,ZS713XPH-qq-e-412k,ZS713XPH-qq-e-d-412k,ZS713XPH,ENDLESS,ZEAL FUNCTION Xプラス ハードタイプ,ZEAL FUNCTION Xプラス,X COILS,調整式ピロ/アルミリジット,ID60-203-7K/ID60-203-7K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,,,218000,181500
スバル,レガシィ,BG5,,ソフトタイプ,,226800,,259673,ZS711XPS-qq-e-407k,ZS711XPS-qq-e-d-407k,ZS711XPS,ENDLESS,ZEAL FUNCTION Xプラス ソフトタイプ,ZEAL FUNCTION Xプラス,X COILS,調整式ピロ/調整式ピロ,ID60-178-6K/ID60-203-4K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,,,252000,207000
スバル,レガシィ,BG5,,ハードタイプ,,226800,,259674,ZS711XPH-qq-e-408k,ZS711XPH-qq-e-d-408k,ZS711XPH,ENDLESS,ZEAL FUNCTION Xプラス ハードタイプ,ZEAL FUNCTION Xプラス,X COILS,調整式ピロ/調整式ピロ,ID60-178-8K/ID60-203-6K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,,,252000,207000
スバル,レガシィ,BH5,,ソフトタイプ,,196200,,259675,ZS712XPS-qq-e-409k,ZS712XPS-qq-e-d-409k,ZS712XPS,ENDLESS,ZEAL FUNCTION Xプラス ソフトタイプ,ZEAL FUNCTION Xプラス,X COILS,調整式ピロ/アルミリジット,ID60-203-6K/ID60-203-6K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,,,218000,181500
スバル,レガシィ,BH5,,ハードタイプ,,196200,,259676,ZS712XPH-qq-e-410k,ZS712XPH-qq-e-d-410k,ZS712XPH,ENDLESS,ZEAL FUNCTION Xプラス ハードタイプ,ZEAL FUNCTION Xプラス,X COILS,調整式ピロ/アルミリジット,ID60-203-8K/ID60-203-8K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,,,218000,181500
スバル,レガシィ,BL5,,ソフトタイプ,,196200,,259685,ZS715XPS-qq-e-419k,ZS715XPS-qq-e-d-419k,ZS715XPS,ENDLESS,ZEAL FUNCTION Xプラス ソフトタイプ,ZEAL FUNCTION Xプラス,X COILS,調整式ピロ/アルミリジット,ID60-203-8K/ID60-203-6K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,,,218000,181500
スバル,レガシィ,BL5,,ハードタイプ,,196200,,259686,ZS715XPH-qq-e-420k,ZS715XPH-qq-e-d-420k,ZS715XPH,ENDLESS,ZEAL FUNCTION Xプラス ハードタイプ,ZEAL FUNCTION Xプラス,X COILS,調整式ピロ/アルミリジット,ID60-203-10K/ID60-203-8K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,,,218000,181500
スバル,レガシィ,BP5,,ソフトタイプ,,196200,,259679,ZS714XPS-qq-e-413k,ZS714XPS-qq-e-d-413k,ZS714XPS,ENDLESS,ZEAL FUNCTION Xプラス ソフトタイプ,ZEAL FUNCTION Xプラス,X COILS,調整式ピロ/アルミリジット,ID60-203-8K/ID60-203-6K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,,,218000,181500
スバル,レガシィ,BP5,,ハードタイプ,,196200,,259680,ZS714XPH-qq-e-414k,ZS714XPH-qq-e-d-414k,ZS714XPH,ENDLESS,ZEAL FUNCTION Xプラス ハードタイプ,ZEAL FUNCTION Xプラス,X COILS,調整式ピロ/アルミリジット,ID60-203-10K/ID60-203-8K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,,,218000,181500
ダイハツ,コペン,LA400K,,,,232200,,259699,ZS901XP-qq-e-433k,ZS901XP-qq-e-d-433k,ZS901XP,ENDLESS,ZEAL FUNCTION Xプラス ,ZEAL FUNCTION Xプラス,X COILS,調整式ピロ/-,ID65-178-4K/専用-3K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,リアアッパーマウント:純正ブッシュを再使用(ナット、カラー付属),,258000,208500
トヨタ,86,ZN6,,ソフトタイプ,,223200,,259304,ZS242XPS2-qq-e-38k,ZS242XPS2-qq-e-d-38k,ZS242XPS2,ENDLESS,ZEAL FUNCTION Xプラス ソフトタイプ,ZEAL FUNCTION Xプラス,X COILS,調整式ピロ/強化ゴム,ID60-178-8K/ID60-178-7K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,ターンバックル調整式スタビリンクロッドが付属,,248000,201000
トヨタ,86,ZN6,,ハードタイプ,,223200,,259305,ZS242XPH2-qq-e-39k,ZS242XPH2-qq-e-d-39k,ZS242XPH2,ENDLESS,ZEAL FUNCTION Xプラス ハードタイプ,ZEAL FUNCTION Xプラス,X COILS,調整式ピロ/強化ゴム,ID60-178-10K/ID60-178-9K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,ターンバックル調整式スタビリンクロッドが付属,,248000,201000
トヨタ,MR-S,ZZW30,,ソフトタイプ,,238500,,259287,ZS281XPS-qq-e-21k,ZS281XPS-qq-e-d-21k,ZS281XPS,ENDLESS,ZEAL FUNCTION Xプラス ソフトタイプ,ZEAL FUNCTION Xプラス,X COILS,調整式ピロ/調整式ピロ,ID60-203-4K/ID60-203-4K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,,,265000,213750
トヨタ,MR-S,ZZW30,,ハードタイプ,,238500,,259288,ZS281XPH-qq-e-22k,ZS281XPH-qq-e-d-22k,ZS281XPH,ENDLESS,ZEAL FUNCTION Xプラス ハードタイプ,ZEAL FUNCTION Xプラス,X COILS,調整式ピロ/調整式ピロ,ID60-203-5K/ID60-203-5K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,,,265000,213750
トヨタ,アリスト,JZS147,,ソフトタイプ,,169200,,259267,ZS262XPS-qq-e-1k,ZS262XPS-qq-e-d-1k,ZS262XPS,ENDLESS,ZEAL FUNCTION Xプラス ソフトタイプ,ZEAL FUNCTION Xプラス,X COILS,強化ゴム/強化ゴム,ID60-178-14K/ID60-203-10K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,,フロントアッパーマウント:純正ストラットタワーバー装着車に取り付けの場合は、専用アッパーマウントが必要(オーダー時にご指定ください),188000,156000
トヨタ,アリスト,JZS147,,ハードタイプ,,169200,,259268,ZS262XPH-qq-e-2k,ZS262XPH-qq-e-d-2k,ZS262XPH,ENDLESS,ZEAL FUNCTION Xプラス ハードタイプ,ZEAL FUNCTION Xプラス,X COILS,強化ゴム/強化ゴム,ID60-178-16K/ID60-203-12K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,,フロントアッパーマウント:純正ストラットタワーバー装着車に取り付けの場合は、専用アッパーマウントが必要(オーダー時にご指定ください),188000,156000
トヨタ,アリスト,JZS161,,ソフトタイプ,,169200,,259269,ZS261XPS-qq-e-3k,ZS261XPS-qq-e-d-3k,ZS261XPS,ENDLESS,ZEAL FUNCTION Xプラス ソフトタイプ,ZEAL FUNCTION Xプラス,X COILS,強化ゴム/強化ゴム,ID60-178-18K/ID60-203-14K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,,,188000,156000
トヨタ,アリスト,JZS161,,ハードタイプ,,169200,,259270,ZS261XPH-qq-e-4k,ZS261XPH-qq-e-d-4k,ZS261XPH,ENDLESS,ZEAL FUNCTION Xプラス ハードタイプ,ZEAL FUNCTION Xプラス,X COILS,強化ゴム/強化ゴム,ID60-178-20K/ID60-203-16K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,,,188000,156000
トヨタ,アルテッツァ,SXE10,,ソフトタイプ,,169200,,259276,ZS241XPS-qq-e-10k,ZS241XPS-qq-e-d-10k,ZS241XPS,ENDLESS,ZEAL FUNCTION Xプラス ソフトタイプ,ZEAL FUNCTION Xプラス,X COILS,強化ゴム/強化ゴム,ID60-178-14K/ID60-203-10K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,,,188000,156000
トヨタ,アルテッツァ,SXE10,,ハードタイプ,,169200,,259277,ZS241XPH-qq-e-11k,ZS241XPH-qq-e-d-11k,ZS241XPH,ENDLESS,ZEAL FUNCTION Xプラス ハードタイプ,ZEAL FUNCTION Xプラス,X COILS,強化ゴム/強化ゴム,ID60-178-16K/ID60-203-12K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,,,188000,156000
トヨタ,ヴィッツ,NCP91,,ソフトタイプ,,217800,,259285,ZS292XPS-qq-e-19k,ZS292XPS-qq-e-d-19k,ZS292XPS,ENDLESS,ZEAL FUNCTION Xプラス ソフトタイプ,ZEAL FUNCTION Xプラス,X COILS,,ID60-203-6K/ID65-178-4K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,フロントアッパーマウント:純正サポートを再使用(ベアリング付属)<br>リアアッパーマウント:専用ブッシュが付属,,242000,196500
トヨタ,ヴィッツ,NCP91,,ハードタイプ,,217800,,259286,ZS292XPH-qq-e-20k,ZS292XPH-qq-e-d-20k,ZS292XPH,ENDLESS,ZEAL FUNCTION Xプラス ハードタイプ,ZEAL FUNCTION Xプラス,X COILS,,ID60-203-8K/ID65-178-6K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,フロントアッパーマウント:純正サポートを再使用(ベアリング付属)<br>リアアッパーマウント:専用ブッシュが付属,,242000,196500
トヨタ,ヴィッツ,SCP10,,ソフトタイプ,,207000,,259283,ZS291XPS-qq-e-17k,ZS291XPS-qq-e-d-17k,ZS291XPS,ENDLESS,ZEAL FUNCTION Xプラス ソフトタイプ,ZEAL FUNCTION Xプラス,X COILS,調整式ピロ/-,ID60-203-5K/ID65-178-4K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,リアアッパーマウント:専用ブッシュが付属,,230000,187500
トヨタ,ヴィッツ,SCP10,,ハードタイプ,,207000,,259284,ZS291XPH-qq-e-18k,ZS291XPH-qq-e-d-18k,ZS291XPH,ENDLESS,ZEAL FUNCTION Xプラス ハードタイプ,ZEAL FUNCTION Xプラス,X COILS,調整式ピロ/-,ID60-203-7K/ID65-178-6K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,リアアッパーマウント:専用ブッシュが付属,,230000,187500
トヨタ,カルディナ,ST246W,,ソフトタイプ,,220500,,259290,ZS285XPS-qq-e-24k,ZS285XPS-qq-e-d-24k,ZS285XPS,ENDLESS,ZEAL FUNCTION Xプラス ソフトタイプ,ZEAL FUNCTION Xプラス,X COILS,調整式ピロ/-,ID60-178-10K/ID65-178-8K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,リアアッパーマウント:純正アッパーマウント組込済み,,245000,198750
トヨタ,カルディナ,ST246W,,ハードタイプ,,220500,,259291,ZS285XPH-qq-e-25k,ZS285XPH-qq-e-d-25k,ZS285XPH,ENDLESS,ZEAL FUNCTION Xプラス ハードタイプ,ZEAL FUNCTION Xプラス,X COILS,調整式ピロ/-,ID60-178-12K/ID65-178-10K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,リアアッパーマウント:純正アッパーマウント組込済み,,245000,198750
トヨタ,スープラ,JZA80,REAS車対応不可(装着は可能),ソフトタイプ,,169200,,259292,ZS201XPS-qq-e-26k,ZS201XPS-qq-e-d-26k,ZS201XPS,ENDLESS,ZEAL FUNCTION Xプラス ソフトタイプ,ZEAL FUNCTION Xプラス,X COILS,強化ゴム/強化ゴム,ID60-178-14K/ID60-203-10K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,,,188000,156000
トヨタ,スープラ,JZA80,REAS車対応不可(装着は可能),ハードタイプ,,169200,,259293,ZS201XPH-qq-e-27k,ZS201XPH-qq-e-d-27k,ZS201XPH,ENDLESS,ZEAL FUNCTION Xプラス ハードタイプ,ZEAL FUNCTION Xプラス,X COILS,強化ゴム/強化ゴム,ID60-178-16K/ID60-203-12K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,,,188000,156000
トヨタ,セリカ,ZZT231,ノーマルストラット車用(スーパーストラット車装着不可),ソフトタイプ,,218700,,259299,ZS271XPS-qq-e-33k,ZS271XPS-qq-e-d-33k,ZS271XPS,ENDLESS,ZEAL FUNCTION Xプラス ソフトタイプ,ZEAL FUNCTION Xプラス,X COILS,調整式ピロ/-,ID60-178-6K/ID65-178-6K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,リアアッパーマウント:純正アッパーマウント組込済み,,243000,197250
トヨタ,セリカ,ZZT231,ノーマルストラット車用(スーパーストラット車装着不可),ハードタイプ,,218700,,259300,ZS271XPH-qq-e-34k,ZS271XPH-qq-e-d-34k,ZS271XPH,ENDLESS,ZEAL FUNCTION Xプラス ハードタイプ,ZEAL FUNCTION Xプラス,X COILS,調整式ピロ/-,ID60-178-8K/ID65-178-8K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,リアアッパーマウント:純正アッパーマウント組込済み,,243000,197250
