自動車メーカー,車種,型式,年式,駆動,排気量,適合詳細,備考,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー名,商品名,仕様,備考,注意事項,定価,SET価格
トヨタ,アルファード,GGH25W,H20～H26,4WD,3500cc,,,123716,,296015,AXIS-qq-e-h-24k,AXIS-qq-e-d-h-24k,AXIS STYLING,パーフェクトダンパー5G,特徴(F/R):正立複筒式 全長調整式/正立単筒式 全長調整式<br>アッパーマウント(F/R):純正を再使用/構造上不要<br>ダウン量調整範囲(F/R):-30mm～-80mm(±10mm)/-25mm～-80mm(±10mm)<br>減衰力(F/R):15段ダイヤル調整式/15段ダイヤル調整式<br>スプリング(F/R):テーパー型 4.2K/樽型 6.7K<br>出荷時車高(F/R):純正比-50mm/純正比-60mm,車検対応<br>車高調整用レンチ・取付説明書付属<br>安心の2年または4万キロの保証。,車高調整範囲はメーカー測定データとなります。<br>型式やグレードまたは装備品や個体差により誤差が生じます。<br>調整範囲内であっても車高によってはボディー・アーム等との干渉などをおこし、走行に支障をきたす恐れがあります。<br>調整範囲内であっても車高によっては保安基準適合外となりますので御注意ください。,193000,154000
トヨタ,アルファード,GGH25W,H20～H26,4WD,3500cc,,純正フロントアッパーマウント付,136809,,296026,AXIS-qq-e-h-34k,AXIS-qq-e-d-h-34k,AXIS STYLING,パーフェクトダンパー5G,特徴(F/R):正立複筒式 全長調整式/正立単筒式 全長調整式<br>アッパーマウント(F/R):純正付属/構造上不要<br>ダウン量調整範囲(F/R):-30mm～-80mm(±10mm)/-25mm～-80mm(±10mm)<br>減衰力(F/R):15段ダイヤル調整式/15段ダイヤル調整式<br>スプリング(F/R):テーパー型 4.2K/樽型 6.7K<br>出荷時車高(F/R):純正比-50mm/純正比-60mm,車検対応<br>車高調整用レンチ・取付説明書付属<br>安心の2年または4万キロの保証。,車高調整範囲はメーカー測定データとなります。<br>型式やグレードまたは装備品や個体差により誤差が生じます。<br>調整範囲内であっても車高によってはボディー・アーム等との干渉などをおこし、走行に支障をきたす恐れがあります。<br>調整範囲内であっても車高によっては保安基準適合外となりますので御注意ください。,211000,167000
トヨタ,アルファード,GGH30W,H27～R2,2WD,3500cc,前期/後期<br>エグゼクティブラウンジS/エグゼクティブラウンジ/SC/S Cパッケージ/S Aパッケージ/S/GF/G/X/SA タイプブラック/S Aパッケージ・タイプブラック,,138367,,296021,AXIS-qq-e-h-2k,AXIS-qq-e-d-h-2k,AXIS STYLING,パーフェクトダンパー5G,特徴(F/R):正立複筒式 全長調整式/正立単筒式 全長調整式<br>アッパーマウント(F/R):純正を再使用/製品一体式<br>ダウン量調整範囲(F/R):0～-80mm(±10mm)/-15～-70mm(±10mm)<br>減衰力(F/R):15段ダイヤル調整式/15段ダイヤル調整式<br>スプリング(F/R):テーパー型 5.0K/テーパー型 7.7K<br>出荷時車高(F/R):純正比-45mmダウン(±10mm)/純正比-45mmダウン(±10mm),車検対応<br>車高調整用レンチ・取付説明書・専用リアバンプラバー付属<br>安心の2年または4万キロの保証。,タイヤ銘柄・偏平率、空気圧、ホイールインチ数・重量、道路状況、気温、乗車人数等により乗り心地は異なりますのでお好みに合わせて減衰力調整を行ってください。<br>車高調整範囲はメーカー測定データとなります。<br>型式やグレードまたは装備品や個体差により誤差が生じます。<br>調整範囲内であっても車高によってはボディー・アーム等との干渉などをおこし、走行に支障をきたす恐れがあります。<br>調整範囲内であっても車高によっては保安基準適合外となりますので御注意ください。,193000,154000
トヨタ,アルファード,GGH30W,H27～R2,2WD,3500cc,前期/後期<br>エグゼクティブラウンジS/エグゼクティブラウンジ/SC/S Cパッケージ/S Aパッケージ/S/GF/G/X/SA タイプブラック/S Aパッケージ・タイプブラック,純正フロントアッパーマウント付,146883,,296002,AXIS-qq-e-h-12k,AXIS-qq-e-d-h-12k,AXIS STYLING,パーフェクトダンパー5G,特徴(F/R):正立複筒式 全長調整式/正立単筒式 全長調整式<br>アッパーマウント(F/R):純正付属/製品一体式<br>ダウン量調整範囲(F/R):0～-80mm(±10mm)/-15～-70mm(±10mm)<br>減衰力(F/R):15段ダイヤル調整式/15段ダイヤル調整式<br>スプリング(F/R):テーパー型 5.0K/テーパー型 7.7K<br>出荷時車高(F/R):純正比-45mmダウン(±10mm)/純正比-45mmダウン(±10mm),車検対応<br>車高調整用レンチ・取付説明書・専用リアバンプラバー付属<br>安心の2年または4万キロの保証。,タイヤ銘柄・偏平率、空気圧、ホイールインチ数・重量、道路状況、気温、乗車人数等により乗り心地は異なりますのでお好みに合わせて減衰力調整を行ってください。<br>車高調整範囲はメーカー測定データとなります。<br>型式やグレードまたは装備品や個体差により誤差が生じます。<br>調整範囲内であっても車高によってはボディー・アーム等との干渉などをおこし、走行に支障をきたす恐れがあります。<br>調整範囲内であっても車高によっては保安基準適合外となりますので御注意ください。,211000,167000
トヨタ,アルファード,GGH35W,H27～R2,4WD,3500cc,前期/後期<br>エグゼクティブラウンジS/エグゼクティブラウンジ/SC/S Cパッケージ/S Aパッケージ/S/GF/G/X/SA タイプブラック/S Aパッケージ・タイプブラック,,138367,,296043,AXIS-qq-e-h-4k,AXIS-qq-e-d-h-4k,AXIS STYLING,パーフェクトダンパー5G,特徴(F/R):正立複筒式 全長調整式/正立単筒式 全長調整式<br>アッパーマウント(F/R):純正を再使用/製品一体式<br>ダウン量調整範囲(F/R):-20～-80mm(±10mm)/-20～-70mm(±10mm)<br>減衰力(F/R):15段ダイヤル調整式/15段ダイヤル調整式<br>スプリング(F/R):テーパー型 5.0K/テーパー型 7.4K<br>出荷時車高(F/R):純正比-50mmダウン(±10mm)/純正比-50mmダウン(±10mm),車検対応<br>車高調整用レンチ・取付説明書・専用リアバンプラバー付属<br>安心の2年または4万キロの保証。,タイヤ銘柄・偏平率、空気圧、ホイールインチ数・重量、道路状況、気温、乗車人数等により乗り心地は異なりますのでお好みに合わせて減衰力調整を行ってください。<br>車高調整範囲はメーカー測定データとなります。<br>型式やグレードまたは装備品や個体差により誤差が生じます。<br>調整範囲内であっても車高によってはボディー・アーム等との干渉などをおこし、走行に支障をきたす恐れがあります。<br>調整範囲内であっても車高によっては保安基準適合外となりますので御注意ください。,193000,154000
トヨタ,アルファード,GGH35W,H27～R2,4WD,3500cc,前期/後期<br>エグゼクティブラウンジS/エグゼクティブラウンジ/SC/S Cパッケージ/S Aパッケージ/S/GF/G/X/SA タイプブラック/S Aパッケージ・タイプブラック,純正フロントアッパーマウント付,146883,,296004,AXIS-qq-e-h-14k,AXIS-qq-e-d-h-14k,AXIS STYLING,パーフェクトダンパー5G,特徴(F/R):正立複筒式 全長調整式/正立単筒式 全長調整式<br>アッパーマウント(F/R):純正付属/製品一体式<br>ダウン量調整範囲(F/R):-20～-80mm(±10mm)/-20～-70mm(±10mm)<br>減衰力(F/R):15段ダイヤル調整式/15段ダイヤル調整式<br>スプリング(F/R):テーパー型 5.0K/テーパー型 7.4K<br>出荷時車高(F/R):純正比-50mmダウン(±10mm)/純正比-50mmダウン(±10mm),車検対応<br>車高調整用レンチ・取付説明書・専用リアバンプラバー付属<br>安心の2年または4万キロの保証。,タイヤ銘柄・偏平率、空気圧、ホイールインチ数・重量、道路状況、気温、乗車人数等により乗り心地は異なりますのでお好みに合わせて減衰力調整を行ってください。<br>車高調整範囲はメーカー測定データとなります。<br>型式やグレードまたは装備品や個体差により誤差が生じます。<br>調整範囲内であっても車高によってはボディー・アーム等との干渉などをおこし、走行に支障をきたす恐れがあります。<br>調整範囲内であっても車高によっては保安基準適合外となりますので御注意ください。,211000,167000
トヨタ,アルファードハイブリッド,ATH20W,H20～H26,,,,,123716,,296016,AXIS-qq-e-h-25k,AXIS-qq-e-d-h-25k,AXIS STYLING,パーフェクトダンパー5G,特徴(F/R):正立複筒式 全長調整式/正立単筒式 全長調整式<br>アッパーマウント(F/R):純正を再使用/構造上不要<br>ダウン量調整範囲(F/R):-30mm～-80mm(±10mm)/-30mm～-85mm(±10mm)<br>減衰力(F/R):15段ダイヤル調整式/15段ダイヤル調整式<br>スプリング(F/R):テーパー型 4.2K/樽型 6.7K<br>出荷時車高(F/R):純正比-50mm/純正比-60mm,車検対応<br>車高調整用レンチ・取付説明書付属<br>安心の2年または4万キロの保証。,車高調整範囲はメーカー測定データとなります。<br>型式やグレードまたは装備品や個体差により誤差が生じます。<br>調整範囲内であっても車高によってはボディー・アーム等との干渉などをおこし、走行に支障をきたす恐れがあります。<br>調整範囲内であっても車高によっては保安基準適合外となりますので御注意ください。,193000,154000
トヨタ,アルファードハイブリッド,ATH20W,H20～H26,,,,純正フロントアッパーマウント付,136809,,296027,AXIS-qq-e-h-35k,AXIS-qq-e-d-h-35k,AXIS STYLING,パーフェクトダンパー5G,特徴(F/R):正立複筒式 全長調整式/正立単筒式 全長調整式<br>アッパーマウント(F/R):純正付属/構造上不要<br>ダウン量調整範囲(F/R):-30mm～-80mm(±10mm)/-30mm～-85mm(±10mm)<br>減衰力(F/R):15段ダイヤル調整式/15段ダイヤル調整式<br>スプリング(F/R):テーパー型 4.2K/樽型 6.7K<br>出荷時車高(F/R):純正比-50mm/純正比-60mm,車検対応<br>車高調整用レンチ・取付説明書付属<br>安心の2年または4万キロの保証。,車高調整範囲はメーカー測定データとなります。<br>型式やグレードまたは装備品や個体差により誤差が生じます。<br>調整範囲内であっても車高によってはボディー・アーム等との干渉などをおこし、走行に支障をきたす恐れがあります。<br>調整範囲内であっても車高によっては保安基準適合外となりますので御注意ください。,211000,167000
トヨタ,アルファードハイブリッド,AYH30W,H27～R2,,,前期/後期<br>エグゼクティブラウンジS/エグゼクティブラウンジ/G Fパッケージ/SR Cパッケージ/SR/S/G/X,,138367,,296054,AXIS-qq-e-h-5k,AXIS-qq-e-d-h-5k,AXIS STYLING,パーフェクトダンパー5G,特徴(F/R):正立複筒式 全長調整式/正立単筒式 全長調整式<br>アッパーマウント(F/R):純正を再使用/製品一体式<br>ダウン量調整範囲(F/R):-30～-80mm(±10mm)/-30～-80mm(±10mm)<br>減衰力(F/R):15段ダイヤル調整式/15段ダイヤル調整式<br>スプリング(F/R):テーパー型 5.0K/テーパー型 7.4K<br>出荷時車高(F/R):純正比-50mmダウン(±10mm)/純正比-50mmダウン(±10mm),車検対応<br>車高調整用レンチ・取付説明書・専用リアバンプラバー付属<br>安心の2年または4万キロの保証。,タイヤ銘柄・偏平率、空気圧、ホイールインチ数・重量、道路状況、気温、乗車人数等により乗り心地は異なりますのでお好みに合わせて減衰力調整を行ってください。<br>車高調整範囲はメーカー測定データとなります。<br>型式やグレードまたは装備品や個体差により誤差が生じます。<br>調整範囲内であっても車高によってはボディー・アーム等との干渉などをおこし、走行に支障をきたす恐れがあります。<br>調整範囲内であっても車高によっては保安基準適合外となりますので御注意ください。,193000,154000
トヨタ,アルファードハイブリッド,AYH30W,H27～R2,,,前期/後期<br>エグゼクティブラウンジS/エグゼクティブラウンジ/G Fパッケージ/SR Cパッケージ/SR/S/G/X,純正フロントアッパーマウント付,146883,,296005,AXIS-qq-e-h-15k,AXIS-qq-e-d-h-15k,AXIS STYLING,パーフェクトダンパー5G,特徴(F/R):正立複筒式 全長調整式/正立単筒式 全長調整式<br>アッパーマウント(F/R):純正付属/製品一体式<br>ダウン量調整範囲(F/R):-30～-80mm(±10mm)/-30～-80mm(±10mm)<br>減衰力(F/R):15段ダイヤル調整式/15段ダイヤル調整式<br>スプリング(F/R):テーパー型 5.0K/テーパー型 7.4K<br>出荷時車高(F/R):純正比-50mmダウン(±10mm)/純正比-50mmダウン(±10mm),車検対応<br>車高調整用レンチ・取付説明書・専用リアバンプラバー付属<br>安心の2年または4万キロの保証。,タイヤ銘柄・偏平率、空気圧、ホイールインチ数・重量、道路状況、気温、乗車人数等により乗り心地は異なりますのでお好みに合わせて減衰力調整を行ってください。<br>車高調整範囲はメーカー測定データとなります。<br>型式やグレードまたは装備品や個体差により誤差が生じます。<br>調整範囲内であっても車高によってはボディー・アーム等との干渉などをおこし、走行に支障をきたす恐れがあります。<br>調整範囲内であっても車高によっては保安基準適合外となりますので御注意ください。,211000,167000
トヨタ,ヴェルファイア,AGH30W,H27～R2,2WD,2500cc,前期/後期<br>エグゼクティブラウンジZ/エグゼクティブラウンジ/ZG/Z Gエディション/Z Aエディション/Z/VL/V/X/ZA ゴールデンアイズ/Z Aエディション・ゴールデンアイズ,,138367,,296065,AXIS-qq-e-h-6k,AXIS-qq-e-d-h-6k,AXIS STYLING,パーフェクトダンパー5G,特徴(F/R):正立複筒式 全長調整式/正立単筒式 全長調整式<br>アッパーマウント(F/R):純正を再使用/製品一体式<br>ダウン量調整範囲(F/R):0～-80mm(±10mm)/-15～-70mm(±10mm)<br>減衰力(F/R):15段ダイヤル調整式/15段ダイヤル調整式<br>スプリング(F/R):テーパー型 5.0K/テーパー型 7.7K<br>出荷時車高(F/R):純正比-45mmダウン(±10mm)/純正比-45mmダウン(±10mm),車検対応<br>車高調整用レンチ・取付説明書・専用リアバンプラバー付属<br>安心の2年または4万キロの保証。,タイヤ銘柄・偏平率、空気圧、ホイールインチ数・重量、道路状況、気温、乗車人数等により乗り心地は異なりますのでお好みに合わせて減衰力調整を行ってください。<br>車高調整範囲はメーカー測定データとなります。<br>型式やグレードまたは装備品や個体差により誤差が生じます。<br>調整範囲内であっても車高によってはボディー・アーム等との干渉などをおこし、走行に支障をきたす恐れがあります。<br>調整範囲内であっても車高によっては保安基準適合外となりますので御注意ください。,193000,154000
トヨタ,ヴェルファイア,AGH30W,H27～R2,2WD,2500cc,前期/後期<br>エグゼクティブラウンジZ/エグゼクティブラウンジ/ZG/Z Gエディション/Z Aエディション/Z/VL/V/X/ZA ゴールデンアイズ/Z Aエディション・ゴールデンアイズ,純正フロントアッパーマウント付,146883,,296006,AXIS-qq-e-h-16k,AXIS-qq-e-d-h-16k,AXIS STYLING,パーフェクトダンパー5G,特徴(F/R):正立複筒式 全長調整式/正立単筒式 全長調整式<br>アッパーマウント(F/R):純正付属/製品一体式<br>ダウン量調整範囲(F/R):0～-80mm(±10mm)/-15～-70mm(±10mm)<br>減衰力(F/R):15段ダイヤル調整式/15段ダイヤル調整式<br>スプリング(F/R):テーパー型 5.0K/テーパー型 7.7K<br>出荷時車高(F/R):純正比-45mmダウン(±10mm)/純正比-45mmダウン(±10mm),車検対応<br>車高調整用レンチ・取付説明書・専用リアバンプラバー付属<br>安心の2年または4万キロの保証。,タイヤ銘柄・偏平率、空気圧、ホイールインチ数・重量、道路状況、気温、乗車人数等により乗り心地は異なりますのでお好みに合わせて減衰力調整を行ってください。<br>車高調整範囲はメーカー測定データとなります。<br>型式やグレードまたは装備品や個体差により誤差が生じます。<br>調整範囲内であっても車高によってはボディー・アーム等との干渉などをおこし、走行に支障をきたす恐れがあります。<br>調整範囲内であっても車高によっては保安基準適合外となりますので御注意ください。,211000,167000
トヨタ,ヴェルファイア,AGH35W,H27～R2,4WD,2500cc,前期/後期<br>エグゼクティブラウンジZ/エグゼクティブラウンジ/ZG/Z Gエディション/Z Aエディション/Z/VL/V/X/ZA ゴールデンアイズ/Z Aエディション・ゴールデンアイズ,,138367,,296087,AXIS-qq-e-h-8k,AXIS-qq-e-d-h-8k,AXIS STYLING,パーフェクトダンパー5G,特徴(F/R):正立複筒式 全長調整式/正立単筒式 全長調整式<br>アッパーマウント(F/R):純正を再使用/製品一体式<br>ダウン量調整範囲(F/R):-20～-80mm(±10mm)/-20～-70mm(±10mm)<br>減衰力(F/R):15段ダイヤル調整式/15段ダイヤル調整式<br>スプリング(F/R):テーパー型 5.0K/テーパー型 7.4K<br>出荷時車高(F/R):純正比-50mmダウン(±10mm),車検対応<br>車高調整用レンチ・取付説明書・専用リアバンプラバー付属<br>安心の2年または4万キロの保証。,タイヤ銘柄・偏平率、空気圧、ホイールインチ数・重量、道路状況、気温、乗車人数等により乗り心地は異なりますのでお好みに合わせて減衰力調整を行ってください。<br>車高調整範囲はメーカー測定データとなります。<br>型式やグレードまたは装備品や個体差により誤差が生じます。<br>調整範囲内であっても車高によってはボディー・アーム等との干渉などをおこし、走行に支障をきたす恐れがあります。<br>調整範囲内であっても車高によっては保安基準適合外となりますので御注意ください。,193000,154000
