自動車メーカー,車種,型式,適合詳細,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,バネレート(F/R),減衰力(F/R),車高調整幅 (F/R),備考,注意事項,定価,SET価格
スズキ,キャラ,PG6SS,,135240,,312060,STPNS75-02-qq-e-f1-20k,出さない,STPNS75-02,Spiegel,プロスペック・ステージII,4k/6k,30段/30段 調整式,-10～-50/-10～-50,フロントリア調整式ピロアッパーマウント付,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,138000,出さない
スズキ,キャリイトラック,DA62T/DA63T,2WD/4WD装着可,57820,,312031,STFPNS05-01-qq-e-f1-21k,出さない,STFPNS05-01,Spiegel,プロスペック・ステージII,6k/-,30段/- 調整式,0～-70/-,フロント調整式ピロアッパーマウント付<br>車高調はフロントのみ,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,59000,出さない
スズキ,キャリイトラック,DC51T/DD51T,2WD/4WD装着可,57820,,312033,STFPNS33-02-qq-e-f1-22k,出さない,STFPNS33-02,Spiegel,プロスペック・ステージII,6k/-,30段/- 調整式,0～-70/-,フロント調整式ピロアッパーマウント付<br>車高調はフロントのみ,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,59000,出さない
スズキ,セルボ,HG21S,2WD/4WD装着可,96040,,311963,STPNS03C-4-qq-e-f1-312,STPNS03C-4-qq-e-d-312,STPNS03C-4,Spiegel,プロスペック・ステージII,6k/4k,30段/30段 調整式,-20～-70/-15～-50,フロント調整式ピロアッパーマウント付,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,98000,113000
スズキ,セルボモード,CN21S/CN22S/CN31S/CN32S/CP21S/CP22S/CP31S/CP32S,2WD/4WD装着可,96040,,311947,STPNS02-2-qq-e-f1-313,STPNS02-2-qq-e-d-313,STPNS02-2,Spiegel,プロスペック・ステージII,6k/4k,30段/30段 調整式,-10～-70/-10～-40,フロント調整式ピロアッパーマウント付,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,98000,113000
スズキ,ラパン,HE21S,2WD/4WD装着可,96040,,311953,STPNS03A-3-qq-e-f1-314,STPNS03A-3-qq-e-d-314,STPNS03A-3,Spiegel,プロスペック・ステージII,6k/4k,30段/30段 調整式,0～-90/-5～-40,フロント調整式ピロアッパーマウント付,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,98000,113000
スズキ,ラパン,HE22S,2WD/4WD装着可,96040,,312005,STPNS52-3-qq-e-f1-315,STPNS52-3-qq-e-d-315,STPNS52-3,Spiegel,プロスペック・ステージII,5k/2k,30段/30段 調整式,0～-90/-5～-30,フロント調整式ピロアッパーマウント付,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,98000,113000
スズキ,ワゴンR,CT21S/CT51S/CV21S/CV51S,2WD/4WD装着可,96040,,311946,STPNS02-1-qq-e-f1-316,STPNS02-1-qq-e-d-316,STPNS02-1,Spiegel,プロスペック・ステージII,6k/4k,30段/30段 調整式,-10～-70/-10～-40,フロント調整式ピロアッパーマウント付,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,98000,113000
スズキ,ワゴンR,MC11S/MC12S/MC21S,2WD/4WD装着可,96040,,311970,STPNS06A-1-qq-e-f1-317,STPNS06A-1-qq-e-d-317,STPNS06A-1,Spiegel,プロスペック・ステージII,6k/4k,30段/30段 調整式,0～-70/0～-40,フロント調整式ピロアッパーマウント付,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,98000,113000
スズキ,ワゴンR,MC22S,2WD/4WD装着可(～4型前期 ～H14/03),96040,,311971,STPNS06A-2-qq-e-f1-318,STPNS06A-2-qq-e-d-318,STPNS06A-2,Spiegel,プロスペック・ステージII,6k/4k,30段/30段 調整式,0～-70/0～-40,フロント調整式ピロアッパーマウント付,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,98000,113000
スズキ,ワゴンR,MC22S,2WD/4WD装着可(4型後期 H14/04～H14/08),100940,,311980,STPNS06B-2-qq-e-f1-319,STPNS06B-2-qq-e-d-319,STPNS06B-2,Spiegel,プロスペック・ステージII,6k/4k,30段/30段 調整式,0～-70/0～-40,フロント調整式ピロアッパーマウント付,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,103000,118000
スズキ,ワゴンR,MC22S,2WD/4WD装着可(5型～ H14/09～),96040,,311951,STPNS03A-1-qq-e-f1-320,STPNS03A-1-qq-e-d-320,STPNS03A-1,Spiegel,プロスペック・ステージII,6k/4k,30段/30段 調整式,0～-70/-5～-50,フロント調整式ピロアッパーマウント付,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,98000,113000
スズキ,ワゴンR,MH21S,2WD/4WD装着可(～2型 ～H16/11),96040,,311957,STPNS03B-1-qq-e-f1-321,STPNS03B-1-qq-e-d-321,STPNS03B-1,Spiegel,プロスペック・ステージII,6k/4k,30段/30段 調整式,0～-70/-5～-30,フロント調整式ピロアッパーマウント付,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,98000,113000
スズキ,ワゴンR,MH21S,2WD/4WD装着可(3型～ H16/12～),96040,,311960,STPNS03C-1-qq-e-f1-322,STPNS03C-1-qq-e-d-322,STPNS03C-1,Spiegel,プロスペック・ステージII,6k/4k,30段/30段 調整式,-20～-90/-15～-50,フロント調整式ピロアッパーマウント付,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,98000,113000
スズキ,ワゴンR,MH22S,2WD/4WD装着可,96040,,311961,STPNS03C-2-qq-e-f1-323,STPNS03C-2-qq-e-d-323,STPNS03C-2,Spiegel,プロスペック・ステージII,6k/4k,30段/30段 調整式,-20～-90/-15～-50,フロント調整式ピロアッパーマウント付,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,98000,113000
スズキ,ワゴンR,MH23S,2WD/4WD装着可,96040,,312003,STPNS52-1-qq-e-f1-324,STPNS52-1-qq-e-d-324,STPNS52-1,Spiegel,プロスペック・ステージII,5k/2k,30段/30段 調整式,-20～-90/-15～-50,フロント調整式ピロアッパーマウント付,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,98000,113000
スバル,R1,RJ1,,96040,,311837,STPNB01-2-qq-e-f1-395,STPNB01-2-qq-e-d-395,STPNB01-2,Spiegel,プロスペック・ステージII,6k/4k,30段/30段 調整式,0～-60/0～-60,フロント調整式/リア固定式ピロアッパーマウント付,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,98000,113000
スバル,R2,RC1,,96040,,311838,STPNB01-3-qq-e-f1-396,STPNB01-3-qq-e-d-396,STPNB01-3,Spiegel,プロスペック・ステージII,6k/4k,30段/30段 調整式,0～-60/0～-60,フロント調整式/リア固定式ピロアッパーマウント付,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,98000,113000
スバル,サンバーバン,S321B/S331B,,104860,,311873,STPND07-4-qq-e-f1-49k,STPND07-4-qq-e-d-49k,STPND07-4,Spiegel,プロスペック・ステージII,4k/3k,30段/30段 調整式,-20～-70/-30～-70,フロント調整式ピロアッパーマウント付,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,107000,122000
スバル,ステラ,LA100F,スタビライザー搭載車,96040,,311923,STPND42A-13-qq-e-f1-50k,STPND42A-13-qq-e-d-50k,STPND42A-13,Spiegel,プロスペック・ステージII,6k/4k,30段/30段 調整式,-20～-110/-5～-50<br>カスタムRS:-30～-110/0～-40,フロント調整式ピロアッパーマウント付,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,98000,113000
スバル,ステラ,LA100F,スタビライザー未搭載車,96040,,311942,STPND42B-16-qq-e-f1-51k,STPND42B-16-qq-e-d-51k,STPND42B-16,Spiegel,プロスペック・ステージII,6k/4k,30段/30段 調整式,-20～-110/-5～-50<br>カスタムRS:-30～-110/0～-40,フロント調整式ピロアッパーマウント付,ヘッドライトオートレベリング機能、衝突被害軽減ブレーキ機能、誤発進抑制機能等、制御及び作動について、本製品装着に伴う影響は考慮致しておりません。<br>車高の変化に伴い、レーダーの照射角度等がノーマル時と変化致しますので、制御や作動に影響が出る可能性がございます。予めご了承下さい。<br>車高調取り付けで起こりうるトラブルにおいて一切の責任は負えません。,98000,113000
