自動車メーカー,車種,型式,年式,適合詳細,備考,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,取付位置,仕様,注意事項,定価,送料,SET価格
スズキ,スペーシア,MK32S/MK42S,,,,8479,,310167,KLRS007-5-qq-e-f2-20k,KLRS007-5-qq-e-d-20k,KLRS007-5,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
スズキ,セルボ,HG21S,,,,8479,,310153,KLRS005-8-qq-e-f2-23,KLRS005-8-qq-e-d-23,KLRS005-8,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
スズキ,セルボモード,CN21S/CN22S/CN31S/CN32S/CP21S/CP22S/CP31S/CP32S,,,,8479,,310138,KLRS001-4-qq-e-f2-22,KLRS001-4-qq-e-d-22,KLRS001-4,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
スズキ,ハスラー,MR31S/MR41S,,2WD/4WD装着可,,8479,,310158,KLRS007-1-qq-e-f2-24,KLRS007-1-qq-e-d-24,KLRS007-1,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
スズキ,パレット,MK21S,,,,8479,,310168,KLRS007-6-qq-e-f2-24k,KLRS007-6-qq-e-d-24k,KLRS007-6,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
スズキ,ラパン,HE21S,～H15/08,1型専用,,8479,,310173,KLRS011-02-qq-e-f2-25k,KLRS011-02-qq-e-d-25k,KLRS011-02,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
スズキ,ラパン,HE21S,H15/09～,2型～,,8479,,310150,KLRS005-5-qq-e-f2-25,KLRS005-5-qq-e-d-25,KLRS005-5,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
スズキ,ラパン,HE22S,,,,8479,,310169,KLRS007-7-qq-e-f2-27k,KLRS007-7-qq-e-d-27k,KLRS007-7,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
スズキ,ワゴンR,CT21S/CT51S/CV21S/CV51S,,,,8479,,310137,KLRS001-3-qq-e-f2-35,KLRS001-3-qq-e-d-35,KLRS001-3,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
スズキ,ワゴンR,MC11S/MC12S/MC21S/MC22S,～H14/08,～4型,,8479,,310140,KLRS002-2-qq-e-f2-32,KLRS002-2-qq-e-d-32,KLRS002-2,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
スズキ,ワゴンR,MC22S,H14/09～,5型～<br>MT車取り付け不可,,8479,,310172,KLRS011-01-qq-e-f2-30k,KLRS011-01-qq-e-d-30k,KLRS011-01,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
スズキ,ワゴンR,MH21S,,,,8479,,310151,KLRS005-6-qq-e-f2-31,KLRS005-6-qq-e-d-31,KLRS005-6,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
スズキ,ワゴンR,MH22S,,,,8479,,310152,KLRS005-7-qq-e-f2-30,KLRS005-7-qq-e-d-30,KLRS005-7,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
スズキ,ワゴンR,MH23S/MH34S,,,,8479,,310170,KLRS007-8-qq-e-f2-33k,KLRS007-8-qq-e-d-33k,KLRS007-8,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
スバル,サンバーバン,S321B,,,,8479,,310092,KLRD003-3-qq-e-f2-75k,KLRD003-3-qq-e-d-75k,KLRD003-3,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
スバル,サンバーバン,S331B,,,,8479,,310116,KLRD005-3-qq-e-f2-76k,KLRD005-3-qq-e-d-76k,KLRD005-3,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
スバル,ステラ,LA110F,,,,8479,,310109,KLRD004-15-qq-e-f2-77k,KLRD004-15-qq-e-d-77k,KLRD004-15,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
スバル,ディアスワゴン,S321N,,,,8479,,310093,KLRD003-4-qq-e-f2-78k,KLRD003-4-qq-e-d-78k,KLRD003-4,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
スバル,ディアスワゴン,S331N,,,,8479,,310117,KLRD005-4-qq-e-f2-79k,KLRD005-4-qq-e-d-79k,KLRD005-4,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
スバル,プレオ,L285F/L285B,,,,8479,,310106,KLRD004-12-qq-e-f2-80k,KLRD004-12-qq-e-d-80k,KLRD004-12,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
スバル,プレオプラス,LA310F,,,,8479,,310105,KLRD004-11-qq-e-f2-81k,KLRD004-11-qq-e-d-81k,KLRD004-11,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
スバル,ルクラ,L465F,,,,8479,,310107,KLRD004-13-qq-e-f2-82k,KLRD004-13-qq-e-d-82k,KLRD004-13,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
ダイハツ,MAX,L960S/L962S,,,,8479,,310081,KLRD001-05-qq-e-f2-34k,KLRD001-05-qq-e-d-34k,KLRD001-05,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
ダイハツ,アトレー,S320G/S330G,,カスタムターボRS S320G/S330G(H17/05～H19/08)の車両注意,アクスル側のボルト径の確認が必要です。<br>ボルト径16mmであれば装着可能。<br>ボルト径20mmであれば、S321G/S331G用(商品番号:KLRD005-1)をお選びください。,8479,,310090,KLRD003-1-qq-e-f2-43,KLRD003-1-qq-e-d-43,KLRD003-1,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
ダイハツ,アトレー,S321G/S331G,,,,8479,,310113,KLRD005-1-qq-e-f2-44,KLRD005-1-qq-e-d-44,KLRD005-1,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
ダイハツ,ウェイク,LA710S,,,,8479,,310112,KLRD004-18-qq-e-f2-37k,KLRD004-18-qq-e-d-37k,KLRD004-18,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
ダイハツ,エッセ,L245S,,,,8479,,310088,KLRD002-06-qq-e-f2-38k,KLRD002-06-qq-e-d-38k,KLRD002-06,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
ダイハツ,オプティ,L810S/L812S,,,,8479,,310080,KLRD001-04-qq-e-f2-39k,KLRD001-04-qq-e-d-39k,KLRD001-04,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
ダイハツ,キャスト,LA260S,,,,8479,,310103,KLRD004-09-qq-e-f2-40k,KLRD004-09-qq-e-d-40k,KLRD004-09,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
ダイハツ,ソニカ,L415S,,,,8479,,310089,KLRD002-07-qq-e-f2-41k,KLRD002-07-qq-e-d-41k,KLRD002-07,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
ダイハツ,タント,L360S,,,,8479,,310087,KLRD002-05-qq-e-f2-42k,KLRD002-05-qq-e-d-42k,KLRD002-05,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
ダイハツ,タント,L385S,,,,8479,,310097,KLRD004-03-qq-e-f2-43k,KLRD004-03-qq-e-d-43k,KLRD004-03,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
ダイハツ,タント,LA610S,,,,8479,,310101,KLRD004-07-qq-e-f2-44k,KLRD004-07-qq-e-d-44k,KLRD004-07,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
ダイハツ,タントエグゼ,L465S,,,,8479,,310102,KLRD004-08-qq-e-f2-45k,KLRD004-08-qq-e-d-45k,KLRD004-08,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
ダイハツ,ネイキッド,L760S,,,,8479,,310079,KLRD001-03-qq-e-f2-46k,KLRD001-03-qq-e-d-46k,KLRD001-03,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
ダイハツ,ハイゼットカーゴ,S320V/S330V,,S320V/S330V(H17/05～H19/08)の車両注意,アクスル側のボルト径の確認が必要です。<br>ボルト径16mmであれば装着可能。<br>ボルト径20mmであれば、S321V/S331V用(商品番号:KLRD005-2)をお選びください。,8479,,310091,KLRD003-2-qq-e-f2-54,KLRD003-2-qq-e-d-54,KLRD003-2,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
ダイハツ,ハイゼットカーゴ,S321V/S321W/S331V/S331W,,,,8479,,310115,KLRD005-2-qq-e-f2-55,KLRD005-2-qq-e-d-55,KLRD005-2,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
ダイハツ,ハイゼットデッキバン,S321V/S321W/S331V/S331W,,,,8479,,310114,KLRD005-2-qq-e-f2-102k,KLRD005-2-qq-e-d-102k,KLRD005-2,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
ダイハツ,ミラ,L260S,,,,8479,,310083,KLRD002-02-qq-e-f2-49k,KLRD002-02-qq-e-d-49k,KLRD002-02,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
ダイハツ,ミラ,L285S,,,,8479,,310096,KLRD004-02-qq-e-f2-50k,KLRD004-02-qq-e-d-50k,KLRD004-02,Spiegel,調整式ラテラルロッド,リア,ロッド:スチール<br>ロッドエンド:強化ウレタンブッシュ<br>ターンバックル調整式<br>調整幅(純正比):-20mm～+20mm,ゴムブッシュ部の色はブルーとウレタンカラーの2色あり、色の選択は承れません(材質・仕様共に同じ商品になります),9800,500,11400
