自動車メーカー,車種,型式,エンジン,排気量(cc),年式,純正規格・熱価,プラグタイプ,熱価,備考,本数,販売価格,Camp価格,商品ID,物販コード
ALFAROMEO,156,E/GF-932A1,32401,2500,98/5～02/6,ISO:6,ISOタイプ,NGK9番相当,,6本,11294,,256233,50003-M45i-qq-e-063
ALFAROMEO,156,GF-932B1(WAGON),,2500,00/7～02/7,ISO:6,ISOタイプ,NGK7番相当,,6本,11294,,253321,50003-M35i-qq-e-021
ALFAROMEO,156,GF-932B1(WAGON),,2500,00/7～02/7,ISO:6,ISOタイプ,NGK8番相当,,6本,11294,,250745,50003-M40i-qq-e-043
ALFAROMEO,156,GF-932B1(WAGON),,2500,00/7～02/7,ISO:6,ISOタイプ,NGK9番相当,,6本,11294,,252656,50003-M45i-qq-e-065
ALFAROMEO,156,GH-932AC,AR32405,2500,02/7～06/1,ISO:6,ISOタイプ,NGK7番相当,,6本,11294,,253320,50003-M35i-qq-e-020
ALFAROMEO,156,GH-932AC,AR32405,2500,02/7～06/1,ISO:6,ISOタイプ,NGK8番相当,,6本,11294,,249713,50003-M40i-qq-e-042
ALFAROMEO,156,GH-932AC,AR32405,2500,02/7～06/1,ISO:6,ISOタイプ,NGK9番相当,,6本,11294,,252655,50003-M45i-qq-e-064
ALFAROMEO,156,GH-932AXA,,2000,02/7～06/1,ISO:6,ISOタイプ,NGK7番相当,,4本,7735,,250007,50003-M35i-qq-e-017
ALFAROMEO,156,GH-932AXA,,2000,02/7～06/1,ISO:6,ISOタイプ,NGK8番相当,,4本,7735,,253028,50003-M40i-qq-e-039
ALFAROMEO,156,GH-932AXA,,2000,02/7～06/1,ISO:6,ISOタイプ,NGK9番相当,,4本,7735,,254641,50003-M45i-qq-e-061
ALFAROMEO,156,GH-932AXB(GTA WAGON),932A000,3200,03/11～06/1,ISO:6,ISOタイプ,NGK7番相当,,6本,11294,,256903,50003-M35i-qq-e-024
ALFAROMEO,156,GH-932AXB(GTA WAGON),932A000,3200,03/11～06/1,ISO:6,ISOタイプ,NGK8番相当,,6本,11294,,250746,50003-M40i-qq-e-046
ALFAROMEO,156,GH-932AXB(GTA WAGON),932A000,3200,03/11～06/1,ISO:6,ISOタイプ,NGK9番相当,,6本,11294,,257831,50003-M45i-qq-e-068
ALFAROMEO,156,GH-932AXB(GTA),932A000,3200,02/7～06/1,ISO:6,ISOタイプ,NGK7番相当,,6本,11294,,254277,50003-M35i-qq-e-023
ALFAROMEO,156,GH-932AXB(GTA),932A000,3200,02/7～06/1,ISO:6,ISOタイプ,NGK8番相当,,6本,11294,,254464,50003-M40i-qq-e-045
ALFAROMEO,156,GH-932AXB(GTA),932A000,3200,02/7～06/1,ISO:6,ISOタイプ,NGK9番相当,,6本,11294,,257828,50003-M45i-qq-e-067
ALFAROMEO,156,GH-932BW(WAGON),,2500,02/9～06/1,ISO:6,ISOタイプ,NGK7番相当,,6本,11294,,250025,50003-M35i-qq-e-022
ALFAROMEO,156,GH-932BW(WAGON),,2500,02/9～06/1,ISO:6,ISOタイプ,NGK8番相当,,6本,11294,,249714,50003-M40i-qq-e-044
ALFAROMEO,156,GH-932BW(WAGON),,2500,02/9～06/1,ISO:6,ISOタイプ,NGK9番相当,,6本,11294,,250888,50003-M45i-qq-e-066
ALFAROMEO,156,GH-932BXW(SWAGON),,2000,02/9～06/1,ISO:6,ISOタイプ,NGK7番相当,,4本,7735,,255888,50003-M35i-qq-e-018
ALFAROMEO,156,GH-932BXW(SWAGON),,2000,02/9～06/1,ISO:6,ISOタイプ,NGK8番相当,,4本,7735,,255987,50003-M40i-qq-e-040
ALFAROMEO,156,GH-932BXW(SWAGON),,2000,02/9～06/1,ISO:6,ISOタイプ,NGK9番相当,,4本,7735,,254642,50003-M45i-qq-e-062
ALFAROMEO,159,GH-93922,939A5,2200,06/2～,ISO:5,ISOタイプ,NGK7番相当,,4本,7735,,253330,50003-M35i-qq-e-025
ALFAROMEO,159,GH-93922,939A5,2200,06/2～,ISO:5,ISOタイプ,NGK8番相当,,4本,7735,,257050,50003-M40i-qq-e-047
ALFAROMEO,159,GH-93922,939A5,2200,06/2～,ISO:5,ISOタイプ,NGK9番相当,,4本,7735,,251374,50003-M45i-qq-e-069
ALFAROMEO,159,GH-93932,939A,3200,06/2～,ISO:5,ISOタイプ,NGK7番相当,,6本,11294,,252010,50003-M35i-qq-e-026
ALFAROMEO,159,GH-93932,939A,3200,06/2～,ISO:5,ISOタイプ,NGK8番相当,,6本,11294,,250747,50003-M40i-qq-e-048
ALFAROMEO,159,GH-93932,939A,3200,06/2～,ISO:5,ISOタイプ,NGK9番相当,,6本,11294,,257832,50003-M45i-qq-e-070
ALFAROMEO,166,GF/GH-936A11,,3000,01/9～,ISO:6,ISOタイプ,NGK7番相当,,6本,11294,,252831,50003-M35i-qq-e-029
ALFAROMEO,166,GF/GH-936A11,,3000,01/9～,ISO:6,ISOタイプ,NGK8番相当,,6本,11294,,257621,50003-M40i-qq-e-051
ALFAROMEO,166,GF/GH-936A11,,3000,01/9～,ISO:6,ISOタイプ,NGK9番相当,,6本,11294,,257839,50003-M45i-qq-e-073
ALFAROMEO,166,GF-936A1,,3000,99/9～01/8,ISO:6,ISOタイプ,NGK7番相当,,6本,11294,,251547,50003-M35i-qq-e-028
ALFAROMEO,166,GF-936A1,,3000,99/9～01/8,ISO:6,ISOタイプ,NGK8番相当,,6本,11294,,254012,50003-M40i-qq-e-050
ALFAROMEO,166,GF-936A1,,3000,99/9～01/8,ISO:6,ISOタイプ,NGK9番相当,,6本,11294,,251382,50003-M45i-qq-e-072
ALFAROMEO,166,GF-936A2,,2500,99/9～,ISO:6,ISOタイプ,NGK7番相当,,6本,11294,,249489,50003-M35i-qq-e-027
ALFAROMEO,166,GF-936A2,,2500,99/9～,ISO:6,ISOタイプ,NGK8番相当,,6本,11294,,254465,50003-M40i-qq-e-049
ALFAROMEO,166,GF-936A2,,2500,99/9～,ISO:6,ISOタイプ,NGK9番相当,,6本,11294,,255270,50003-M45i-qq-e-071
ALFAROMEO,BRERA,GH-93922S,939A5,2200,06/4～,ISO:5,ISOタイプ,NGK7番相当,,4本,7735,,255910,50003-M35i-qq-e-037
ALFAROMEO,BRERA,GH-93922S,939A5,2200,06/4～,ISO:5,ISOタイプ,NGK8番相当,,4本,7735,,254045,50003-M40i-qq-e-059
ALFAROMEO,BRERA,GH-93922S,939A5,2200,06/4～,ISO:5,ISOタイプ,NGK9番相当,,4本,7735,,254662,50003-M45i-qq-e-081
ALFAROMEO,GT,GH-93720L,937A1,2000,04/6～,ISO:6,ISOタイプ,NGK7番相当,,4本,7735,,252832,50003-M35i-qq-e-030
ALFAROMEO,GT,GH-93720L,937A1,2000,04/6～,ISO:6,ISOタイプ,NGK8番相当,,4本,7735,,254467,50003-M40i-qq-e-052
ALFAROMEO,GT,GH-93720L,937A1,2000,04/6～,ISO:6,ISOタイプ,NGK9番相当,,4本,7735,,256260,50003-M45i-qq-e-074
ALFAROMEO,GT,GH-93732L,936A,3200,04/6～,ISO:6,ISOタイプ,NGK7番相当,,6本,11294,,254842,50003-M35i-qq-e-031
ALFAROMEO,GT,GH-93732L,936A,3200,04/6～,ISO:6,ISOタイプ,NGK8番相当,,6本,11294,,257052,50003-M40i-qq-e-053
ALFAROMEO,GT,GH-93732L,936A,3200,04/6～,ISO:6,ISOタイプ,NGK9番相当,,6本,11294,,249426,50003-M45i-qq-e-075
ALFAROMEO,GTV,E/GF-916C1,,3000,97/6～01/8,ISO:6,ISOタイプ,NGK7番相当,,6本,11294,,254279,50003-M35i-qq-e-032
ALFAROMEO,GTV,E/GF-916C1,,3000,97/6～01/8,ISO:6,ISOタイプ,NGK8番相当,,6本,11294,,249719,50003-M40i-qq-e-054
ALFAROMEO,GTV,E/GF-916C1,,3000,97/6～01/8,ISO:6,ISOタイプ,NGK9番相当,,6本,11294,,252675,50003-M45i-qq-e-076
ALFAROMEO,GTV,GF/GH-916C1B,,3000,01/9～03/6,ISO:6,ISOタイプ,NGK7番相当,,6本,11294,,254283,50003-M35i-qq-e-033
ALFAROMEO,GTV,GF/GH-916C1B,,3000,01/9～03/6,ISO:6,ISOタイプ,NGK8番相当,,6本,11294,,249721,50003-M40i-qq-e-055
ALFAROMEO,GTV,GF/GH-916C1B,,3000,01/9～03/6,ISO:6,ISOタイプ,NGK9番相当,,6本,11294,,252676,50003-M45i-qq-e-077
ALFAROMEO,GTV,GH-916CXB,,3000,03/7～,ISO:6,ISOタイプ,NGK7番相当,,6本,11294,,256925,50003-M35i-qq-e-034
ALFAROMEO,GTV,GH-916CXB,,3000,03/7～,ISO:6,ISOタイプ,NGK8番相当,,6本,11294,,255028,50003-M40i-qq-e-056
ALFAROMEO,GTV,GH-916CXB,,3000,03/7～,ISO:6,ISOタイプ,NGK9番相当,,6本,11294,,249427,50003-M45i-qq-e-078
ALFAROMEO,SPIDER,E-115,,2000,90/9～,LONG:6,Gタイプ,NGK7番相当,,4本,7735,,256860,50003-M35G-qq-e-015
ALFAROMEO,SPIDER,E-115,,2000,90/9～,LONG:6,Gタイプ,NGK8番相当,,4本,7735,,254908,50003-M40G-qq-e-07
ALFAROMEO,SPIDER,E-115,,2000,90/9～,LONG:6,Gタイプ,NGK9番相当,,4本,7735,,254110,50003-M45G-qq-e-011
ALFAROMEO,SPIDER,GF/GH-916S1B,16105,3000,01/9～03/7,ISO:6,ISOタイプ,NGK7番相当,,6本,11294,,249502,50003-M35i-qq-e-035
ALFAROMEO,SPIDER,GF/GH-916S1B,16105,3000,01/9～03/7,ISO:6,ISOタイプ,NGK8番相当,,6本,11294,,257631,50003-M40i-qq-e-057
ALFAROMEO,SPIDER,GF/GH-916S1B,16105,3000,01/9～03/7,ISO:6,ISOタイプ,NGK9番相当,,6本,11294,,254246,50003-M45i-qq-e-079
ALFAROMEO,SPIDER,GH-916SXB,,3200,03/7～,ISO:6,ISOタイプ,NGK7番相当,,6本,11294,,255909,50003-M35i-qq-e-036
ALFAROMEO,SPIDER,GH-916SXB,,3200,03/7～,ISO:6,ISOタイプ,NGK8番相当,,6本,11294,,251149,50003-M40i-qq-e-058
ALFAROMEO,SPIDER,GH-916SXB,,3200,03/7～,ISO:6,ISOタイプ,NGK9番相当,,6本,11294,,250431,50003-M45i-qq-e-080
AUDI,A3,ABA-8PBSE(スポーツバック アトラクション),BSE,1600,07/8～,ISO:6,ISOタイプ,NGK7番相当,,4本,7735,,252095,50003-M35i-qq-e-084
AUDI,A3,ABA-8PBSE(スポーツバック アトラクション),BSE,1600,07/8～,ISO:6,ISOタイプ,NGK8番相当,,4本,7735,,250689,50003-M40i-qq-e-0200
AUDI,A3,ABA-8PBSE(スポーツバック アトラクション),BSE,1600,07/8～,ISO:6,ISOタイプ,NGK9番相当,,4本,7735,,257786,50003-M45i-qq-e-0316
AUDI,A3,ABA-8PBUBF(スポーツバック)3/2QUATTRO),BUB,3200,07/8～08/9,M12:7,Xタイプ,NGK8番相当,,6本,11294,,252483,50003-M40X-qq-e-0432
AUDI,A3,ABA-8PBWA(スポーツバック2/0TFSI),BWA(TURBO),2000,07/1～08/9,ISO:6,ISOタイプ,NGK7番相当,,4本,7735,,255501,50003-M35i-qq-e-091
AUDI,A3,ABA-8PBWA(スポーツバック2/0TFSI),BWA(TURBO),2000,07/1～08/9,ISO:6,ISOタイプ,NGK8番相当,,4本,7735,,255624,50003-M40i-qq-e-0207
AUDI,A3,ABA-8PBWA(スポーツバック2/0TFSI),BWA(TURBO),2000,07/1～08/9,ISO:6,ISOタイプ,NGK9番相当,,4本,7735,,254189,50003-M45i-qq-e-0323
AUDI,A3,GF/GH-8LAPG,APG,1800,01/4～04/9,ISO:6,ISOタイプ,NGK7番相当,,4本,7735,,252336,50003-M35i-qq-e-085
AUDI,A3,GF/GH-8LAPG,APG,1800,01/4～04/9,ISO:6,ISOタイプ,NGK8番相当,,4本,7735,,252989,50003-M40i-qq-e-0201
AUDI,A3,GF/GH-8LAPG,APG,1800,01/4～04/9,ISO:6,ISOタイプ,NGK9番相当,,4本,7735,,257787,50003-M45i-qq-e-0317
AUDI,A3,GF/GH-8LAUQ,AUQ(TURBO),1800,01/4～03/9,ISO:6,ISOタイプ,NGK7番相当,,4本,7735,,251600,50003-M35i-qq-e-088
AUDI,A3,GF/GH-8LAUQ,AUQ(TURBO),1800,01/4～03/9,ISO:6,ISOタイプ,NGK8番相当,,4本,7735,,250693,50003-M40i-qq-e-0204
AUDI,A3,GF/GH-8LAUQ,AUQ(TURBO),1800,01/4～03/9,ISO:6,ISOタイプ,NGK9番相当,,4本,7735,,255784,50003-M45i-qq-e-0320
AUDI,A3,GF-8LAGU,AGU(TURBO),1800,98/1～01/3,ISO:6,ISOタイプ,NGK7番相当,,4本,7735,,251088,50003-M35i-qq-e-086
AUDI,A3,GF-8LAGU,AGU(TURBO),1800,98/1～01/3,ISO:6,ISOタイプ,NGK8番相当,,4本,7735,,254978,50003-M40i-qq-e-0202
AUDI,A3,GF-8LAGU,AGU(TURBO),1800,98/1～01/3,ISO:6,ISOタイプ,NGK9番相当,,4本,7735,,257788,50003-M45i-qq-e-0318
AUDI,A3,GF-8LAQAF(QUATTRO),AQA(TURBO),1800,99/1～03/9,ISO:6,ISOタイプ,NGK7番相当,,4本,7735,,251599,50003-M35i-qq-e-087
AUDI,A3,GF-8LAQAF(QUATTRO),AQA(TURBO),1800,99/1～03/9,ISO:6,ISOタイプ,NGK8番相当,,4本,7735,,257566,50003-M40i-qq-e-0203
AUDI,A3,GF-8LAQAF(QUATTRO),AQA(TURBO),1800,99/1～03/9,ISO:6,ISOタイプ,NGK9番相当,,4本,7735,,257789,50003-M45i-qq-e-0319
AUDI,A3,GH-8PAXX(スポーツバック2/0TFSI),AXX(TURBO),2000,04/10～06/6,ISO:6,ISOタイプ,NGK7番相当,,4本,7735,,256479,50003-M35i-qq-e-089
AUDI,A3,GH-8PAXX(スポーツバック2/0TFSI),AXX(TURBO),2000,04/10～06/6,ISO:6,ISOタイプ,NGK8番相当,,4本,7735,,253957,50003-M40i-qq-e-0205
AUDI,A3,GH-8PAXX(スポーツバック2/0TFSI),AXX(TURBO),2000,04/10～06/6,ISO:6,ISOタイプ,NGK9番相当,,4本,7735,,251886,50003-M45i-qq-e-0321
AUDI,A3,GH-8PBGU(アトラクション),BGU,1600,04/2～05/7,ISO:6,ISOタイプ,NGK7番相当,,4本,7735,,252334,50003-M35i-qq-e-082
AUDI,A3,GH-8PBGU(アトラクション),BGU,1600,04/2～05/7,ISO:6,ISOタイプ,NGK8番相当,,4本,7735,,254968,50003-M40i-qq-e-0198
AUDI,A3,GH-8PBGU(アトラクション),BGU,1600,04/2～05/7,ISO:6,ISOタイプ,NGK9番相当,,4本,7735,,256793,50003-M45i-qq-e-0314
AUDI,A3,GH-8PBMJF(スポーツバック)3/2QUATTRO),BMJ,3200,04/10～06/6,M12:7,Xタイプ,NGK8番相当,,6本,11294,,251241,50003-M40X-qq-e-0430
AUDI,A3,GH-8PBSE(スポーツバック アトラクション),BSE,1600,05/7～,ISO:6,ISOタイプ,NGK7番相当,,4本,7735,,256978,50003-M35i-qq-e-083
AUDI,A3,GH-8PBSE(スポーツバック アトラクション),BSE,1600,05/7～,ISO:6,ISOタイプ,NGK8番相当,,4本,7735,,251716,50003-M40i-qq-e-0199
AUDI,A3,GH-8PBSE(スポーツバック アトラクション),BSE,1600,05/7～,ISO:6,ISOタイプ,NGK9番相当,,4本,7735,,257785,50003-M45i-qq-e-0315
AUDI,A3,GH-8PBUBF(スポーツバック)3/2QUATTRO),BUB,3200,06/7～07/8,M12:7,Xタイプ,NGK8番相当,,6本,11294,,253566,50003-M40X-qq-e-0431
AUDI,A3,GH-8PBWA(スポーツバック2/0TFSI),BWA(TURBO),2000,06/7～07/1,ISO:6,ISOタイプ,NGK7番相当,,4本,7735,,255500,50003-M35i-qq-e-090
AUDI,A3,GH-8PBWA(スポーツバック2/0TFSI),BWA(TURBO),2000,06/7～07/1,ISO:6,ISOタイプ,NGK8番相当,,4本,7735,,251721,50003-M40i-qq-e-0206
AUDI,A3,GH-8PBWA(スポーツバック2/0TFSI),BWA(TURBO),2000,06/7～07/1,ISO:6,ISOタイプ,NGK9番相当,,4本,7735,,250364,50003-M45i-qq-e-0322
AUDI,A4,ABA-8EALT,ALT,2000,07/10～08/3,ISO:5,ISOタイプ,NGK7番相当,,4本,7735,,253789,50003-M35i-qq-e-0103
AUDI,A4,ABA-8EALT,ALT,2000,07/10～08/3,ISO:5,ISOタイプ,NGK8番相当,,4本,7735,,252992,50003-M40i-qq-e-0219
AUDI,A4,ABA-8EALT,ALT,2000,07/10～08/3,ISO:5,ISOタイプ,NGK9番相当,,4本,7735,,249389,50003-M45i-qq-e-0335
AUDI,A4,ABA-8EBFB,BFB(TURBO),1800,07/10～08/3,ISO:6,ISOタイプ,NGK7番相当,,4本,7735,,252792,50003-M35i-qq-e-0100
AUDI,A4,ABA-8EBFB,BFB(TURBO),1800,07/10～08/3,ISO:6,ISOタイプ,NGK8番相当,,4本,7735,,250695,50003-M40i-qq-e-0216
AUDI,A4,ABA-8EBFB,BFB(TURBO),1800,07/10～08/3,ISO:6,ISOタイプ,NGK9番相当,,4本,7735,,253175,50003-M45i-qq-e-0332
AUDI,A4,ABA-8EBWEF(2/0TFSI QUATTRO),BWE(TURBO),2000,07/10～08/3,ISO:6,ISOタイプ,NGK7番相当,,4本,7735,,254808,50003-M35i-qq-e-0106
AUDI,A4,ABA-8EBWEF(2/0TFSI QUATTRO),BWE(TURBO),2000,07/10～08/3,ISO:6,ISOタイプ,NGK8番相当,,4本,7735,,256586,50003-M40i-qq-e-0222
AUDI,A4,ABA-8EBWEF(2/0TFSI QUATTRO),BWE(TURBO),2000,07/10～08/3,ISO:6,ISOタイプ,NGK9番相当,,4本,7735,,254192,50003-M45i-qq-e-0338
AUDI,A4,E-8DAAHF(2/8QUATTRO),AAH,2800,96/2～99/5,ISO:6,ISOタイプ,NGK7番相当,,6本,11294,,253794,50003-M35i-qq-e-0114
AUDI,A4,E-8DAAHF(2/8QUATTRO),AAH,2800,96/2～99/5,ISO:6,ISOタイプ,NGK8番相当,,6本,11294,,254980,50003-M40i-qq-e-0230
AUDI,A4,E-8DAAHF(2/8QUATTRO),AAH,2800,96/2～99/5,ISO:6,ISOタイプ,NGK9番相当,,6本,11294,,257799,50003-M45i-qq-e-0346
AUDI,A4,E-8DABC,ABC,2600,95/10～99/5,ISO:6,ISOタイプ,NGK7番相当,,6本,11294,,249999,50003-M35i-qq-e-0113
AUDI,A4,E-8DABC,ABC,2600,95/10～99/5,ISO:6,ISOタイプ,NGK8番相当,,6本,11294,,256587,50003-M40i-qq-e-0229
AUDI,A4,E-8DABC,ABC,2600,95/10～99/5,ISO:6,ISOタイプ,NGK9番相当,,6本,11294,,249397,50003-M45i-qq-e-0345
AUDI,A4,E-8DACKF(2/8QUATTRO),ACK,2800,96/10～99/5,ISO:6,ISOタイプ,NGK7番相当,,6本,11294,,252800,50003-M35i-qq-e-0115
AUDI,A4,E-8DACKF(2/8QUATTRO),ACK,2800,96/10～99/5,ISO:6,ISOタイプ,NGK8番相当,,6本,11294,,253960,50003-M40i-qq-e-0231
AUDI,A4,E-8DACKF(2/8QUATTRO),ACK,2800,96/10～99/5,ISO:6,ISOタイプ,NGK9番相当,,6本,11294,,254205,50003-M45i-qq-e-0347
AUDI,A4,E-8DADR,ADR,1800,95/10～99/6,ISO:6,ISOタイプ,NGK7番相当,,4本,7735,,256480,50003-M35i-qq-e-092
AUDI,A4,E-8DADR,ADR,1800,95/10～99/6,ISO:6,ISOタイプ,NGK8番相当,,4本,7735,,257567,50003-M40i-qq-e-0208
AUDI,A4,E-8DADR,ADR,1800,95/10～99/6,ISO:6,ISOタイプ,NGK9番相当,,4本,7735,,253173,50003-M45i-qq-e-0324
AUDI,A4,E-8DAEBF(1/8T QUATTRO),AEB(TURBO),1800,96/2～99/5,ISO:6,ISOタイプ,NGK7番相当,,4本,7735,,251602,50003-M35i-qq-e-095
AUDI,A4,E-8DAEBF(1/8T QUATTRO),AEB(TURBO),1800,96/2～99/5,ISO:6,ISOタイプ,NGK8番相当,,4本,7735,,252991,50003-M40i-qq-e-0211
AUDI,A4,E-8DAEBF(1/8T QUATTRO),AEB(TURBO),1800,96/2～99/5,ISO:6,ISOタイプ,NGK9番相当,,4本,7735,,256794,50003-M45i-qq-e-0327
AUDI,A4,E-8DAGA,AGA,2400,98/1～98/6,ISO:6,ISOタイプ,NGK7番相当,,6本,11294,,249998,50003-M35i-qq-e-0107
AUDI,A4,E-8DAGA,AGA,2400,98/1～98/6,ISO:6,ISOタイプ,NGK8番相当,,6本,11294,,250696,50003-M40i-qq-e-0223
AUDI,A4,E-8DAGA,AGA,2400,98/1～98/6,ISO:6,ISOタイプ,NGK9番相当,,6本,11294,,251891,50003-M45i-qq-e-0339
AUDI,A4,E-8DAGAF(2/4QUATTRO),AGA,2400,98/6～99/5,ISO:6,ISOタイプ,NGK7番相当,,6本,11294,,256390,50003-M35i-qq-e-0108
AUDI,A4,E-8DAGAF(2/4QUATTRO),AGA,2400,98/6～99/5,ISO:6,ISOタイプ,NGK8番相当,,6本,11294,,252993,50003-M40i-qq-e-0224
AUDI,A4,E-8DAGAF(2/4QUATTRO),AGA,2400,98/6～99/5,ISO:6,ISOタイプ,NGK9番相当,,6本,11294,,255791,50003-M45i-qq-e-0340
AUDI,A4,GF/GH-8EASNF(3/0QUATTRO),ASN,3000,01/6～05/1,ISO:6,ISOタイプ,NGK7番相当,,6本,11294,,251520,50003-M35i-qq-e-0116
AUDI,A4,GF/GH-8EASNF(3/0QUATTRO),ASN,3000,01/6～05/1,ISO:6,ISOタイプ,NGK8番相当,,6本,11294,,257569,50003-M40i-qq-e-0232
AUDI,A4,GF/GH-8EASNF(3/0QUATTRO),ASN,3000,01/6～05/1,ISO:6,ISOタイプ,NGK9番相当,,6本,11294,,254207,50003-M45i-qq-e-0348
AUDI,A4,GF/GH-8EBVD,BVD,2400,01/11～05/1,ISO:6,ISOタイプ,NGK7番相当,,6本,11294,,255411,50003-M35i-qq-e-0111
AUDI,A4,GF/GH-8EBVD,BVD,2400,01/11～05/1,ISO:6,ISOタイプ,NGK8番相当,,6本,11294,,250697,50003-M40i-qq-e-0227
AUDI,A4,GF/GH-8EBVD,BVD,2400,01/11～05/1,ISO:6,ISOタイプ,NGK9番相当,,6本,11294,,255230,50003-M45i-qq-e-0343
AUDI,A4,GF-8DADR,ADR,1800,99/6～99/9,ISO:6,ISOタイプ,NGK7番相当,,4本,7735,,249582,50003-M35i-qq-e-093
AUDI,A4,GF-8DADR,ADR,1800,99/6～99/9,ISO:6,ISOタイプ,NGK8番相当,,4本,7735,,256584,50003-M40i-qq-e-0209
AUDI,A4,GF-8DADR,ADR,1800,99/6～99/9,ISO:6,ISOタイプ,NGK9番相当,,4本,7735,,249388,50003-M45i-qq-e-0325
AUDI,A4,GF-8DAPS,APS,2400,99/6～01/10,ISO:6,ISOタイプ,NGK7番相当,,6本,11294,,255410,50003-M35i-qq-e-0109
AUDI,A4,GF-8DAPS,APS,2400,99/6～01/10,ISO:6,ISOタイプ,NGK8番相当,,6本,11294,,252994,50003-M40i-qq-e-0225
AUDI,A4,GF-8DAPS,APS,2400,99/6～01/10,ISO:6,ISOタイプ,NGK9番相当,,6本,11294,,251894,50003-M45i-qq-e-0341
AUDI,A4,GF-8DAPSF(2/4QUATTRO),APS,2400,99/6～01/5,ISO:6,ISOタイプ,NGK7番相当,,6本,11294,,251519,50003-M35i-qq-e-0110
AUDI,A4,GF-8DAPSF(2/4QUATTRO),APS,2400,99/6～01/5,ISO:6,ISOタイプ,NGK8番相当,,6本,11294,,253959,50003-M40i-qq-e-0226
AUDI,A4,GF-8DAPSF(2/4QUATTRO),APS,2400,99/6～01/5,ISO:6,ISOタイプ,NGK9番相当,,6本,11294,,257225,50003-M45i-qq-e-0342
AUDI,A4,GF-8DAPT,APT,1800,99/10～01/5,ISO:6,ISOタイプ,NGK7番相当,,4本,7735,,251601,50003-M35i-qq-e-094
AUDI,A4,GF-8DAPT,APT,1800,99/10～01/5,ISO:6,ISOタイプ,NGK8番相当,,4本,7735,,251722,50003-M40i-qq-e-0210
AUDI,A4,GF-8DAPT,APT,1800,99/10～01/5,ISO:6,ISOタイプ,NGK9番相当,,4本,7735,,255785,50003-M45i-qq-e-0326
AUDI,A4,GF-8DAPUF(1/8T QUATTRO),APU(TURBO),1800,99/6～01/10,ISO:6,ISOタイプ,NGK7番相当,,4本,7735,,254349,50003-M35i-qq-e-096
AUDI,A4,GF-8DAPUF(1/8T QUATTRO),APU(TURBO),1800,99/6～01/10,ISO:6,ISOタイプ,NGK8番相当,,4本,7735,,257568,50003-M40i-qq-e-0212
