トヨタ,サクシード,NCP58G,,Fr：ピロ調整式<br>Rr：アジャスタ,Fr：-40～-80mm<br>Rr：-10～-60mm,74832,,260233,T4T026-qq-e-f1-5k,T4T026-qq-e-d-5k,T4T026,JIC,TT-Four,ID62/H180-6K|ID62/H150-5K,単筒式<br>15段調整式<br>フロント・リア共に減衰力調整位置:上/15段<br>バネレート変更不可,,92000,1100,88600
トヨタ,ノア/ヴォクシー,AZR60G,,Fr：ゴムベアリング<br>Rr：アジャスタ,Fr：-10～-95mm<br>Rr：-55～-100mm,74832,,260239,T4T030-qq-e-f1-11k,T4T030-qq-e-d-11k,T4T030,JIC,TT-Four,ID62/H200-6K|専用5.5K,単筒式<br>15段調整式<br>フロント・リア共に減衰力調整位置:上/15段<br>バネレート変更不可,,92000,1100,88600
トヨタ,ノア/ヴォクシー,ZRR70G/ZRR70W,,Fr：ゴムベアリング<br>Rr：アジャスタ,Fr：-30～-65mm<br>Rr：-35～-65mm,74832,,260240,T4T032-qq-e-f1-12k,T4T032-qq-e-d-12k,T4T032,JIC,TT-Four,ID62/H200-6K|専用5.5K,単筒式<br>15段調整式<br>フロント・リア共に減衰力調整位置:上/15段<br>バネレート変更不可,,92000,1100,88600
トヨタ,ノア/ヴォクシー,ZRR80W/ZWR80G,,Fr：ゴムベアリング<br>Rr：アジャスタ,Fr：-10～-100mm<br>Rr：-35～-75mm,74832,,260241,T4T036-qq-e-f1-13k,T4T036-qq-e-d-13k,T4T036,JIC,TT-Four,ID62/H200-6K|専用6K,単筒式<br>15段調整式<br>フロント・リア共に減衰力調整位置:上/15段<br>バネレート変更不可,,92000,1100,88600
トヨタ,プリウス,ZVW30,,Fr：ゴムベアリング<br>Rr：アジャスタ,Fr：-10～-60mm<br>Rr：-20～-60mm,74832,,260242,T4T028-qq-e-f1-14k,T4T028-qq-e-d-14k,T4T028,JIC,TT-Four,ID62/H180-6K|専用6K,単筒式<br>15段調整式<br>フロント・リア共に減衰力調整位置:上/15段<br>バネレート変更不可,,92000,1100,88600
トヨタ,プリウス,ZVW50/ZVW51/ZVW55,,Fr：スラストベアリング<br>Rr：アジャスタ,Fr：-5～-45mm<br>Rr：±0～-45mm,74832,,260243,T4T038-qq-e-f1-15k,T4T038-qq-e-d-15k,T4T038,JIC,TT-Four,ID62/H180-6K|専用7K,単筒式<br>15段調整式<br>フロント・リア共に減衰力調整位置:上/15段<br>バネレート変更不可,,92000,1100,88600
トヨタ,マークX,GRX120/GRX121,,Fr：ゴムリジット<br>Rr：ゴムリジット,Fr：-20～-100mm<br>Rr：-20～-100mm,74832,,260244,T4T007-qq-e-f1-16k,T4T007-qq-e-d-16k,T4T007,JIC,TT-Four,ID62/H200-14K|ID62/H240-10K,単筒式<br>15段調整式<br>フロント・リア共に減衰力調整位置:上/15段<br>バネレート変更不可,,92000,1100,88600
トヨタ,マークX,GRX130/GRX133,,Fr：ゴムリジット<br>Rr：ゴムリジット,Fr：-10～-90mm<br>Rr：-10～-80mm,74832,,260245,T4T007-qq-e-f1-17k,T4T007-qq-e-d-17k,T4T007,JIC,TT-Four,ID62/H200-14K|ID62/H240-10K,単筒式<br>15段調整式<br>フロント・リア共に減衰力調整位置:上/15段<br>バネレート変更不可,,92000,1100,88600
日産,エルグランド,E51,,Fr：ゴムベアリング<br>Rr：アジャスタ,Fr：-5～-75mm<br>Rr：-5～-90mm,74832,,260251,T4N008-qq-e-f1-23k,T4N008-qq-e-d-23k,T4N008,JIC,TT-Four,ID62/H200-10K|専用10K,単筒式<br>15段調整式<br>フロント・リア共に減衰力調整位置:上/15段<br>バネレート変更不可,,92000,1100,88600
日産,エルグランド,E52,,Fr：ゴムベアリング<br>Rr：アジャスタ,Fr：-15～-60mm<br>Rr：-10～-65mm,74832,,260252,T4N011-qq-e-f1-24k,T4N011-qq-e-d-24k,T4N011,JIC,TT-Four,ID62/H200-10K|専用8.5K,単筒式<br>15段調整式<br>フロント・リア共に減衰力調整位置:上/15段<br>バネレート変更不可,,92000,1100,88600
日産,スカイライン,V36,CKV36共通,Fr：ゴムリジット<br>Rr：ゴムリジット,Fr：-20～-65mm<br>Rr：-30～-65mm,74832,,260253,T4N015-qq-e-f1-25k,T4N015-qq-e-d-25k,T4N015,JIC,TT-Four,ID62/H180-14K|専用9.0K,単筒式<br>15段調整式<br>フロント・リア共に減衰力調整位置:上/15段<br>バネレート変更不可,,92000,1100,88600
ホンダ,エリシオン,RR1/RR3,,Fr：ゴムリジット<br>Rr：アジャスタ,Fr：-10～-90mm<br>Rr：-40～-90mm,74832,,260256,T4H016-qq-e-f1-28k,T4H016-qq-e-d-28k,T4H016,JIC,TT-Four,ID62/H200-12K|専用10K,単筒式<br>15段調整式<br>フロント・リア共に減衰力調整位置:上/15段<br>バネレート変更不可,,92000,1100,88600
ホンダ,オデッセイ,RB1/RB3,,Fr：ゴムリジット<br>Rr：ゴムリジット,Fr：-10～-90mm<br>Rr：-35～-80mm,74832,,260254,T4H006-qq-e-f1-26k,T4H006-qq-e-d-26k,T4H006,JIC,TT-Four,ID62/H200-12K|ID65/H150-14K,単筒式<br>15段調整式<br>フロント・リア共に減衰力調整位置:上/15段<br>バネレート変更不可,,92000,1100,88600
ホンダ,オデッセイ/オデッセイハイブリッド,RC1/RC4,4WD未確認<br>ハイブリッド共通,Fr：ゴムリジット<br>Rr：アジャスタ,Fr：-15～-70mm<br>Rr：-10～-65mm,74832,,260255,T4H022-qq-e-f1-27k,T4H022-qq-e-d-27k,T4H022,JIC,TT-Four,ID62/H200-8K|専用7K,単筒式<br>15段調整式<br>フロント・リア共に減衰力調整位置:上/15段<br>バネレート変更不可,,92000,1100,88600
ホンダ,ステップワゴン,RF3,,Fr：ゴムベアリング<br>Rr：アジャスタ,Fr：-5～-100mm<br>Rr：-5～-80mm,74832,,260257,T4H017-qq-e-f1-29k,T4H017-qq-e-d-29k,T4H017,JIC,TT-Four,ID62/H180-6K|専用7.5K,単筒式<br>15段調整式<br>フロント・リア共に減衰力調整位置:上/15段<br>バネレート変更不可,,92000,1100,88600
ホンダ,ステップワゴン,RG1,,Fr：ゴムベアリング<br>Rr：アジャスタ,Fr：-5～-100mm<br>Rr：-40～-80mm,74832,,260258,T4H009-qq-e-f1-30k,T4H009-qq-e-d-30k,T4H009,JIC,TT-Four,ID62/H180-8K|専用5K,単筒式<br>15段調整式<br>フロント・リア共に減衰力調整位置:上/15段<br>バネレート変更不可,,92000,1100,88600
ホンダ,ステップワゴン,RK1/RK5,,Fr：ゴムベアリング<br>Rr：アジャスタ,Fr：-20～-70mm<br>Rr：-20～-60mm,74832,,260259,T4H012-qq-e-f1-31k,T4H012-qq-e-d-31k,T4H012,JIC,TT-Four,ID62/H180-8K|専用5K,単筒式<br>15段調整式<br>フロント・リア共に減衰力調整位置:上/15段<br>バネレート変更不可,,92000,1100,88600
ホンダ,フィット,GE6/GE8,,Fr：ノーマル使用<br>Rr：アジャスタ,Fr：-20～-65mm<br>Rr：-30～-70mm,74832,,260260,T4H002-qq-e-f1-32k,T4H002-qq-e-d-32k,T4H002,JIC,TT-Four,ID62/H200-5K|専用2.5K,単筒式<br>15段調整式<br>フロント・リア共に減衰力調整位置:上/15段<br>バネレート変更不可,,92000,1100,88600
ホンダ,フィット,GK3/GK5,,Fr：ノーマル使用<br>Rr：アジャスタ,Fr：-20～-65mm<br>Rr：-10～-60mm,74832,,260261,T4H021-qq-e-f1-33k,T4H021-qq-e-d-33k,T4H021,JIC,TT-Four,ID62/H180-6K|専用2.5K,単筒式<br>15段調整式<br>フロント・リア共に減衰力調整位置:上/15段<br>バネレート変更不可,,92000,1100,88600
レクサス,GS350,GRL10,,Fr：ゴムリジット<br>Rr：ゴムリジット,Fr：-10～-90mm<br>Rr：-30～-80mm,74832,,260248,T4L004-qq-e-f1-20k,T4L004-qq-e-d-20k,T4L004,JIC,TT-Four,ID62/H180-14K|ID65/H200-14K,単筒式<br>15段調整式<br>フロント・リア共に減衰力調整位置:上/15段<br>バネレート変更不可,,92000,1100,88600
レクサス,GS350,GRS191,,Fr：ゴムリジット<br>Rr：ゴムリジット,Fr：-20～-100mm<br>Rr：-15～-95mm,74832,,260247,T4T007-qq-e-f1-19k,T4T007-qq-e-d-19k,T4T007,JIC,TT-Four,ID62/H200-14K|ID62/H240-10K,単筒式<br>15段調整式<br>フロント・リア共に減衰力調整位置:上/15段<br>バネレート変更不可,,92000,1100,88600
レクサス,IS250/IS250C,GSE20,,Fr：ゴムリジット<br>Rr：ゴムリジット,Fr：-20～-100mm<br>Rr：-15～-95mm,74832,,260249,T4T007-qq-e-f1-21k,T4T007-qq-e-d-21k,T4T007,JIC,TT-Four,ID62/H200-14K|ID62/H240-10K,単筒式<br>15段調整式<br>フロント・リア共に減衰力調整位置:上/15段<br>バネレート変更不可,,92000,1100,88600
レクサス,IS350h,AVE30,,Fr：ゴムリジット<br>Rr：ゴムリジット,Fr：-10～-90mm<br>Rr：-20～-70mm,74832,,260250,T4L005-qq-e-f1-22k,T4L005-qq-e-d-22k,T4L005,JIC,TT-Four,ID62/H200-14K|ID65/H180-14K,単筒式<br>15段調整式<br>フロント・リア共に減衰力調整位置:上/15段<br>バネレート変更不可,,92000,1100,88600
レクサス,LS460,USF40,4WD・エアサス不可,Fr：ゴムリジット<br>Rr：ゴムリジット,Fr：-20～-100mm<br>Rr：-15～-95mm,74832,,260246,T4L003-qq-e-f1-18k,T4L003-qq-e-d-18k,T4L003,JIC,TT-Four,ID62/H200-16K|ID62/H240-10K,単筒式<br>15段調整式<br>フロント・リア共に減衰力調整位置:上/15段<br>バネレート変更不可,,92000,1100,113600
