自動車メーカー,車種,型式,年式,適合詳細,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,マウント(F/R),バネ(F/R),ダウン量,仕様,備考,注意事項,定価,送料,SET価格
AUDI,TT クワトロ,ABA-8JCCZF/ABA-8JCESF/ABA-8JBUBF,06～15,4WD<br>フロントストラット外径:55mm,125865,,246985,TS-AU41-qq-e-f1-868,出さない,TS-AU41,XYZ,TSタイプ車高調,調整式ピロアッパー/純正アッパー,10.5K/8K,,フルタップ式車高調<br>減衰力30段,現車確認必要,,158000,2000,出さない
BMW,1シリーズ E81,,04～11,4気筒,125865,,247829,TS-BM54-qq-e-f1-869,TS-BM54-qq-e-d-869,TS-BM54,XYZ,TSタイプ車高調,調整式ピロアッパー/純正アッパー,9K/14K,,フルタップ式車高調<br>減衰力30段,,,158000,2000,165000
BMW,1シリーズ E81,,04～11,6気筒,125865,,247604,TS-BM55-qq-e-f1-870,TS-BM55-qq-e-d-870,TS-BM55,XYZ,TSタイプ車高調,調整式ピロアッパー/純正アッパー,10.5K/12K,,フルタップ式車高調<br>減衰力30段,,,158000,2000,165000
BMW,1シリーズ E82,ABA-UC30/ABA-UC35,08～12,6気筒<br>適合グレード:135i,125865,,247295,TS-BM57-qq-e-f1-872,出さない,TS-BM57,XYZ,TSタイプ車高調,調整式ピロアッパー/純正アッパー,10.5K/14K,,フルタップ式車高調<br>減衰力30段,,,158000,2000,出さない
BMW,1シリーズ E82,LBA-UC20,08～12,4気筒<br>適合グレード:120i,125865,,247294,TS-BM56-qq-e-f1-871,出さない,TS-BM56,XYZ,TSタイプ車高調,調整式ピロアッパー/純正アッパー,9K/14K,,フルタップ式車高調<br>減衰力30段,,,158000,2000,出さない
BMW,1シリーズ E87,ABA-UE16/LBA-UE16/GH-UE16/ABA-UF16/LBA-UF16/GH-UF16/ABA-UF18/LBA-UF18/GH-UF18/ABA-UF20/LBA-UF20/GH-UF20,04～11,4気筒<br>適合グレード:116i/118i/120i,125865,,246412,TS-BM58-qq-e-f1-873,TS-BM58-qq-e-d-873,TS-BM58,XYZ,TSタイプ車高調,調整式ピロアッパー/純正アッパー,9K/14K,,フルタップ式車高調<br>減衰力30段,,,158000,2000,165000
BMW,1シリーズ E87,ABA-UF30,04～11,6気筒<br>適合グレード:130i,125865,,246413,TS-BM59-qq-e-f1-874,TS-BM59-qq-e-d-874,TS-BM59,XYZ,TSタイプ車高調,調整式ピロアッパー/純正アッパー,10.5K/14K,,フルタップ式車高調<br>減衰力30段,,,158000,2000,165000
BMW,1シリーズ E88,ABA-UL20/LBA-UL20/ABA-UM20/LBA-UM20,08～12,4気筒<br>適合グレード:120iカブリオレ,125865,,246993,TS-BM60-qq-e-f1-875,出さない,TS-BM60,XYZ,TSタイプ車高調,調整式ピロアッパー/純正アッパー,9K/14K,,フルタップ式車高調<br>減衰力30段,,,158000,2000,出さない
BMW,1シリーズ E88,,08～12,6気筒,125865,,247830,TS-BM61-qq-e-f1-876,出さない,TS-BM61,XYZ,TSタイプ車高調,調整式ピロアッパー/純正アッパー,10.5K/14K,,フルタップ式車高調<br>減衰力30段,,,158000,2000,出さない
BMW,1シリーズ F20,DBA-1A16/DBA-1R15,11～UP,電子制御ショック非対応,133621,,246995,TS-BM75-5-qq-e-f1-877,出さない,TS-BM75-5,XYZ,TSタイプ車高調,調整式ピロアッパー/純正アッパー,10.5K/14K,,フルタップ式車高調<br>減衰力30段,,,168000,2000,出さない
BMW,3シリーズ E36,E-CA18/E-BE18/E-BE19,91～99,4気筒<br>適合グレード:318i/318isクーペ,133621,,247599,TS-BM14-qq-e-f1-878,TS-BM14-qq-e-d-878,TS-BM14,XYZ,TSタイプ車高調,調整式ピロアッパー/固定式ピロアッパー,8.7K/12.5K,,フルタップ式車高調<br>減衰力30段,,,168000,2000,173100
BMW,3シリーズ E36,E-CB20/E-BF20/E-CB25/E-CD28,91～99,6気筒<br>適合グレード:320i/323i/325i/328i,133621,,247287,TS-BM16-qq-e-f1-879,TS-BM16-qq-e-d-879,TS-BM16,XYZ,TSタイプ車高調,調整式ピロアッパー/固定式ピロアッパー,9.8K/12.5K,,フルタップ式車高調<br>減衰力30段,,,168000,2000,173100
BMW,3シリーズ E46,GF-AL19/GH-AL19/GF-AY20/GH-AY20,98～06,4気筒<br>適合グレード:318iセダン/318ciクーペ,125865,,247600,TS-BM25-qq-e-f1-880,TS-BM25-qq-e-d-880,TS-BM25,XYZ,TSタイプ車高調,調整式ピロアッパー/固定式ピロアッパー,9K/12.5K,,フルタップ式車高調<br>減衰力30段,,,158000,2000,165000
BMW,3シリーズ E46,GF-AM20/GF-AV22/GF-AM25/GF-AV25/GF-AM28/GF-AV30/GH-AM20/GH-AV22/GH-AM25/GH-AV25/GH-AM28/GH-AV30,98～06,6気筒<br>適合グレード:320i/323i/325i/328i/330i(セダン)328ci/330ci(クーペ),125865,,246408,TS-BM27-qq-e-f1-881,TS-BM27-qq-e-d-881,TS-BM27,XYZ,TSタイプ車高調,調整式ピロアッパー/固定式ピロアッパー,10.5K/12.5K,,フルタップ式車高調<br>減衰力30段,,,158000,2000,165000
BMW,3シリーズ E46,GH-AV30,98～06,4WD 6気筒<br>適合グレード:330xi,125865,,247601,TS-BM33-qq-e-f1-882,TS-BM33-qq-e-d-882,TS-BM33,XYZ,TSタイプ車高調,調整式ピロアッパー/固定式ピロアッパー,10.5K/12.5K,,フルタップ式車高調<br>減衰力30段,,,158000,2000,165000
BMW,3シリーズ E90,ABA-VA20/LBA-VA20/ABA-PG20/LBA-PG20/ABA-PG20G/LBA-PG20G,05～12,4気筒<br>適合グレード:320i,125865,,246414,TS-BM62-qq-e-f1-883,TS-BM62-qq-e-d-883,TS-BM62,XYZ,TSタイプ車高調,調整式ピロアッパー/純正アッパー,9K/14K,,フルタップ式車高調<br>減衰力30段,,,158000,2000,165000
BMW,3シリーズ E90,ABA-VB23/LBA-VB23/ABA-VB25/LBA-VB25/ABA-PH25/LBA-PH25/ABA-VB30/LBA-VB30,05～12,6気筒<br>335i未確認,125865,,246416,TS-BM63-qq-e-f1-884,TS-BM63-qq-e-d-884,TS-BM63,XYZ,TSタイプ車高調,調整式ピロアッパー/純正アッパー,10.5K/14K,,フルタップ式車高調<br>減衰力30段,,,158000,2000,165000
BMW,3シリーズ E91 ツーリングワゴン,ABA-VR20/LBA-VR20/ABA-US20/LBA-US20,05～11,4気筒<br>適合グレード:320i,125865,,246724,TS-BM64-qq-e-f1-885,出さない,TS-BM64,XYZ,TSタイプ車高調,調整式ピロアッパー/純正アッパー,9K/14K,,フルタップ式車高調<br>減衰力30段,,,158000,2000,出さない
BMW,3シリーズ E91 ツーリングワゴン,LBA-UT25,05～11,6気筒<br>適合グレード:325i<br>335i未確認,125865,,247296,TS-BM65-qq-e-f1-886,出さない,TS-BM65,XYZ,TSタイプ車高調,調整式ピロアッパー/純正アッパー,10.5K/14K,,フルタップ式車高調<br>減衰力30段,,,158000,2000,出さない
BMW,3シリーズ E92 クーペ,ABA-KE25/LBA-KE25/ABA-KG35/LBA-KG35,06～12,6気筒,125865,,247605,TS-BM67-qq-e-f1-888,TS-BM67-qq-e-d-888,TS-BM67,XYZ,TSタイプ車高調,調整式ピロアッパー/純正アッパー,10.5K/14K,,フルタップ式車高調<br>減衰力30段,,,158000,2000,165000
BMW,3シリーズ E92 クーペ,ABA-WA20/LBA-WA20/ABA-KD20/LBA-KD20/ABA-KD20G/LBA-KD20G,06～12,4気筒,125865,,247297,TS-BM66-qq-e-f1-887,TS-BM66-qq-e-d-887,TS-BM66,XYZ,TSタイプ車高調,調整式ピロアッパー/純正アッパー,9K/14K,,フルタップ式車高調<br>減衰力30段,,,158000,2000,165000
BMW,3シリーズ E93 カブリオレ,ABA-DX35/ABA-WL35,06～11,6気筒<br>適合グレード:335i,125865,,247606,TS-BM69-qq-e-f1-889,TS-BM69-qq-e-d-889,TS-BM69,XYZ,TSタイプ車高調,調整式ピロアッパー/純正アッパー,10.5K/14K,,フルタップ式車高調<br>減衰力30段,,,158000,2000,170000
BMW,3シリーズ F30,LDA-3A20/LDA-3B20/LDA-3D20/LDA-3X20/LDA-3X28/LDA-3X30/LDA-8A20/LDA-8A30/DBA-3A20/DBA-3B20/DBA-3D20/DBA-3X20/DBA-3X28/DBA-3X30/DBA-8A20/DBA-8A30/DAA-3A20/DAA-3B20/DAA-3D20/DAA-3X20/DAA-3X28/DAA-3X30/DAA-8A20/DAA-8A30,12～UP,ツーリング不可<br>電子制御ショック非対応,133621,,246417,TS-BM75-1-qq-e-f1-890,出さない,TS-BM75-1,XYZ,TSタイプ車高調,調整式ピロアッパー/純正アッパー,10.5K/14K,,フルタップ式車高調<br>減衰力30段,,,168000,2000,出さない
BMW,3シリーズ F31 ツーリングワゴン,DBA-3A20/DBA-3B20,12～UP,4WD不可<br>電子制御ショック非対応,133621,,247298,TS-BM75-7-qq-e-f1-252k,出さない,TS-BM75-7,XYZ,TSタイプ車高調,調整式ピロアッパー/純正アッパー,10.5K/16K,,フルタップ式車高調<br>減衰力30段,,,168000,2000,出さない
BMW,3シリーズ F34,DBA-3X20/DBA-3X28/DBA-3X30,13～UP,電子制御ショック非対応,133621,,246418,TS-BM75-10-qq-e-f1-891,出さない,TS-BM75-10,XYZ,TSタイプ車高調,調整式ピロアッパー/純正アッパー,10.5K/14K,,フルタップ式車高調<br>減衰力30段,,,168000,2000,出さない
BMW,4シリーズ F32 クーペ,DBA-3N28/DBA-3R30,13～UP,電子制御ショック非対応,133621,,246420,TS-BM75-8-qq-e-f1-892,出さない,TS-BM75-8,XYZ,TSタイプ車高調,調整式ピロアッパー/純正アッパー,10.5K/14K,,フルタップ式車高調<br>減衰力30段,,,168000,2000,出さない
BMW,4シリーズ F33 カブリオレ,DBA-3R30,13～UP,電子制御ショック非対応,133621,,246725,TS-BM75-9-qq-e-f1-253k,TS-BM75-9-qq-e-d-253k,TS-BM75-9,XYZ,TSタイプ車高調,調整式ピロアッパー/純正アッパー,10.5K/16K,,フルタップ式車高調<br>減衰力30段,,,168000,2000,173100
BMW,5シリーズ E34,E-H25/E-H35/E-HB20/E-HD26,88～96,6気筒<br>適合グレード:520i/525i/535i<br>ストラット外径:51mm,133621,,247286,TS-BM10-qq-e-f1-893,出さない,TS-BM10,XYZ,TSタイプ車高調,調整式ピロアッパー/固定式ピロアッパー,12K/8.7K,,フルタップ式車高調<br>減衰力30段,フロント要溶接,,168000,2000,出さない
BMW,5シリーズ E34,E-H25/E-H35/E-HB20/E-HD26,88～96,6気筒<br>適合グレード:520i/525i/535i<br>ストラット外径:55mm,133621,,246986,TS-BM12-qq-e-f1-894,出さない,TS-BM12,XYZ,TSタイプ車高調,調整式ピロアッパー/固定式ピロアッパー,12K/8.7K,,フルタップ式車高調<br>減衰力30段,フロント要溶接,,168000,2000,出さない
BMW,5シリーズ E34,E-HE30/E-HE40,88～96,8気筒<br>適合グレード:530i/540i<br>ストラット外径:51mm,133621,,246721,TS-BM11-qq-e-f1-895,出さない,TS-BM11,XYZ,TSタイプ車高調,調整式ピロアッパー/固定式ピロアッパー,14K/8.7K,,フルタップ式車高調<br>減衰力30段,フロント要溶接,,168000,2000,出さない
BMW,5シリーズ E34,E-HE30/E-HE40,88～96,8気筒<br>適合グレード:530i/540i<br>ストラット外径:55mm,133621,,246722,TS-BM13-qq-e-f1-896,出さない,TS-BM13,XYZ,TSタイプ車高調,調整式ピロアッパー/固定式ピロアッパー,14K/8.7K,,フルタップ式車高調<br>減衰力30段,フロント要溶接,,168000,2000,出さない
BMW,5シリーズ E39,E-DE44/GF-DE44/GH-DE44/E-DN44/GF-DN44/GH-DN44,96～04,8気筒<br>適合グレード:540i,133621,,247290,TS-BM23-qq-e-f1-898,TS-BM23-qq-e-d-898,TS-BM23,XYZ,TSタイプ車高調,調整式ピロアッパー/固定式ピロアッパー,12K/8.7K,,フルタップ式車高調<br>減衰力30段,,,168000,2000,173100
BMW,5シリーズ E39,E-DM25/E-DT25/E-DD25/E-DT30/E-DM28/E-DD28/GF-DM25/GF-DT25/GF-DD25/GF-DT30/GF-DM28/GF-DD28/GH-DM25/GH-DT25/GH-DD25/GH-DT30/GH-DM28/GH-DD28,96～04,6気筒<br>適合グレード:525i/528i/530i,133621,,246987,TS-BM22-qq-e-f1-897,TS-BM22-qq-e-d-897,TS-BM22,XYZ,TSタイプ車高調,調整式ピロアッパー/固定式ピロアッパー,10K/8.7K,,フルタップ式車高調<br>減衰力30段,,,168000,2000,173100
BMW,5シリーズ E60,ABA-NA25/ABA-NE25/ABA-NU25/ABA-DT25/ABA-NA30/ABA-NE30/ABA-NU30/GH-NA25/GH-NE25/GH-NU25/GH-DT25/GH-NA30/GH-NE30/GH-NU30,03～10,6気筒<br>適合グレード:525i/530i<br>レベライザー付車不可<br>電子制御ショック非対応,125865,,247291,TS-BM40-qq-e-f1-899,TS-BM40-qq-e-d-899,TS-BM40,XYZ,TSタイプ車高調,固定式ピロアッパー/固定式ピロアッパー,9.8K/9.8K,,フルタップ式車高調<br>減衰力30段,,,158000,2000,165000
BMW,5シリーズ E60,ABA-NB40/ABA-NW40/ABA-NB48/ABA-NW48/ABA-NB44/GH-NB40/GH-NW40/GH-NB48/GH-NW48/GH-NB44,03～10,8気筒<br>適合グレード:540i/545i/550i<br>レベライザー付車不可<br>電子制御ショック非対応,125865,,246989,TS-BM41-qq-e-f1-900,出さない,TS-BM41,XYZ,TSタイプ車高調,固定式ピロアッパー/固定式ピロアッパー,12K/9.8K,,フルタップ式車高調<br>減衰力30段,,,158000,2000,出さない
BMW,5シリーズ F10,DBA-FW20/DBA-FP25/DBA-FR30/DBA-FR35/DBA-XG20/DBA-XG28/CBA-FW20/CBA-FP25/CBA-FR30/CBA-FR35/CBA-XG20/CBA-XG28,10～17,4気筒/6気筒<br>適合グレード:523d/523i/528i/535i<br>ツーリング不可<br>レベライザー付車不可<br>電子制御ショック非対応,125865,,246421,TS-BM75-qq-e-f1-901,TS-BM75-qq-e-d-901,TS-BM75,XYZ,TSタイプ車高調,固定式ピロアッパー/固定式ピロアッパー,14K/7.5K,,フルタップ式車高調<br>減衰力30段,,,158000,2000,165000
BMW,5シリーズ G30,,17～UP,4気筒/6気筒<br>電子制御ショック非対応,156888,,246422,TS-BM78-qq-e-f1-254k,出さない,TS-BM78,XYZ,TSタイプ車高調,固定式ピロアッパー/スチールリジット,14K/7.5K,,フルタップ式車高調<br>減衰力30段,,,198000,2000,出さない
BMW,6シリーズ E63,ABA-EH30/GH-EH30,03～11,6気筒<br>適合グレード:630i<br>レベライザー付車不可<br>電子制御ショック非対応,125865,,246990,TS-BM43-qq-e-f1-902,出さない,TS-BM43,XYZ,TSタイプ車高調,固定式ピロアッパー/固定式ピロアッパー,12K/9.8K,,フルタップ式車高調<br>減衰力30段,,,158000,2000,出さない
BMW,6シリーズ E63,ABA-EH44/GH-EH44/ABA-EH48/GH-EH48,03～11,8気筒<br>適合グレード:645Ci/650i<br>レベライザー付車不可<br>電子制御ショック非対応,125865,,246409,TS-BM44-qq-e-f1-903,出さない,TS-BM44,XYZ,TSタイプ車高調,固定式ピロアッパー/固定式ピロアッパー,12K/9.8K,,フルタップ式車高調<br>減衰力30段,,,158000,2000,出さない
BMW,6シリーズ E64 カブリオレ,ABA-EK44/GH-EK44/ABA-EK48/GH-EK48,03～11,8気筒<br>適合グレード:645Ci/650i<br>レベライザー付車不可<br>電子制御ショック非対応,125865,,247602,TS-BM46-qq-e-f1-905,出さない,TS-BM46,XYZ,TSタイプ車高調,固定式ピロアッパー/固定式ピロアッパー,12K/9.8K,,フルタップ式車高調<br>減衰力30段,,,158000,2000,出さない
BMW,6シリーズ E64 カブリオレ,,03～11,6気筒<br>適合グレード:630i<br>レベライザー付車不可<br>電子制御ショック非対応,125865,,247293,TS-BM45-qq-e-f1-904,出さない,TS-BM45,XYZ,TSタイプ車高調,固定式ピロアッパー/固定式ピロアッパー,12K/9.8K,,フルタップ式車高調<br>減衰力30段,,,158000,2000,出さない
BMW,7シリーズ E38,,94～02,6気筒<br>適合グレード:728i/728iL<br>レベライザー付車不可<br>エアサス車不可<br>電子制御ショック非対応,156888,,246406,TS-BM21-1-qq-e-f1-241k,出さない,TS-BM21-1,XYZ,TSタイプ車高調,調整式ピロアッパー/固定式ピロアッパー,14K/10K,,フルタップ式車高調<br>減衰力30段,,,198000,2000,出さない
BMW,7シリーズ E38,,94～02,8気筒<br>適合グレード:735i/740iL<br>レベライザー付車不可<br>エアサス車不可<br>電子制御ショック非対応,156888,,247289,TS-BM21-2-qq-e-f1-242k,出さない,TS-BM21-2,XYZ,TSタイプ車高調,調整式ピロアッパー/固定式ピロアッパー,16K/10K,,フルタップ式車高調<br>減衰力30段,,,198000,2000,出さない
BMW,7シリーズ E65,ABA-HL40/GH-HL40/ABA-HL48/GH-HL48/ABA-GL36/GH-GL36/ABA-GL44/GH-GL44,01～09,8気筒<br>適合グレード:735i/740i/745i/750i<br>レベライザー付車不可<br>電子制御ショック非対応,149132,,246723,TS-BM49-qq-e-f1-244k,出さない,TS-BM49,XYZ,TSタイプ車高調,調整式ピロアッパー/固定式ピロアッパー,14K/12K,,フルタップ式車高調<br>減衰力30段,,,188000,2000,出さない
BMW,7シリーズ E65,,01～09,12気筒<br>レベライザー付車不可<br>電子制御ショック非対応,149132,,246411,TS-BM50-qq-e-f1-245k,出さない,TS-BM50,XYZ,TSタイプ車高調,調整式ピロアッパー/固定式ピロアッパー,16K/14K,,フルタップ式車高調<br>減衰力30段,,,188000,2000,出さない
BMW,7シリーズ E65,,01～09,6気筒<br>レベライザー付車不可<br>電子制御ショック非対応,149132,,247828,TS-BM48-qq-e-f1-243k,出さない,TS-BM48,XYZ,TSタイプ車高調,調整式ピロアッパー/固定式ピロアッパー,14K/12K,,フルタップ式車高調<br>減衰力30段,,,188000,2000,出さない
BMW,7シリーズ E66,ABA-GN60/GH-GN60,01～09,12気筒<br>適合グレード:760Li<br>レベライザー付車不可<br>電子制御ショック非対応,149132,,246992,TS-BM53-qq-e-f1-248k,出さない,TS-BM53,XYZ,TSタイプ車高調,調整式ピロアッパー/固定式ピロアッパー,16K/14K,,フルタップ式車高調<br>減衰力30段,,,188000,2000,出さない
