自動車メーカー,車種,型式,年式,適合詳細,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,マウント(F/R),バネ(F/R),ダウン量,仕様,備考,注意事項,定価,送料,SET価格
AUDI,A3 3ドア,GH-8PAXW/GH-8PBLR/GH-8PBGU,03～13,2WD<br>ストラット外径:55mm<br>電子制御ショック非対応,105766,,247164,SS-AU11-qq-e-f1-327,SS-AU11-qq-e-d-327,SS-AU11,XYZ,SSタイプ車高調,調整式ピロアッパー/純正アッパー,9K/5K,,フルタップ式車高調<br>減衰力30段,現車確認必要,,138000,2000,149700
AUDI,A3 3ドア クワトロ,GH-8PBDBF/GH-8PBMJF,03～13,4WD<br>ストラット外径:50mm<br>電子制御ショック非対応,105766,,246859,SS-AU08-qq-e-f1-328,SS-AU08-qq-e-d-328,SS-AU08,XYZ,SSタイプ車高調,調整式ピロアッパー/純正アッパー,9K/6K,,フルタップ式車高調<br>減衰力30段,現車確認必要,,138000,2000,149700
AUDI,A3 3ドア クワトロ,GH-8PBDBF/GH-8PBMJF,03～13,4WD<br>ストラット外径:55mm<br>電子制御ショック非対応,105766,,247163,SS-AU09-qq-e-f1-329,SS-AU09-qq-e-d-329,SS-AU09,XYZ,SSタイプ車高調,調整式ピロアッパー/純正アッパー,9K/6K,,フルタップ式車高調<br>減衰力30段,現車確認必要,,138000,2000,149700
AUDI,A3 カブリオレ,8P,08～13,2WD<br>ストラット外径:55mm,105766,,246295,SS-AU12-qq-e-f1-330,SS-AU12-qq-e-d-330,SS-AU12,XYZ,SSタイプ車高調,調整式ピロアッパー/純正アッパー,9K/5K,,フルタップ式車高調<br>減衰力30段,現車確認必要,,138000,2000,149700
AUDI,A3 クアトロ,GE-8LAQAF,99～03,4WD<br>ストラット外径:50mm,113190,,247738,SS-AU03-qq-e-f1-325,出さない,SS-AU03,XYZ,SSタイプ車高調,純正アッパー/純正アッパー,9K/10K,,フルタップ式車高調<br>減衰力30段,現車確認必要,,148000,2000,出さない
AUDI,A3 スポーツバック,ABA-8PBSE/ABA-8PCAX/ABA-8PBYT/ABA-8PBZB/ABA-8PCDA/ABA-8PBLR/ABA-8PBLX/ABA-8PBVY/ABA-8PAXX/ABA-8PBWA/DBA-8PBSE/DBA-8PCAX/DBA-8PBYT/DBA-8PBZB/DBA-8PCDA/DBA-8PBLR/DBA-8PBLX/DBA-8PBVY/DBA-8PAXX/DBA-8PBWA/GH-8PBSE/GH-8PCAX/GH-8PBYT/GH-8PBZB/GH-8PCDA/GH-8PBLR/GH-8PBLX/GH-8PBVY/GH-8PAXX/GH-8PBWA,04～13,2WD<br>ストラット外径:50mm<br>電子制御ショック非対応,105766,,246858,SS-AU06-qq-e-f1-331,SS-AU06-qq-e-d-331,SS-AU06,XYZ,SSタイプ車高調,調整式ピロアッパー/純正アッパー,9K/6K,,フルタップ式車高調<br>減衰力30段,現車確認必要,,138000,2000,149700
AUDI,A3 スポーツバック,ABA-8PBSE/ABA-8PCAX/ABA-8PBYT/ABA-8PBZB/ABA-8PCDA/ABA-8PBLR/ABA-8PBLX/ABA-8PBVY/ABA-8PAXX/ABA-8PBWA/DBA-8PBSE/DBA-8PCAX/DBA-8PBYT/DBA-8PBZB/DBA-8PCDA/DBA-8PBLR/DBA-8PBLX/DBA-8PBVY/DBA-8PAXX/DBA-8PBWA/GH-8PBSE/GH-8PCAX/GH-8PBYT/GH-8PBZB/GH-8PCDA/GH-8PBLR/GH-8PBLX/GH-8PBVY/GH-8PAXX/GH-8PBWA,04～13,2WD<br>ストラット外径:55mm<br>電子制御ショック非対応,105766,,247741,SS-AU07-qq-e-f1-332,SS-AU07-qq-e-d-332,SS-AU07,XYZ,SSタイプ車高調,調整式ピロアッパー/純正アッパー,9K/6K,,フルタップ式車高調<br>減衰力30段,現車確認必要,,138000,2000,149700
AUDI,A3 スポーツバック,DBA-8VCXS/DBA-8VCPT,13～UP,2WD<br>ストラット外径:50mm<br>電子制御ショック非対応,105766,,247742,SS-AU12-1-qq-e-f1-335,出さない,SS-AU12-1,XYZ,SSタイプ車高調,調整式ピロアッパー/純正アッパー,9K/6K,,フルタップ式車高調<br>減衰力30段,現車確認必要,,138000,2000,出さない
AUDI,A3 スポーツバック,DBA-8VCXS/DBA-8VCPT,13～UP,2WD<br>ストラット外径:55mm<br>電子制御ショック非対応,105766,,247165,SS-AU12-2-qq-e-f1-336,出さない,SS-AU12-2,XYZ,SSタイプ車高調,調整式ピロアッパー/純正アッパー,9K/6K,,フルタップ式車高調<br>減衰力30段,現車確認必要,,138000,2000,出さない
AUDI,A3 スポーツバック クワトロ,ABA-8PBMJF/GH-8PBMJF/ABA-8PBUBF/GH-8PBUBF/ABA-8PCCZF/GH-8PCCZF,04～13,4WD<br>ストラット外径:50mm<br>電子制御ショック非対応,105766,,247739,SS-AU04-qq-e-f1-333,SS-AU04-qq-e-d-333,SS-AU04,XYZ,SSタイプ車高調,調整式ピロアッパー/純正アッパー,9K/6K,,フルタップ式車高調<br>減衰力30段,現車確認必要,,138000,2000,149700
AUDI,A3 スポーツバック クワトロ,ABA-8PBMJF/GH-8PBMJF/ABA-8PBUBF/GH-8PBUBF/ABA-8PCCZF/GH-8PCCZF,04～13,4WD<br>ストラット外径:55mm<br>電子制御ショック非対応,105766,,247740,SS-AU05-qq-e-f1-334,SS-AU05-qq-e-d-334,SS-AU05,XYZ,SSタイプ車高調,調整式ピロアッパー/純正アッパー,9K/6K,,フルタップ式車高調<br>減衰力30段,現車確認必要,,138000,2000,149700
AUDI,A3 セダン,DBA-8VCXSL/DBA-8VCPTL,14～UP,2WD<br>ストラット外径:50mm<br>電子制御ショック非対応,105766,,246294,SS-AU12-3-qq-e-f1-337,出さない,SS-AU12-3,XYZ,SSタイプ車高調,調整式ピロアッパー/純正アッパー,9K/6K,,フルタップ式車高調<br>減衰力30段,現車確認必要,,138000,2000,出さない
AUDI,A3 セダン,DBA-8VCXSL/DBA-8VCPTL,14～UP,2WD<br>ストラット外径:55mm<br>電子制御ショック非対応,105766,,247743,SS-AU12-4-qq-e-f1-338,出さない,SS-AU12-4,XYZ,SSタイプ車高調,調整式ピロアッパー/純正アッパー,9K/6K,,フルタップ式車高調<br>減衰力30段,現車確認必要,,138000,2000,出さない
AUDI,A4 B5,E-8DADR/E-8DABC/E-8DAGA,95～98,2WD 前期,120613,,247166,SS-AU13-qq-e-f1-339,出さない,SS-AU13,XYZ,SSタイプ車高調,アルミリジット/アルミリジット,12K/7K,,フルタップ式車高調<br>減衰力30段,,装着後減衰力調整不可,158000,2000,出さない
AUDI,A4 B5,E-8DAEBF/E-8DAAHF/E-8DACKF/E-8DAGAF,95～98,4WD 前期,113190,,247167,SS-AU14-qq-e-f1-340,出さない,SS-AU14,XYZ,SSタイプ車高調,アルミリジット/純正アッパー,12K/9K,,減衰力30段<br>リア:ネジ式,,装着後減衰力調整不可,148000,2000,出さない
AUDI,A4 アバント B6,GF-8EALT/GH-8EALT/GF-8EBDV/GH-8EBDV,01～04,2WD,113190,,247168,SS-AU17-qq-e-f1-341,出さない,SS-AU17,XYZ,SSタイプ車高調,純正アッパー/純正アッパー,14K/8K,,フルタップ式車高調<br>減衰力30段,,フロント装着後減衰力調整不可,148000,2000,出さない
AUDI,A4 アバント B7,ABA-8EBFB/GH-8EBFB/ABA-8EALT/GH-8EALT,05～08,2WD,105766,,246860,SS-AU20-qq-e-f1-345,出さない,SS-AU20,XYZ,SSタイプ車高調,純正アッパー/純正アッパー,14K/8K,ダウン量(ノーマル比)<br>F:約50mm/R:約40mm,フルタップ式車高調<br>減衰力30段,,フロント装着後減衰力調整不可,138000,2000,出さない
AUDI,A4 アバント B8,ABA-8KCDH/DBA-8KCDH/ABA-8KCDN/DBA-8KCDN,08～16,2WD<br>電子制御ショック非対応,105766,,247171,SS-AU21-A-qq-e-f1-349,SS-AU21-A-qq-e-d-349,SS-AU21-A,XYZ,SSタイプ車高調,純正アッパー/純正アッパー,14K/5K,,フルタップ式車高調<br>減衰力30段,,フロント装着後減衰力調整不可,138000,2000,149700
AUDI,A4 アバント B9,ABA-8WCVK/ABA-8WCVN,16～UP,2WD<br>フロントストラット外径:53mm(48.5mm車不可)<br>電子制御ショック非対応,105766,,247444,SS-AU22-2-qq-e-f1-164k,出さない,SS-AU22-2,XYZ,SSタイプ車高調,アルミリジット/純正アッパー,14K/10K,,フルタップ式車高調<br>減衰力30段,,フロント装着後減衰力調整不可,138000,2000,出さない
AUDI,A4 アバント クワトロ B6,GH-8EAMBF/GF-8EAMBF/GH-8EASNF/GF-8EASNF,01～04,4WD,113190,,246297,SS-AU17-A-qq-e-f1-342,出さない,SS-AU17-A,XYZ,SSタイプ車高調,純正アッパー/純正アッパー,14K/8K,,フルタップ式車高調<br>減衰力30段,,フロント装着後減衰力調整不可,148000,2000,出さない
AUDI,A4 アバント クワトロ B7,ABA-8EBWEF/GH-8EBWEF/ABA-8EBGBF/GH-8EBGBF/ABA-8EAUKF/GH-8EAUKF,05～08,4WD,105766,,247170,SS-AU20-A-qq-e-f1-346,出さない,SS-AU20-A,XYZ,SSタイプ車高調,純正アッパー/純正アッパー,14K/8K,,フルタップ式車高調<br>減衰力30段,,フロント装着後減衰力調整不可,138000,2000,出さない
AUDI,A4 アバント クワトロ B8,ABA-8KCALF/DBA-8KCALF/ABA-8KCDNF/DBA-8KCDNF,08～16,4WD<br>電子制御ショック非対応,105766,,247745,SS-AU22-A-qq-e-f1-350,SS-AU22-A-qq-e-d-350,SS-AU22-A,XYZ,SSタイプ車高調,純正アッパー/純正アッパー,14K/5K,,フルタップ式車高調<br>減衰力30段,,フロント装着後減衰力調整不可,138000,2000,149700
AUDI,A4 セダン B6,GF-8EALT/GH-8EALT/GF-8EBDV/GH-8EBDV,01～04,2WD,113190,,247441,SS-AU15-qq-e-f1-344,出さない,SS-AU15,XYZ,SSタイプ車高調,純正アッパー/純正アッパー,14K/8K,,フルタップ式車高調<br>減衰力30段,,フロント装着後減衰力調整不可,148000,2000,出さない
AUDI,A4 セダン B7,ABA-8EBFB/GH-8EBFB/ABA-8EALT/GH-8EALT,05～08,2WD,105766,,247169,SS-AU18-qq-e-f1-347,出さない,SS-AU18,XYZ,SSタイプ車高調,純正アッパー/純正アッパー,14K/8K,,フルタップ式車高調<br>減衰力30段,,フロント装着後減衰力調整不可,138000,2000,出さない
AUDI,A4 セダン B8,ABA-8KCAB/DBA-8KCAB/ABA-8KCDH/DBA-8KCDH/ABA-8KCDN/DBA-8KCDN,08～16,2WD<br>電子制御ショック非対応,105766,,247443,SS-AU21-qq-e-f1-351,SS-AU21-qq-e-d-351,SS-AU21,XYZ,SSタイプ車高調,純正アッパー/純正アッパー,14K/5K,,フルタップ式車高調<br>減衰力30段,,フロント装着後減衰力調整不可,138000,2000,149700
AUDI,A4 セダン クワトロ B6,GF-8EASNF/GH-8EASNF/GF-8EAMBF/GH-8EAMBF,01～04,4WD,113190,,246296,SS-AU16-qq-e-f1-343,出さない,SS-AU16,XYZ,SSタイプ車高調,純正アッパー/純正アッパー,14K/8K,,フルタップ式車高調<br>減衰力30段,,フロント装着後減衰力調整不可,148000,2000,出さない
AUDI,A4 セダン クワトロ B7,ABA-8EBWEF/GH-8EBWEF/ABA-8EAUKF/GH-8EAUKF/ABA-8EBGBF/GH-8EBGBF,05～08,4WD,105766,,247442,SS-AU19-qq-e-f1-348,出さない,SS-AU19,XYZ,SSタイプ車高調,純正アッパー/純正アッパー,14K/8K,,フルタップ式車高調<br>減衰力30段,,フロント装着後減衰力調整不可,138000,2000,出さない
AUDI,A4 セダン クワトロ B8,ABA-8KCALF/DBA-8KCALF/ABA-8KCDNF/DBA-8KCDNF,08～16,4WD<br>電子制御ショック非対応,105766,,246609,SS-AU22-qq-e-f1-352,SS-AU22-qq-e-d-352,SS-AU22,XYZ,SSタイプ車高調,純正アッパー/純正アッパー,14K/5K,,フルタップ式車高調<br>減衰力30段,,フロント装着後減衰力調整不可,138000,2000,149700
AUDI,A5 カブリオレ クワトロ B8,ABA-8FCALF/DBA-8FCALF/ABA-8FCDNF/DBA-8FCDNF,09～17,4WD<br>電子制御ショック非対応,105766,,246611,SS-AU26-qq-e-f1-353,出さない,SS-AU26,XYZ,SSタイプ車高調,純正アッパー/純正アッパー,14K/5K,,フルタップ式車高調<br>減衰力30段,,フロント装着後減衰力調整不可,138000,2000,出さない
AUDI,A5 クーペ B8,ABA-8TCDNF/DBA-8TCDNF/ABA-8TCALF/DBA-8TCALF,08～17,4WD<br>電子制御ショック非対応,105766,,246610,SS-AU24-qq-e-f1-354,SS-AU24-qq-e-d-354,SS-AU24,XYZ,SSタイプ車高調,純正アッパー/純正アッパー,14K/5K,,フルタップ式車高調<br>減衰力30段,,フロント装着後減衰力調整不可,138000,2000,149700
AUDI,A5 スポーツバック クワトロ B8,ABA-8TCDNL/DBA-8TCDNL,10～17,4WD<br>電子制御ショック非対応,105766,,246861,SS-AU28-qq-e-f1-355,SS-AU28-qq-e-d-355,SS-AU28,XYZ,SSタイプ車高調,純正アッパー/純正アッパー,14K/5K,,フルタップ式車高調<br>減衰力30段,,フロント装着後減衰力調整不可,138000,2000,149700
AUDI,A6/C5 セダン,4B,97～04,4WD,113190,,246613,SS-AU29-1-qq-e-f1-166k,出さない,SS-AU29-1,XYZ,SSタイプ車高調,アルミリジット/アルミリジット,16K/14K,,フルタップ式車高調<br>減衰力30段,,装着後減衰力調整不可,148000,2000,出さない
AUDI,A6/C5 セダン,E-4BAGA/GF-4BAGA/GH-4BAGA/E-4BAPS/GF-4BAPS/GH-4BAPS/E-4BBDV/GF-4BBDV/GH-4BBDV,97～04,2WD,113190,,246615,SS-AU29-qq-e-f1-356,SS-AU29-qq-e-d-356,SS-AU29,XYZ,SSタイプ車高調,アルミリジット/純正アッパー,12K/10K,,フルタップ式車高調<br>減衰力30段,,装着後減衰力調整不可,148000,2000,157500
AUDI,A6/C6 アバント,ABA-4FBDW/GH-4FBDW,04～07,2WD 2.4L,105766,,246616,SS-AU30-A-qq-e-f1-358,SS-AU30-A-qq-e-d-358,SS-AU30-A,XYZ,SSタイプ車高調,純正アッパー/純正アッパー,14K/10K,,フルタップ式車高調<br>減衰力30段,,装着後減衰力調整不可,138000,2000,149700
AUDI,A6/C6 セダン,ABA-4FBDW/GH-4FBDW,04～07,2WD,105766,,246617,SS-AU30-qq-e-f1-357,SS-AU30-qq-e-d-357,SS-AU30,XYZ,SSタイプ車高調,純正アッパー/純正アッパー,14K/10K,,フルタップ式車高調<br>減衰力30段,,,138000,2000,149700
AUDI,A6/C7 セダン,ABA-4GCHVS/ABA-4GCGWS/ABA-4GCDN/ABA-4GCYG/ABA-4GCYPS/ABA-4GCRES/DBA-4GCHVS/DBA-4GCGWS/DBA-4GCDN/DBA-4GCYG/DBA-4GCYPS/DBA-4GCRES,11～18,2WD/4WD<br>電子制御ショック非対応,105766,,247746,SS-AU31-qq-e-f1-360,SS-AU31-qq-e-d-360,SS-AU31,XYZ,SSタイプ車高調,アルミリジット/純正アッパー,14K/6K,,フルタップ式車高調<br>減衰力30段,,フロント装着後減衰力調整不可,138000,2000,149700
AUDI,Q3,8U,12～UP,4WD<br>ストラット外径:55mm<br>電子制御ショック非対応,105766,,246299,SS-AU44-1-qq-e-f1-171k,出さない,SS-AU44-1,XYZ,SSタイプ車高調,調整式ピロアッパー/純正アッパー,9K/5K,,フルタップ式車高調<br>減衰力30段,,,138000,2000,出さない
AUDI,Q5,8R,09～17,電子制御ショック非対応,135459,,247447,SS-AU45-qq-e-f1-172k,出さない,SS-AU45,XYZ,SSタイプ車高調,純正アッパー/純正アッパー,14K/6K,,フルタップ式車高調<br>減衰力30段,,フロント装着後減衰力調整不可,178000,2000,出さない
AUDI,Q7,4M,16～UP,エアサス車不可<br>電子制御ショック非対応,150306,,247747,SS-AU48-qq-e-f1-175k,出さない,SS-AU48,XYZ,SSタイプ車高調,アルミリジット/純正アッパー,16K/16K,,フルタップ式車高調<br>減衰力30段,,,198000,2000,出さない
AUDI,R8,42B/42C,07～16,電子制御ショック非対応,291351,,247446,SS-AU44-qq-e-f1-170k,出さない,SS-AU44,XYZ,SSタイプ車高調,アルミリジット/アルミリジット,14K/20K,,フルタップ式車高調<br>減衰力30段,,,388000,2000,出さない
AUDI,RS4 B7,ABA-8EBNSF/GH-8EBNSF,06～09,電子制御ショック非対応,105766,,246608,SS-AU20-1-qq-e-f1-161k,SS-AU20-1-qq-e-d-161k,SS-AU20-1,XYZ,SSタイプ車高調,純正アッパー/純正アッパー,14K/10K,,フルタップ式車高調<br>減衰力30段,,フロント装着後減衰力調整不可,138000,2000,144700
AUDI,RS6 C5,GH-4BBCYF,03～05,電子制御ショック非対応,105766,,246614,SS-AU29-2-qq-e-f1-167k,出さない,SS-AU29-2,XYZ,SSタイプ車高調,アルミリジット/アルミリジット,16K/14K,,フルタップ式車高調<br>減衰力30段,,装着後減衰力調整不可,138000,2000,出さない
AUDI,S1,8X,14～18,電子制御ショック非対応,105766,,246863,SS-AU43-qq-e-f1-169k,出さない,SS-AU43,XYZ,SSタイプ車高調,純正アッパー/純正アッパー,9K/6K,,フルタップ式車高調<br>減衰力30段,,装着後減衰力調整不可,138000,2000,出さない
AUDI,S3,GF-8LAMKF/GH-8LAMKF/GF-8LBAMF/GH-8LBAMF,01～03,ストラット外径:50mm,113190,,247737,SS-AU03-1-qq-e-f1-159k,出さない,SS-AU03-1,XYZ,SSタイプ車高調,アルミリジット/純正アッパー,9K/10K,,フルタップ式車高調<br>減衰力30段,現車確認必要,,148000,2000,出さない
AUDI,S3 スポーツバック,8V,13～UP,ストラット外径:55mm<br>電子制御ショック非対応,105766,,247748,SS-AU51-qq-e-f1-176k,出さない,SS-AU51,XYZ,SSタイプ車高調,調整式ピロアッパー/純正アッパー,11K/8K,,フルタップ式車高調<br>減衰力30段,現車確認必要,,138000,2000,出さない
AUDI,S3 セダン,8V,14～UP,ストラット外径:55mm<br>電子制御ショック非対応,105766,,247450,SS-AU53-qq-e-f1-177k,出さない,SS-AU53,XYZ,SSタイプ車高調,調整式ピロアッパー/純正アッパー,11K/8K,,フルタップ式車高調<br>減衰力30段,現車確認必要,,138000,2000,出さない
AUDI,S4 B6,GH-8EBBKF,03～05,電子制御ショック非対応,105766,,246607,SS-AU17-1-qq-e-f1-160k,出さない,SS-AU17-1,XYZ,SSタイプ車高調,純正アッパー/純正アッパー,14K/8K,,フルタップ式車高調<br>減衰力30段,,装着後減衰力調整不可,138000,2000,出さない
AUDI,S4 B7,ABA-8EBBKF/GH-8EBBKF,05～09,電子制御ショック非対応,105766,,247744,SS-AU20-2-qq-e-f1-162k,出さない,SS-AU20-2,XYZ,SSタイプ車高調,純正アッパー/純正アッパー,14K/8K,,フルタップ式車高調<br>減衰力30段,,フロント装着後減衰力調整不可,138000,2000,出さない
AUDI,S4 B8,ABA-8KCAKF/ABA-8KCGWF,09～16,電子制御ショック非対応,105766,,247172,SS-AU22-1-qq-e-f1-163k,出さない,SS-AU22-1,XYZ,SSタイプ車高調,純正アッパー/純正アッパー,14K/5K,,フルタップ式車高調<br>減衰力30段,,フロント装着後減衰力調整不可,138000,2000,出さない
AUDI,S5 B8,ABA-8TCAUF/ABA-8TCGWF,08～17,電子制御ショック非対応,105766,,246612,SS-AU28-1-qq-e-f1-165k,出さない,SS-AU28-1,XYZ,SSタイプ車高調,純正アッパー/純正アッパー,14K/5K,,フルタップ式車高調<br>減衰力30段,,フロント装着後減衰力調整不可,138000,2000,出さない
AUDI,TT,ABA-8JBWA/ABA-8JCES,06～15,2WD<br>フロントストラット外径:55mm,105766,,246862,SS-AU40-qq-e-f1-366,出さない,SS-AU40,XYZ,SSタイプ車高調,調整式ピロアッパー/純正アッパー,9K/6K,,フルタップ式車高調<br>減衰力30段,現車確認必要,,138000,2000,出さない
AUDI,TT,GF-8NAUQ/GH-8NAUQ/GF-8NBVR/GH-8NBVR,98～06,2WD<br>フロントストラット外径:50mm,105766,,247445,SS-AU38-qq-e-f1-367,出さない,SS-AU38,XYZ,SSタイプ車高調,純正アッパー/純正アッパー,9K/6K,,フルタップ式車高調<br>減衰力30段,現車確認必要,リア装着後減衰力調整不可,138000,2000,出さない
AUDI,TT 8S,FVCHH/FVCJS,15～UP,2WD<br>フロントストラット外径:55mm<br>電子制御ショック非対応,105766,,247448,SS-AU46-qq-e-f1-173k,出さない,SS-AU46,XYZ,SSタイプ車高調,調整式ピロアッパー/純正アッパー,11K/8K,,フルタップ式車高調<br>減衰力30段,現車確認必要,,138000,2000,出さない
AUDI,TT 8S,FVCHHF/FVCJXF,15～UP,4WD<br>フロントストラット外径:55mm<br>電子制御ショック非対応,105766,,247449,SS-AU47-qq-e-f1-174k,出さない,SS-AU47,XYZ,SSタイプ車高調,調整式ピロアッパー/純正アッパー,11K/8K,,フルタップ式車高調<br>減衰力30段,現車確認必要,,138000,2000,出さない
AUDI,TT RS,8JCEPF,10～15,フロントストラット外径:55mm,105766,,246298,SS-AU41-1-qq-e-f1-168k,出さない,SS-AU41-1,XYZ,SSタイプ車高調,調整式ピロアッパー/純正アッパー,11K/6K,,フルタップ式車高調<br>減衰力30段,現車確認必要,,138000,2000,出さない
AUDI,TT クワトロ,ABA-8JCCZF/ABA-8JCESF/ABA-8JBUBF,06～15,4WD<br>フロントストラット外径:55mm,105766,,246618,SS-AU41-qq-e-f1-368,出さない,SS-AU41,XYZ,SSタイプ車高調,調整式ピロアッパー/純正アッパー,9K/6K,,フルタップ式車高調<br>減衰力30段,現車確認必要,,138000,2000,出さない
AUDI,TT クワトロ,GF-8NAPXF/GH-8NAPXF/GF-8NBAMF/GH-8NBAMF/GF-8NBHEF/GH-8NBHEF,99～06,4WD<br>ストラット外径:50mm,105766,,247173,SS-AU39-qq-e-f1-369,出さない,SS-AU39,XYZ,SSタイプ車高調,純正アッパー/純正アッパー,9K/10K,,フルタップ式車高調<br>減衰力30段,現車確認必要,,138000,2000,出さない
BMW,1シリーズ E81,,04～11,4気筒,105766,,246305,SS-BM54-qq-e-f1-370,SS-BM54-qq-e-d-370,SS-BM54,XYZ,SSタイプ車高調,調整式ピロアッパー/純正アッパー,8K/12K,,フルタップ式車高調<br>減衰力30段,,,138000,2000,144700
BMW,1シリーズ E81,,04～11,6気筒,105766,,247756,SS-BM55-qq-e-f1-371,SS-BM55-qq-e-d-371,SS-BM55,XYZ,SSタイプ車高調,調整式ピロアッパー/純正アッパー,9K/12K,,フルタップ式車高調<br>減衰力30段,,,138000,2000,144700
BMW,1シリーズ E82,ABA-UC30/ABA-UC35,08～12,6気筒<br>適合グレード:135i,105766,,246306,SS-BM57-qq-e-f1-373,出さない,SS-BM57,XYZ,SSタイプ車高調,調整式ピロアッパー/純正アッパー,9K/12K,,フルタップ式車高調<br>減衰力30段,,,138000,2000,出さない
BMW,1シリーズ E82,LBA-UC20,08～12,4気筒<br>適合グレード:120i,105766,,247458,SS-BM56-qq-e-f1-372,出さない,SS-BM56,XYZ,SSタイプ車高調,調整式ピロアッパー/純正アッパー,8K/12K,,フルタップ式車高調<br>減衰力30段,,,138000,2000,出さない
BMW,1シリーズ E87,ABA-UE16/LBA-UE16/GH-UE16/ABA-UF16/LBA-UF16/GH-UF16/ABA-UF18/LBA-UF18/GH-UF18/ABA-UF20/LBA-UF20/GH-UF20,04～11,4気筒<br>適合グレード:116i/118i/120i,105766,,246870,SS-BM58-qq-e-f1-374,SS-BM58-qq-e-d-374,SS-BM58,XYZ,SSタイプ車高調,調整式ピロアッパー/純正アッパー,8K/12K,,フルタップ式車高調<br>減衰力30段,,,138000,2000,144700
BMW,1シリーズ E87,ABA-UF30,04～11,6気筒<br>適合グレード:130i,105766,,247180,SS-BM59-qq-e-f1-375,SS-BM59-qq-e-d-375,SS-BM59,XYZ,SSタイプ車高調,調整式ピロアッパー/純正アッパー,9K/12K,,フルタップ式車高調<br>減衰力30段,,,138000,2000,144700
