自動車メーカー,車種,型式,年式,エンジン型式,重複追記,SET価格,Camp価格
トヨタ,ウィッシュ,ZGE20G/ZGE20W,09/04～15/04,2ZR-FAE,,47480,46980
トヨタ,ヴィッツ,NCP131,10/12～,1NZ-FE,,44600,44100
トヨタ,ヴィッツG's,NCP131,11/10～,1NZ-FE,,44600,44100
トヨタ,ヴェルファイア,ANH20W,11/11～15/01,2AZ-FE,,39560,39060
トヨタ,ヴェルファイア,GGH20W,08/05～15/01,2GR-FE,,39560,39060
トヨタ,ヴェルファイアハイブリッド,ATH20W,11/11～15/01,2AZ-FE,,39560,39060
トヨタ,ヴォクシー,ZRR80W,14/01～,3ZR-FAE,Quad Model,75560,75060
トヨタ,ヴォクシー,ZRR80W,14/01～,3ZR-FAE,,48200,47700
トヨタ,ヴォクシー,ZWR80G,14/02～,2ZR-FXE,Quad Model,75560,75060
トヨタ,エスクァイア,ZWR80G,14/10～,2ZR-FXE,Quad Model,75560,75060
トヨタ,ノア,ZRR80W,14/01～,3ZR-FAE,Quad Model,75560,75060
トヨタ,ノア,ZRR80W,14/01～,3ZR-FAE,,48200,47700
トヨタ,ノア,ZWR80G,14/02～,2ZR-FXE,Quad Model,75560,75060
トヨタ,パッソ,M700A,16/04～,1KR-FE,,62600,62100
トヨタ,プリウス,ZVW50,15/12～,2ZR-FXE,Quad Model,77560,77060
トヨタ,プリウス,ZVW51,15/12～,2ZR-FXE,Quad Model,77560,77060
トヨタ,プリウス,ZVW55,15/12～,2ZR-FXE,Quad Model,77560,77060
トヨタ,プリウスG's,ZVW30,11/12～15/12,2ZR-FXE,,39560,39060
トヨタ,プリウスα,ZVW40W/ZVW41,11/05～15/12,2ZR-FXE,,44600,44100
トヨタ,プロボックス,NCP51V,02/07～10/03,1NZ-FE,排ガス記号：CBE-,48200,47700
トヨタ,プロボックス,NCP51V,02/07～10/03,1NZ-FE,排ガス記号：UB-,48200,47700
トヨタ,プロボックス,NCP58G,02/07～10/03,1NZ-FE,排ガス記号：CBA-,48200,47700
トヨタ,プロボックス,NCP58G,02/07～10/03,1NZ-FE,排ガス記号：UA-,48200,47700
日産,NV100クリッパーリオ,DR17W,15/02～,K6A,,50360,49860
日産,セレナ,GFC27,16/08～,MR20DD,,75560,75060
日産,セレナ,GFNC27,16/08～,MR20DD,,75560,75060
日産,デイズ,B21W,13/06～,3B20,,47480,46980
日産,デイズルークス,B21A,14/02～,3B20,,47480,46980
日産,ノート,E12,12/09～,HR12DDR,,33800,33300
日産,ノートニスモ,E12改,14/10～,HR16DE,,37400,36900
日産,マーチニスモ,K13改,13/12～,HR15DE,,59720,59220
ホンダ,N-BOX,JF1,12/12～13/12,S07A,,52520,52020
ホンダ,N-BOX+カスタム,JF1,12/07～,S07A,Turbo専用,52520,52020
ホンダ,N-BOX+カスタム,JF1,12/07～13/12,S07A,NA専用,52520,52020
ホンダ,N-BOXカスタム,JF1,11/12～,S07A,Turbo専用,52520,52020
ホンダ,N-BOXカスタム,JF1,11/12～13/12,S07A,NA専用,52520,52020
ホンダ,N-BOXカスタム,JF2,11/12～,S07A,,54680,54180
ホンダ,N-BOXスラッシュ,JF1,14/12～,S07A,,52520,52020
ホンダ,N-ONE,JG1,12/11～,S07A,Turbo専用,52520,52020
ホンダ,N-ONE,JG1,12/11～14/05,S07A,NA専用,52520,52020
ホンダ,N-ONE,JG2,12/11～,S07A,,54680,54180
ホンダ,N-WGNカスタム,JH1,13/11～,S07A,,52520,52020
ホンダ,S2000,AP1,99/04～05/11,F20C,,67640,67140
ホンダ,S660,JW5,15/04～,S07A,フロントパイプセット,70600,70100
ホンダ,S660,JW5,15/04～,S07A,,60400,59900
ホンダ,オデッセイ,RC2,13/11～,K24W,ダミー,32360,31860
ホンダ,オデッセイ,RC2,13/11～,K24W,,75560,75060
ホンダ,フィット,GE8,07/10～13/09,L15A,,43160,42660
ホンダ,フィット,GK3,13/09～,L13B,ダミー,32360,31860
ホンダ,フィット,GK3,13/09～,L13B,,38120,37620
ホンダ,フィット,GK5,13/09～,L15B,ダミー,32360,31860
ホンダ,フィット,GK5,13/09～,L15B,,38120,37620
ホンダ,フィットハイブリッド,GP4,10/10～,LEA,,43160,42660
ホンダ,フィットハイブリッド,GP5,13/09～,LEB-H1,ダミー,32360,31860
ホンダ,フィットハイブリッド,GP5,13/09～,LEB-H1,,38120,37620
マツダ,CX-3,DK5AW,15/02～,S5-DPTS,,46760,46260
マツダ,CX-3,DK5FW,15/02～,S5-DPTS,,46760,46260
マツダ,CX-5,KE2AW,12/02～,SH-VPTS,,53960,53460
マツダ,CX-5,KE2FW,12/02～,SH-VPTS,,53960,53460
マツダ,アクセラスポーツ,BM2FS,14/01～,SH-VPTR,,53960,53460
マツダ,デミオ,DJ5FS,14/10～,S5-DPTS,,55400,54900
マツダ,ロードスター,ND5RC,15/05～,P5-VP(RS)/P5-VPR(RS),Quad Model,97160,96660
マツダ,ロードスター,ND5RC,15/05～,P5-VP(RS)/P5-VPR(RS),,51800,51300
三菱,コルトラリーアートバージョンR,Z27AG,07/11～,4G15 MIVEC,Quad Model、BLITZディフューザー装着車専用,97160,96660
三菱,コルトラリーアートバージョンR,Z27AG,07/11～,4G15 MIVEC,Quad Modelエアロ付、FRPディフューザーセット,114560,114060
三菱,コルトラリーアートバージョンR,Z27AG,07/11～,4G15 MIVEC,Quad Modelエアロ付、カーボンディフューザーセット,159200,158700
三菱,ランサーエボリューションX,CZ4A,07/10～,4B11 MIVEC,,84200,83700
レクサス,RC200t,ASC10,15/10～,8AR-FTS,,97160,96660
